X,Predicted,Real
veštački jezik koji se temelji što je više moguće na rečima zajedničkim za sve evropske jezike,1,0
mašina koja se koristi za štampanje,1,0
slatka pomorandža iz Izraela skoro bez semenki,1,0
o izrazima ili rečima,1,0
novčana jedinica Pakistana,1,0
"Psi, vukovi, šakali i lisice.",1,0
rešavanje problema koje uključuje brojeve i veličine,1,0
prenositi ili otkrivati informacije,1,0
"neposredno pre ili posle, kao u lancu uzroka i posledica",1,0
penutski jezik kojim govori narod Kostano,1,0
reptil koji ima par otvora u lobanji iza svakog oka,1,0
slepaši,1,0
kalkulator koji vodi evidenciju koliko puta se nešto desilo,1,0
zajednički naziv za novine i časopise,1,0
unos sa listom osoba koje su doprinele filmu ili pisanom radu,1,0
potvrda ili vaučer (obveznica) koji potvrđuje dug (dugovanje),1,0
svaka ptica koja se oglašava pesmom,1,0
kiselina koja sadrži bro i kiseonik,1,0
"naziv cifre 2, znak koji obeležava broj dva",1,0
autokratija u kojoj vlada monarh koji nasleđuje vlast,1,0
Centar vlasti (kao što je grad iz koga se upravlja),1,0
prirodni otac ili majka,1,0
otrovna biljka sa fibroznim korenom,1,0
"odnositi se na što, odgovarati čemu",1,0
paleontologija mikrofosila,1,0
projekat od ličnog interesa za nekoga,1,0
odnos uzajamne zavisnosti ili delovanja ili uticaja,1,0
osoba koja pravi stvari,1,0
poslastica od jabuka uvijenih u testo koja se peče,1,0
prikupljeno delo nekog autora (obično se koristi u množini),1,0
Davati nekome drogu u medicinske svrhe,1,0
tanka šunka dimljena na orahovini; tamno crveno meso,1,0
dokument kojim se daje zvanično uputstvo ili naredba,1,0
Nešto što se duguje.,1,0
mali otvor između nečega,1,0
javna plesna dvorana gde se pleše uz snimljenu muziku,1,0
anatolski jezik,1,0
gusto piće koje sadrži sveže voće pasirano sa sladoledom ili jogurtom ili mlekom,1,0
čin uključivanja,1,0
izgubiti svaku nadu,1,0
prouzrokovati kretanje ili okretanje,1,0
Čin konstruisanja nečega (kao masšinskog dela).,1,0
avokado,1,0
obuhvata mnoge patogene vrste,1,0
dugačka riba masnog mesa koja se pronalazi u slatkim vodama Evrope i Amerike; dugačke jegulje se obično dime ili stavljaju u salamuru,1,0
kremasti beli sos koji sadrži ren i senf,1,0
imunitet od proizvoljne demonstracije vlasti: politička nezavisnost,1,0
"upadljivo sazvežđe južne hemisfere, blizu Južnog krsta",1,0
ceo broj ili količnik dva cela broja,1,0
napraviti sastavljanjem iz delova,1,0
iznenada se sručiti; upadljivo opadati,1,0
spisak kod koga će se poslednja nabavljena stavka prodati prva,1,0
monarhija na čijem je čelu gralj ili kraljica,1,0
greška ili neispravnost u sistemu ili mašini,1,0
gorušica; kupus; karfiol; repa; brokola itd.,1,0
"zatvoreno more na severozapadu Turske, povezano s Crnim morem preko Bosfora, a Egejskim morem preko Dardanela",1,0
ukloniti primenom vode ili druge tečnosti i sapuna ili nekog drugog sredstva za čišćenje,1,0
sistemsko kombinovanje korena i nastavaka u pojedinačne reči,1,0
ispunjen divljenjem i ushićenjem,1,0
turkijski jezik kojim govore Karakalpaci,1,0
Izgovoriti sa roljajući; o fonemi /r/,1,0
"Kolač koji se služi uz kafu; može da sadrži pomorandžinu koru, suvo grožđe i badem",1,0
tanak deo sa prednje četvrti životinje,1,0
gorešnik,1,0
farma na kojoj se proizvode mlečni proizvodi,1,0
prirodni spoljni omotoač ploda (obično se ukloni pre jela),1,0
"kontinentalna država jugoistočne Afrike, stekla nezavisnost 1968",1,0
prekinuti kretanje,1,0
stanovnik ili poreklom iz Afrike,1,0
Velika crvena jabuka,1,0
televizijski sistem koji se prenosi preko kablova,1,0
rekviziti koji se koriste za ribolov,1,0
Godišnje i višegodišnje trave iz starog sveta: vrbovnik.,1,0
prenositi ili poslužiti kao medij za prenos,1,0
krompir koji se sprema tako što se peče u rerni,1,0
poticati (iz),1,0
vozilo sa točkovima koje može da se vuče iza automobila ili kamiona; opremljeno za život;,1,0
kontraceptivno sredstvo u obliku pilule koja sadrži estrogen i prgeseron koji sprečavaju ovulaciju i tako onemogućuju začeče,1,0
novčana jedinica Izraela,1,0
ekspert koji je posvečen izučavanju neke uske discipline,1,0
gornji dom kongresa Sjedinjenih Država,1,0
Elegantni preživar iz starog sveta sa dugim nogama i rogovima koji nagore i unazad: uključuje gazele i ??,1,0
Sedište u kolima.,1,0
postojano skladište koje čuva informacije u obliku mehurića na tankom filmu od magnetnog silikata; više se uglavnom ne koristi,1,0
rezerva novca ostavljena na stranu za neku svrhu,1,0
konzorcijum nezavisnoih organizacija sačinjen da bi se ograničila konkurencija i kontrolisala proizvodnja i distribucija porizvoda i usluga,1,0
žirafe,1,0
naći mesto za nešto što bi poslužilo kao skladište,1,0
jova,1,0
potvrditi ceremonijom Bar Micva dečake u jevrejskoj veri,1,0
bronhije i pluća,1,0
osoba koja nezakonito drži žrtvu zatvorenu obično tražeći otkup,1,0
(računarstvo) sektor ili grupa sektora koji funkcionišu kao najmanja dozvoljena jedinica podataka,1,0
zaslađena kafa u koju je dodat irski viski i šlag,1,0
zao postupak,1,0
znak interpunkcije (!) koji se koristi nakon uzvika,1,0
čvrsto telo koje se formira učvršćivanjem hemijske supstance i ima veoma pravilnu atomsku strukturu,1,0
napraviti fonetsku transkripciju,1,0
izuzetno nelagodan,1,0
"ugledati :1, spaziti :1, opaziti :1a uhvatiti nekoga na vidiku",1,0
održati predavanje ili besedu,1,0
kolekcija knjiga sačinjenih ubrzo posle Hristove smrti; druga polovina hrišćanske Biblije,1,0
odbaciti (dokument) kao nevažeci,1,0
prenos toplote ili elektriciteta ili zvuka,1,0
menjati lokaciju pomeranjem unapred i unazad,1,0
afiks koji se dodaje na početak reči,1,0
uređaj koji se koristi za smeštanje stopala u cipelu,1,0
poseban i značajan naglasak posredstvom pozicije ili ponavljanja,1,0
severozapadni deo Crvenog mora koji se povezuje sa Sredozemnim morem preko Sueckog kanala,1,0
"dugačak arhipelag od više od 500 ostrva u Mikroneziji, istočno od Filipina",1,0
priznaš svoju veru u šta ili privrženost čemu,1,0
koji donosi dobar profit,0,1
poslovanje vezano za izdavanje,1,0
novčana jedinica Španije,1,0
dupliranje reči ili fraze (kao za efekat retoričnosti0,1,0
naći zajednički jezik ili se uspećno izboriti sa nečim,1,0
legura bakra i kalaja i ponekad još nekih elemenata,1,0
metal relativno velike gustine - specifična težina veća od 5g/cm3 - ili relativno velike atomske težine,1,0
konverzija iz jednog načina kodiranja u drugi,1,0
Pokušaj da se za sebe dobije lično priznanje (posebno neprihvatljivim sredstvima).,1,0
tipski i jedni rod porodice Menuridae,1,0
Komunistička država koja zauzima veliki deo teritorije Azije; najmnogoljudnija država na svetu,1,0
predmet pričvršćen za jedno mesto (posebno u domaćinstvu),1,0
široko rasprostranjeni feldspar koji formira stene,1,0
odnos intenziteta signala prema intenzitetu šuma,1,0
"oštar zakrivljen rožnati deo na prstima  ptica, nekih sisara i gmizavaca",1,0
zabeleška ili pripovedni opis prošlih događaja,1,0
