X,Predicted,Real
Učiniti da nešto postati . ,1,0
osećanje dubok ljubav i divljenje ,0,1
od velik značaj ili važnost . ,0,1
odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . ,1,0
osoba koji voliti ili jesam voljen ,0,1
velik bogatstvo . ,0,1
koji narušavati princip dobra i zlo . ,1,0
koji moći da činiti po slobodan volja ; koji jesam sputati ograničenje . ,0,1
"postati velik , širok , napredan . ",1,0
angažovati ili unajmiti za neki posao ,0,1
"osoba koji upravljati drugi , voditi ili ili isnpiriše . ",1,0
imati o nešto neki mišljenje . ,1,0
preparat koji se koristiti za čišćenje nešto ,0,1
gajiti osećanje dubok poštovanje i strah pred autoritet . ,0,1
zlonameran zadovoljstvo ,1,0
"uneti , utrošiti na nešto ( trud , energija , i sl . ) ",1,0
Ublažavanje patnja ; pokazivanje velik dobrota prema izmučen . ,0,1
Čin ili proces merenje . ,0,1
koji jesam u sklad sa metoda ili princip nauka . ,1,0
Učiniti svetiti pomoću religijski obred . ,0,1
Čin ukrašavanje nešto ( u nada da hteti od taj privlačan izgledati ) . ,0,1
postati stabilan ili stabilan . ,0,1
dokument koji moći da se uviti ( kao za čvanje ) ,1,0
imati sposobnost ili moć kreativnost . ,0,1
ukazati poverenje koji . ,0,1
stanje zrelost ; pun razvoj . ,0,1
ispuniti očekivanje . ,0,1
koji donositi spasenje ili iskupljenje od greh ,0,1
Osećanja proživeti kada jesam neki u zadovoljan stanje . ,0,1
kvalitet onaj ko jesam brižljiv . ,1,0
koji karakterisati životinja za razlika od biljka . ,0,1
imati neželjen ili negativan kvalitet ,1,0
"učiniti velik u količina , broj ili snaga ",1,0
Čin koji se činiti neki dobro delo . ,0,1
postignuti bod ili cilj ,0,1
koji na sebe imati prljavština ili nečistoća . ,1,0
koji ispoljavati pogodan ili povoljan uticaj ,0,1
koji se kretati . ,0,1
Nešto što se koristiti za ulepšavanje . ,1,0
"koji stvarno postojati , gzistira . ",0,1
koji lako žaliti i sažaljevati ,0,1
"koji izazivati iznenađenje , čuđenje ili zadivljenost ",1,0
Osećanje naklonjenost drugi osoba ; uživanje u njihov društvo ,0,1
sposobnost da se razumeti ; razumeti i profitirati na iskustvo . ,0,1
koji jesam neki uveseliti ,0,1
voljen osoba ; koristiti se u izraz od milja . ,0,1
Osećanje samopoštovanje i ličan vrednost . ,0,1
inherentan kompleks atribut koji određivati moralan i etički akcija i reakcija osoba . ,0,1
onaj koji nemati ili ne pokazivati sažaljenje ili saosećanje . ,1,0
koji činiti živahan i veseo ,0,1
"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo ",0,1
smanjiti bol ili neprijatnost ; ublažiti ,0,1
ne pridržavanje moralan princip . ,1,0
ne osecati se dobro ili udobno . ,1,0
"izraziti broj , mera ili veličina . ",1,0
osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . ,0,1
osećati zadovoljstvo zbog nešto ,0,1
na visok nivo po rang ili značaj ,0,1
"nagovestiti , naslutiti , predosećati . ",1,0
"ličan sloboda od ropstvo , zarobljeništvo i ugnjetavanje ",0,1
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,1,0
spojiti ili vezati . ,0,1
tražiti ili tragati ,1,0
i u metaforički značenje ,0,1
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
Oslobođen spoljašnji kontrola i ograničenje . ,0,1
kvalitet neki ili nešto što jesam važan ili vredan pažnja . ,1,0
"stanje u koji jesam neki bogat , imati obilno materijalan dobro i novac . ",1,0
"stanje pozitivan osećanje , od zadovoljstvo do jak ushićenje . ",0,1
izraziti potreba ili želja za nešto . ,1,0
sposobnost postojanje ili delovanje u harmoničan ili usklađen kombijaciji ,0,1
onaj koji jesam po moralan kvalitet ili izgled nalik na anđeo ili svetac ,0,1
osobina ljudi da verovati u poštenje i pouzdanost drugi ,0,1
stvoriti mišljenje o nešto ; suditi oprezno ; napraviti procena . ,0,1
priroda ili svojstvo onaj ko jesam emocionalan . ,0,1
Čin prilazak cilj . ,0,1
"koji jesam okarakterisati mračan , mističan i groteska ",1,0
držanje do moralan princip ,0,1
potpuno verovanje u osoba ili plan itd . ,0,1
nešto što imati vrednost ,1,0
učiniti čist ili slobodan od greh ili krivica ,0,1
obezbediti zabava za neki . ,0,1
zabava koji držati pažnja . ,0,1
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
velik intenzitet ili snaga . ,1,0
"biti potpun u svoj vrsta , bez nedostatak ",0,1
"koji ne tražiti , ne iziskivati specijalan nutricione potreba ",1,0
Čin procenjivanje ili prosuđivanje . ,1,0
"na primer , o vukanima ; koji trajno jesam aktivan . ",1,0
