X,Predicted,Real
"intenzivno učiti, kao pre ispita",1,0
jezik čiji iskazi odgovaraju problemima korisnika,1,0
zamišljena linija koja spaja tačke u kojima se nešto dogodilo u isto vreme,1,0
GH,1,0
filovirus koji izaziva Ebola hemoragičnu groznicu; prenose je životinje; može da se koristi kao biološko oružje,1,0
"brak sa osobom koja ne pripada vašem plemenu ili grupi, kao što to zahteva običaj ili zakon",1,0
Zapadno indijsko voće koje podseća na mango; često ukiseljeno,1,0
novčana jedinica Švedske,1,0
kompatibilnost opservacija,1,0
osećati zadovoljstvo zbog nečega,1,0
osoba koja nezakonito drži žrtvu zatvorenu obično tražeći otkup,1,0
karakter koji označava relaciju ili operaciju među veličinama,1,0
odlomak isečen iz novina ili časopisa,1,0
prirodna količina tekuće vode koja teče po zemlji ili pod njom,1,0
objekat koji je recipijent ili benefaktiv radnje glagola,1,0
prilika da izložite slučaj i da vas saslušaju,1,0
Mladunče koze,1,0
zagovornik iredentizma,1,0
jedinica težine 100 kilograma,1,0
poboljšati čiji položaj,1,0
vežbati šta,1,0
"povezan zajedno, posebno u parovima",1,0
muskogijski jezik kojim govori narod Čokto,1,0
grbica koja se koristi u zimskim danima kao salata,1,0
signal koji izlazi iz elektronskog sistema,1,0
"grana čiste matematike koja se bavi tačkama, pravim, krivim i površima",1,0
prirodna akumulacija bitumena na površini zemlje; često funkcioniše kao zamka za životinje čije se kosti tako očuvaju,1,0
promeniti redosled nečega,1,0
postojanje zvuka pošto je izvor prestao sa emitovanjem,1,0
izgubiti svaku nadu,1,0
promena položaja nagore,1,0
naglo zaokrenuti; iznenada promeniti smer,1,0
"Odgovor telesnog tkiva na povredu ili nadržaj; karakteriše ga bol, otok, crvenilo i pečenje.",0,1
oblo žuto tropsko voće,1,0
grana biologije koja izučava strukturu i funkcije ćelija,1,0
oružje koje se koristi u biološkom ratu,1,0
osnovna novčana jedinica Sirije,1,0
dijakritički znak (-) koji se stavlja iznad vokala kako bi označio dug zvuk,1,0
pomeriti se da bi napravio mesta za nekoga ili za nešto,1,0
prestati opirati se; prestati boriti se,1,0
bivša osnovna novčana jedinica Irske,1,0
novčana jedinica Brazila,1,0
Kvalitet nečega što nije adekvatno ili perfektno.,0,1
osoba čija je svetost izuzetna,1,0
najmanji sadržalac koji je deljiv svakim brojem iz datog skupa,1,0
dokument koji garantuje pronalazaču isključivo pravo na pronalazak,1,0
mašina za kopiranje koja šalje poruku putem telefona ili radio signala,1,0
Uključuje kukavicu i ??,1,0
"točak oko koga može da se namota vlakno, traka, film ili drugi fleksibilan materijal",1,0
vršiti poslove,1,0
Površinska iskopina iz koje se vadi kamen ili?,1,0
Tisa koja preovlađuje u Evropi; izuzetno dugo živi i sporo raste; jedna od najstarijih vrsta na zemlji.,1,0
znak ili znamen koji je ostavilo nešto što je prošlo,1,0
podroban analitičan ili objašnjavajući esej ili diskusija,1,0
posuđe napravljeno od visoko kvalitetnog porcelana,1,0
veoma odbojan,0,1
sprečiti donošenje odluke porote,1,0
protozoa sa mikroskopskim izraštajima koji se šire od površine ćelije,1,0
ponašanje koje nije u skladu sa prihvaćenim standardima,1,0
čemakuanski jezik kojim govori narod Čemakum,1,0
naziv pod kojim je poznata kakva geografska lokacija,1,0
dokaz koji ukazuje na moguće rešenje,1,0
težak crvenkast mineral koji se sastoji od sulfida žive; glavni izvor žive,1,0
priručnik sa kratkim uputstvima,1,0
pojam u propoziciji koji je povezan sa referentom propozicije,1,0
laki obojeni mineral koji se sastoji od kristala kalcijum magnezijum karbonata; koristi se za proizvodnju keramike,1,0
