X,Predicted,Real
suma koji jesam klijentpoverio banka i sa koji moći da podignuti novac . ,1,0
pravac ponašanje . ,1,0
stan koji se nalaziti na visok sprat zgrada ,1,0
zaštitni znak jedan moćan operativan sistema ,1,0
shrikes that impale their prey on thorns ,1,0
"telo ime jesam zdepast i koturast , bezrep ; noga snažan , zadnji duže od prednji ; gornji vilica i nepce nositi zub , a donji jesam bezub ; koža gladak ; ",1,0
pri selenju ga ništa ne moći zadržati i prebroditi svaki prepreka . ,1,0
centralni računar koji jesam u dat trenutak s najviše računarski snaga ,1,0
paprikaš koji se praviti sa usoljen govedina ,1,0
poljski gulaš od kiseo kupus i meso ,1,0
podupirač koji se postavljati između pokretan delovati da biti ona omogućiti lakše kretanje ,1,0
sposobnost za spontan i nezavisan kretanje ,1,0
odašiljač koji isterivati tečnost u vida fin sprej po pritisak dugme ,1,0
onaj deo um koji mi trenutno jesam aktivan ali ga moći prizvati ( za razlika od nesvestan ) tj . koji trenutno ne koristiti na svestan nivo ali moći ga kasnije uočiti i objasniti ,1,0
koji se ticati religija ili imati religijski namena ,1,0
neki mali mačka osrednji veličina koji podsećati na domaći mačka a živiti u divljina . ,1,0
složen sočivo koji formirati slika bez hromatski aberacija ,1,0
premestiti se iz jedan država ili region u drugi i nastaniti se tamo . ,1,0
"osobina onaj koji jesam žilav , jak i mišićav ",1,0
"dugačak , crn turovet ",1,0
"šetati se ; krenuti u šetnja , šetati se iz zadovoljstvo ",1,0
promenljiv veličina koji jesam nasumičan ,1,0
ram koji služiti za odlaganje stvar ,1,0
Bizamko goveče ,1,0
barijera konstruisati tako da prihvatiti voditi ili zadržati mora . ,1,0
"spustiti noga , smestiti noga . ",1,0
potpodela neki vrsta stvar ,1,0
"radioaktivan gasovit element koji nastajati dezintegracija radijum , težak od inertan gas , imati ga u priroda , smatrati se štetan za zdravlje . ",1,0
star način pisanje pri koji jesam red naizmenično usmeriti sleva nadesno i zdesna nalevo ; u prevod ' onako kako vo orati ' ,1,0
područje u zapadni Atlantik gde jesam navodno mnogi brod misteriozno nestati ,1,0
"sup od povrće i škembića , začinjen biber , često sa knedla ",1,0
sitan muški spor koji učestvovati u razmnožavanje nizak biljka ,1,0
Unutrašnja donji horizontalan površina sob ili hodnik . ,1,0
vreme se približavati ,1,0
( law ) presuda koji se proglašavati nešto neupotrebljiv ( na primer zemlja konfiskovati za javan upotreba ) ili nepodesan za upotreba ( na primer prehrambeni proizvod ili objekt koji jesam bezbedan ) ,1,0
sendvič sa tanko sečen piletina ,1,0
centar oko koji nešto rotirati . ,1,0
Brgljez . ,1,0
osećanje naklonost prema neki ili nećemu dobar ,1,0
čin umirivanje ; ponovan zadobijanje čiji poverenje ,1,0
advokat koji predstavljati siromašan optuženik o državni trošak . ,1,0
kruna kakav žena nositi u formalan prilika ,1,0
liker sa ukus kafa napraviti u Meksiko ,1,0
diskurs koji okruživati jezički izskaz i pomagati da se on interpretirati ,1,0
manometar za merenje krvni pritisak ,1,0
Obožavanje koji pripadati samo bog ,1,0
koji moći da povezati nov percepcija sa prethodan iskustvo ,1,0
neki ko uzgajati voće zbog prodaja . ,1,0
velik snažan traktor ; velik lopata na prednji delo ravan zemlja ,1,0
"hemijski element nemetal ; u priroda jesam u stanje gas bez boja , miris i ukus ; činiti @card@ posto zapremina zemljin atmosfera ; sastavni deo tkivo sav živ biće ",1,0
provodni kanal ili cev prekriven epitelni ćelija koji prenositi izlučevine i drugi supstanca . ,1,0
neki od mnogi velik evropski buba koji uništavati rastinje i kao larva i kao odrasti kukac . ,1,0
Čin slaganje element u poseban grupa bez obzir na red . ,1,0
prevlaka na severoistok Egipat koji povezivati Egipat i Afrika ,1,0
Udaraljka ; obično se sastojati od šupalj cilindar na koji jesam oba kraj prevučen koža . ,1,0
klasa prav sluzav gljiva ; uglavnom se poklapati sa razdeom Myxomycota . ,1,0
traka prevučen lepak ,1,0
grana medicina koji se baviti dijagnostikovanje i lečenje mentalan poremećaj ,1,0
potpun popis stvar srediti po određenom sistema ,1,0
italijanski otvoriti pitati od tanak testo prekriven npr . paradajz sos i sir ,1,0
kopno koji spajati Severnu i Južnu Amerika ,1,0
ugljeni gorivo koji se dobijati destilacija ugalj ,1,0
"gladak i mekan životinjski koža , nastati uklanjanje dlaka i štavljenje . ",1,0
relativno mali prostiranje od jedan do durge suprotan površina . ,1,0
Važi za neljudski sisara ; stanje ili period povišen seksualan aktivnost i uzbuđenje . ,1,0
hodati određenim korak ,1,0
staviti u vodoravan položaj . ,1,0
"pas , vuk , šakal i lisica . ",1,0
deo pisan delo koji jesam kodirati ili šifrirati ,1,0
onaj koji prav apstrakt ili sažimati informacija ,1,0
hemijski entitet koji primati elektron koji jesam na on preneti iz neki drugi spoj ,1,0
Ćerka nečiji sin ili ćerka . ,1,0
"engleski pisac čiji jesam prava ime Čarls Dodžson i koji jesam biti matematičar s Oksford , a zapamtiti jesam po priča za deca koji jesam napisati pod ime Luis Karol ",1,0
par ljudi koji živa zajedno ,1,0
osoba koji jesam član . ,1,0
biti koji činjeničan nalaz koji pomagati da se ustanoviti istinitost nešto ,1,0
slatkovodni riba koji jesam u naš kraj stignuti sa severnoamerički kontinent ,1,0
obrada podatak kod koji se određivati koji hteti se operacija izvršavati preko sistema prioritet ,1,0
srednjovekovan dijalekt langedoka ( južna Francuska ) ,1,0
Mehaizam za prenos kretanje pomoću zupčanik za specijalan namena ( kao upravljački mehanizam vozilo ) . ,1,0
plavičast proziran magnetan tečnost koji se dobijati sabijanje gasovit kiseonik ,1,0
ravan u koji se sav tačka moći opisati Dekartov koordinata ,1,0
konverzija iz jedan način kodiranje u drugi ,1,0
rum razblažen voda ,1,0
grupa jedinjenje izveden iz monosaharida ; složen organski jedinjenje sastaviti iz dva komponenta : šećer i aglikona . ,1,0
"planinski masiv koji razdvajati Indjski podkontinent od Tibet , na on visok planinski vrh na svet ",1,0
tražiti od neki da uraditi nešto ,1,0
Beloruki gibon ,1,0
beo čovek pripadnik kavkaski rasa ,1,0
dovoljno velik da biti se videti golim oka . ,1,0
bogato zemljište koji se sastojati od mešavina pesak i glina i raspadajućih organski materijal ,1,0
tržnica na koji se prodavati namirnica ,1,0
"konferencija ljudi koji jesam na različit lokacija koji omogućavati korišćĚenje telekomunikacioni oprema , kao što jesam zatvoren televizija ",1,0
dokument ( dozvola ) koji se odobravati izgradnja zgrada određenog tip na određenom zemljište ,1,0
ravan ploča od metal ili staklo na koji se beležiti fotografski slika . ,1,0
Sličan kuna zlatica ; nekada živoe u Sibir ; imati gusto tamnosmeđ krzno koji se veoma cena . ,1,0
ukloniti nešto rezanje . ,1,0
Najniži deo biti šta . ,1,0
proces svestan biće u koji nervni sistem trajno ili privremeno čuvati odrediti podatak ; moći biti takav da biti taj podatak moći kasnije ponovo proizvesti ( reprodukcija ) ili takav da se podatak ne moći reprodukovati nego samo prepoznati pri ponovan susret s ona ( rekognicija ) ,1,0
neki ko pisati nov zakon ili plan ,1,0
uglavnom mali višegodišnji paprat - papratka ; u neki klasifikacija smeštati se u Polypodiaceae . ,1,0
kupast akustičan uređaj držati do usta kako biti se intenzivirati i usmeriti ljudski glas ,1,0
Ispričati ili dati detaljan podatak o . ,1,0
opšti naziv za piva dobijen sa dno pri fermentacija kvasac ( često pasiranje esencija ) ; prvobitno jesam praviti u mart ili april i sazrevati do septembar ,1,0
fermentisano pića sličan piva koji se praviti od raž ili ječam ,1,0
Novoizmišljena reč ili fraza . ,1,0
koji pripadati srednji klasa ,1,0
slab kaša ( često ovsena ili kukuruzni ) ,1,0
dodati kao nov element ili deo ,1,0
onaj što jesam čulo oktriveno ,1,0
grčki departman u centralni Peloponez ,1,0
"stanovnik Hrvatska , pripadnik Slovenskog narod ",1,0
jedinjenje telurijuma sa još jedan elektropozitivnim element ,1,0
logički kvantifikator iskaz koji tvrditi da jesam iskaz tačan za sav član neki klasa ,1,0
ćelija koji jesam nastati spajanje jajni ćelija i spermatozoid ( uključivati organizam koji se razvijati iz taj ćelija ) ,1,0
pretvoriti u žele ,1,0
jak seksualan nagon . ,1,0
neki od velik čovekolik majumuna iz familija Pongidae . ,1,0
nalog apelacioni sud koji se zahtevati od sud koji posedovati pisan ( trajno zabeležen ) postupak da navesti dokumentacija sa ( taj ) suđenje ,1,0
postati zatvoren . ,1,0
osoba čiji jesam svetost izuzetan ,1,0
uništiti kakav raspored ili redosled ,1,0
Mlečnobeli ili sivkast prozračan komad kvarcati . ,1,0
komad govedina ,1,0
Make larger ,1,0
particip koji se izražavati završiti radnja ,1,0
"u računarstvo , istres sadržaj glavnih registar CPU ",1,0
roditelj nečiji deda ili baba . ,1,0
"izdan jesam prirodan nakupnina slobodan podzeman voda koji moći da "" izdavati "" voda tj . da hrana izvor , reka , bunar i drugi prirodan i veštacke vodan objekt . ",1,0
pojam u propozicija koji jesam povezati sa referent propozicija ,1,0
"( šahovski figura koji moći da se pomerati za više polje , paralelno sa strana šahovski tabla ",1,0
"posebno geografski područje nedefinisanih granica , obično imati posebno namena ili se razlikovati po ljudi , kultura ili zemljište . ",1,0
u rimski mitologija bog rat i poljoprivreda ; otac Romul i Rem ; u grčki mitologija on odgovarati Ares ,1,0
"pisan sporazum ( ili svojina ili novac ) koji se predavati treći lice ili se davati na briga jedan od ugovorni strana , a koji jesam isti u obaveza da vratiti nakon ispunjenje izvestan uslov ",1,0
