X,Predicted,Real
"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . ",1,0
okrutan poslodavac koji od zaposlen tražiti da prekomeran raditi . ,0,1
Prošireno značenje ; posebno se odnositi na psihološki hladnoća ; bez ljudski toplina i emocija . ,0,1
Započeti ili voditi rat . ,1,0
koji se tič princip dobra i zlo ; koji se uklapati u standard ponašanje i karakter koji jesam zasnovati na ovaj princip . ,1,0
"onaj što jesam dobro , vredan ili korisno ",1,0
"koji jesam povezati sa trgovina , koji jesam uključiti u trgovina ili ga sponzorisati trgovina . ",1,0
Čin prljanje nešto . ,0,1
imati neželjen ili negativan kvalitet ,0,1
osoba ili firma koji zapošljavati radnik ,0,1
proizvesti ili stvoriti proizvod stvoren ljudski ruka . ,1,0
koji slediti prihvaćen običaj i pristojnost . ,0,1
onaj koji jesam stalan ili postojan ,0,1
kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . ,0,1
koji nedostajati dobar raspoloženje ,0,1
koji osećati nadolazeći opasnost ,0,1
osobina onaj što zasluživati poverenje . ,1,0
koji jesam otrovati ili proizvoditi otrov . ,0,1
osoba koji jesam aktivan u politika . ,1,0
"osoba koji uzgajati , praviti ili smišljati stvar . ",1,0
( poetski ) muka ,0,1
ispuniti očekivanje . ,1,0
koji ne pripadati snaga sopstven zemlja ili snaga saveznik ,0,1
neki ko prav ugovor i nadgledati gradnja zgrada . ,1,0
"koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebičnost drugi ",0,1
smanjenje vrednost stvar usled činjenje ili nečinjenje ,1,0
žalostan zbog gubitak ili uskraćenosti ,0,1
koji ne moći da se desiti ili ostvariti ili s koji se ne moći rukovati . ,0,1
nešto što izazivati osećanje čuđenje ,1,0
Oružani sukob protiv neprijatelj . ,0,1
onaj što jesam otkriven instinkt ili zaklučivanjem a ne prepoznavanje uočen znak ,1,0
"biti uplašiti , plašiti se ",0,1
koji dovoditi ( pričinjavati ) fizički neudobnost . ,0,1
ukloniti posvećenost sa osoba ili objekt . ,1,0
razmena dobro za dogovoren suma novac . ,1,0
osoba koji ne prihvatati nov ideja ,0,1
koji nemati ili ne obavljati funkcija . ,0,1
iznenadno stanje žestok emocionalan uznemirenost ,0,1
nepravedan postupanje prema neki osoba ili grupa na osnova predrasuda . ,0,1
držanje do moralan princip ,0,1
osećanje velik ( obićno preteran ) ushićenje ,1,0
"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati ",0,1
Osećanja proživeti kada jesam neki u zadovoljan stanje . ,1,0
koji jesam nezavisan . ,0,1
dati razlog za očekivanje . ,1,0
onesposobiti kretanje neki tako što se smestiti unutar neki granica . ,0,1
"( krivičan prava ) pravnosnažan , osuđujući presuda u krivičan postupak sa dosuđen kazna ",0,1
sastavljati od komponenta ili delovati . ,1,0
na prljav i nečist način ,0,1
sposobnost da se razumeti ; razumeti i profitirati na iskustvo . ,1,0
stanje duh u koji jesam nešto preokupirati . ,1,0
Učiniti ili izazvati da nešto postati . ,1,0
Osećanje velik žalost povezati sa gubitak ili lišavanje . ,0,1
svojstvo onaj koji nedostajati živost ,0,1
"zaprljati , onečistiti . ",0,1
koji na sebe imati prljavština ili nečistoća . ,0,1
kvalitet neki ili nectega što jesam važan ili vredan pažnja . ,1,0
onaj koji nedostajati moć . ,0,1
koji jesam u sklad sa metoda ili princip nauka . ,0,1
velik ( glavobolja ) . ,0,1
velik tuga uzrokovati gubitak voljen osoba ( posebno smrt ) . ,0,1
Čin oštećivanje nešto ili neki . ,1,0
"Nezavistan , jesam spojiti ili sjediniti . ",1,0
usmrtiti u velik broj . ,1,0
koji jesam savršen ; defektan ili neadekvatan . ,0,1
Uništiti ili oštetiti na nasilan način . ,0,1
biti posledica nešto . ,1,0
koji jesam intelektualan . ,0,1
"baviti se kreativan aktivnost , kao slikanje , pisanje ili ples . ",1,0
"smear with blood , as In a hunting initiation rit , where the faca of a person is smeared with the blood of the kill ",1,0
Čin konstruisanje nešto ( kao masšinskog delo ) . ,0,1
zgrada u koji se vršiti likvidacija životinja radi proizvodnja meso ,0,1
sastavljati rima ,1,0
odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . ,0,1
Čin konstruisanje ili građenje nešto . ,0,1
promena u nizak stanje ( manje poštovati ) ,0,1
"zaklanjati od opasnost , povreda , uništenje ili šteta . ",1,0
škrtost koji proizilaziti iz briga za sopstven dobrobit i nepoštovanje drugi ,0,1
nedostatak darežljivost ; nesklonost da se da novac . ,1,0
preuveličan osećanje blagostanje ili ushićenje ,1,0
napraviti nešto kombinovati materijal ili deo . ,0,1
"koji se žeti , tražiti ",1,0
poduhvat koji se preduzimati bez obzir na moguć gubitak ili povreda ,0,1
pod uticaj patnja i tuga ili ispuniti ovaj osećanje ,0,1
"neraspoznatljiv , nejasan obris ",0,1
Oštećenje normalan fiziološki funkcija koji pogađati deo ili ceo organizam . ,0,1
koji raskidati sa tradicija i opšti prihvaćen . ,0,1
sjediniti ili spojiti ,1,0
kvalitet koji ne pružati zadovoljstvo čulo . ,0,1
koji se protiviti pravilo ili usvojen praksa . ,0,1
biti zabrinuti i prestrašiti zbog nešto ,0,1
Čin okončanje nečiji zaposlenje . ,0,1
povući se ,0,1
uzrokovati probadanje ,0,1
"Nemogućnost da se odmoriti , opustiti ili biti miran . ",0,1
zlonameran zadovoljstvo ,0,1
smatrati da jesam nešto loše ili pogrešno . ,0,1
odbiti s gnušanje ,0,1
Psihološka potreba za hrana ; posledica uzdržavanje od hrana . ,1,0
Nešto što neki zadržavati . ,0,1
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,1,0
uzrokovati strah ,0,1
Pokušaj da se nešto dobiti . ,1,0
nedoličan ili nemoralan ponašanje ,0,1
proglasiti kriv ( utvrditi krivica ) ,1,0
koji obezbeđivati ili osećati fizički udbnost ili opuštanje . ,1,0
