X,Predicted,Real
osećati zadovoljstvo zbog nešto ,1,0
"odgovor telesni tkivo na povreda ili nadržaj ; karakterisati ga bol , otok , crvenilo i pečenje . ",0,1
Povećati cena . ,1,0
osoba koji ne prihvatati nov ideja ,0,1
"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . ",0,1
smanjenje u veličina organ usled bolest ili nekorišćenja . ,0,1
intenzivan ojađenost ,0,1
svojstvo onaj koji nedostajati živost ,0,1
"biti uplašiti , plašiti se ",0,1
stanje bez oštećenje ili propadanje ,1,0
nešto što izazivati osećanje čuđenje ,1,0
kvalitet onaj ko jesam brižljiv . ,0,1
koji zasluživati sažaljenje ili podsticati na sažaljenje ,0,1
nenormalan depresija i nezadovoljstvo ,0,1
"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati ",0,1
predočiti dokaz za kakav tvrdnja ,1,0
stanje u koji čovek ne moći da funkcionisati normalno i bez bol . ,0,1
napad bez upozorenje . ,1,0
koji više nemati životan funkcija ( ili bar tako izgledati ) . ,0,1
nedostatak darežljivost ; nesklonost da se da novac . ,1,0
nejasno i neprijatan osećanje koji se imati u iščekivanje neki loš ishod ,0,1
smatrati da jesam nešto loše ili pogrešno . ,0,1
koji odražavati sumornost i smrknutost ,0,1
zlonameran zadovoljstvo ,0,1
izazvati iznenadan strah u koji ili ispuniti koji iznenadan panika ,1,0
"koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebičnost drugi ",0,1
učiniti da neki ili nešto ne biti osetljiv ili osetljiv ,0,1
čin nameran odstupanje od istina ,0,1
svaki odstupanje od zdrav ili normanog stanje ,0,1
uzrok velik patnja i nesreća . ,0,1
Instrumentalisi ne uključivati gudač . ,1,0
neprijateljski stav ,0,1
odsustvo moralan ili duhovan vrednost ,0,1
koji jesam raspoložiti da sarađivati ,0,1
iznenadno stanje žestok emocionalan uznemirenost ,0,1
mentalno uznemiriti zbog moguć nesreća ili opasnost ; zabrinuti ,0,1
Ispuštati vonj . ,0,1
nedoličan ili nemoralan ponašanje ,0,1
kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . ,0,1
"biti lažljiv , neiskren prema neki . ",0,1
"koji nemati potreban sposobnost , veština ili znanje . ",0,1
koji tek što jesam zaspati ,1,0
na nizak nivo po rang ili značaj ,0,1
"koji izazivati neprijatnost ; na primer , neprijatan istina ",0,1
stanje koji karakterisati osećanje u raspon od blag nezadovoljstvo do dubok bol . ,0,1
stanje koji još ne odgovarati zrelost . ,0,1
( za naglašavanje značenje ) izuzetno dobro ,1,0
nadmoćan osećanje strah i zebnja ,1,0
"koji pokazivati ili jesam motivisan saosećanje , razumevanje i velikodušnost ",1,0
osobina onaj što ne zasluživati poverenje . ,0,1
