Sysnet,NEG,Predicted
b'pun ili ozna\xc4\x8den ozloje\xc4\x91enost ili zlovolja ',1,0
b'koji ose\xc4\x87ati ili ispoljavati \xc5\xbealost i tuga ',1,0
b'sna\xc5\xbean ose\xc4\x87anje nedopadanje ',1,0
b'koji nemati ose\xc4\x87anje sa\xc5\xbealjenje i toplina ',1,0
b'tvorevina koji jesam stvoriti neki osoba ili neki proces . ',1,0
b'slab sposobnost da se razumeti iskustvo ili profitirati iz on . ',1,0
b'izuzetno lo\xc5\xa1 ili nezadovoljavaju\xc4\x87i ',1,0
b'smatrati da jesam ne\xc5\xa1to lo\xc5\xa1e ili pogre\xc5\xa1no . ',1,0
b'poduhvat koji se preduzimati bez obzir na mogu\xc4\x87 gubitak ili povreda ',1,0
b'uop\xc5\xa1ten ose\xc4\x87anje tuga ',1,0
b'ne biti podlo\xc5\xbean ne\xc5\xa1to . ',1,0
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',1,0
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',1,0
"b'zaprljati , one\xc4\x8distiti . '",1,0
b'Ose\xc4\x87anje pomanjkanje briga . ',1,0
b'koji odra\xc5\xbeavati sumornost i smrknutost ',1,0
b'stanje u koji jesam neki tu\xc5\xbean . ',1,0
b'tuga povezati sa neki u\xc4\x8dinjen zlo ili neki razo\xc4\x8daranje . ',1,0
b'okrutan poslodavac koji od zaposlen tra\xc5\xbeiti da prekomeran raditi . ',1,0
b'koji naru\xc5\xa1avati princip dobra i zlo . ',1,0
b'koji se protiviti pravilo ili usvojen praksa . ',1,0
"b'Nemogu\xc4\x87nost da se odmoriti , opustiti ili biti miran . '",1,0
b'postati gora . ',1,0
b'\xc4\x8cin prljanje ne\xc5\xa1to . ',1,0
b'koji ne pokazivati dovoljno pijetet prema bog . ',1,0
b'Pri\xc4\x8dati na besposlen ili neobavezan na\xc4\x8din sa element sumnja ili bez dovoljno razlog da se do\xc4\x87i do zaklju\xc4\x8dak . ',1,0
b'odbiti s gnu\xc5\xa1anje ',1,0
"b'koji jesam okarakterisati mra\xc4\x8dan , misti\xc4\x8dan i groteska '",1,0
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",1,0
b'stanje kada jesam u\xc4\x8diniti prekr\xc5\xa1aj . ',1,0
