,ID,POS,NEG,Lemme,Definicija
0,ENG30-03574555-n,0.0,0.0,ustanova,zgrada u kojoj se nalazi organizaciona jedinica neke grane javnog poslovanja
1,ENG30-07810907-n,0.0,0.25,začin,pripremljeni dodatak jelu za poboljšanje ukusa
2,ENG30-00721431-n,0.0,0.5,mesto,"u nečijim prilikama, mogućnostima"
3,ENG30-00473799-v,0.0,0.5,"obnoviti,doterati,uglancati,uljuditi",Ostalo je još samo da se doteraju neke finese u igri plavih.
4,ENG30-00903385-v,0.0,0.5,oprostiti,Zapad mu je oprostio što se nekada računao u Slobine prijatelje.
5,ENG30-00900961-v,0.0,0.5,oprostiti se,"""I najposle se oprostismo: on sklapanjem ruku, ja poklonom."""
6,ENG30-01987160-v,0.0,0.125,postaviti,Čeličnu grdosiju tešku ukupno 2160 tona postavili su na stubove i namontirali neimari Mostogradnje.
7,ENG30-01348174-v,0.25,0.125,"zaključati,zabraviti",Sputati pomoću brave
8,ENG30-01376245-v,0.125,0.375,"rasuti,raštrkati,posuti,rasejati,rasturiti",Razmestiti na raštrkan način.
9,ENG30-01382083-v,0.0,0.125,"brati,sakupljati",Tražiti i sakupljati.
10,ENG30-01387022-v,0.125,0.25,"oturpijati,isturpijati,strugati",uglačati turpijom
11,ENG30-01393996-v,0.125,0.25,pomesti,Očistiti metenjem.
12,ENG30-01421622-v,0.0,0.375,"ubaciti,umetnuti,staviti",Staviti ili ubaciti u nešto.
13,ENG30-01431987-v,0.0,0.375,"golicati,škakljati,dražiti",Lagano dodirivati ili maziti.
14,ENG30-01437254-v,0.0,0.5,"odaslati,izaslati,izdati","Uzrokovati ili narediti da se prenese, usmeri ili odašalje na drugo mesto."
15,ENG30-01441100-v,0.0,0.375,probušiti,Napraviti rupu u nečemu.
16,ENG30-01445932-v,0.0,0.375,"ujesti,ugristi","Uhvatiti, odgristi ili otrgnuti pomoću zuba ili kao zubima."
17,ENG30-01446901-v,0.0,0.625,"mahnuti,mahati,vitalati",Pomerati ili ljuljati napred-nazad.
18,ENG30-01371756-v,0.0,0.375,"šutnuti,voditi","Terati, voditi nogom, u sportovima kao što je futbal."
19,ENG30-01370561-v,0.0,0.25,šutnuti,Udariti nogom
20,ENG30-01391280-v,0.0,0.375,"uvaljati,razviti",Poravnati ili raširiti valjkom.
21,ENG30-01435380-v,0.0,0.0,"preneti,sprovesti",Poslati od jedne osobe ili mesta na drugo.
22,ENG30-01456771-v,0.0,0.375,"štipati,štipnuti,stisnuti",Čvrsto stisnuti među prstima.
23,ENG30-01461328-v,0.0,0.5,"smešati,pomešati",Smešati u jednu celinu.
24,ENG30-01487311-v,0.0,0.5,"opteretiti,otežati,natovariti",Natovariti teretom.
25,ENG30-01488956-v,0.0,0.375,utovariti,Napuniti ili natovariti do kraja.
26,ENG30-01489989-v,0.0,0.375,"nakrcati,natovariti",Napuniti ili natovariti.
27,ENG30-01493619-v,0.0,0.375,"smestiti se,zavaliti se",Čvrsto ili sigurno se smestiti.
28,ENG30-01528069-v,0.0,0.25,"smestiti,zabiti,zariti",Zabiti ili silom uterati.
29,ENG30-01536168-v,0.0,0.25,"proprati,isplaknuti",Isprati sapun ili preostalu prljavštinu.
30,ENG30-01566705-v,0.0,0.875,"smrskati,skršiti",Uništiti ili oštetiti na nasilan način.
31,ENG30-01573515-v,0.0,0.125,"prekinuti se,preseći se,puknuti,rasparati",Razdvojiti ili učiniti da se nešto naglo razdvoji.
32,ENG30-01631534-v,0.0,0.375,"zamisliti,stvoriti umom","Stvoriti mentalno i apstraktno, a ne ručno."
33,ENG30-01634142-v,0.125,0.25,"smisliti,isplanirati,zasnovati",Zamisliti neku ideju.
34,ENG30-01691057-v,0.0,0.5,"crtati,pisati",Ostavljati ili crtati po površini.
35,ENG30-01723690-v,0.0,0.375,"oličavati,oličiti",Poprimiti ili glumiti nečiji karakter.
36,ENG30-01747374-v,0.0,0.5,prepisati,Pisati nešto ponovo kako jeste.
37,ENG30-01797051-v,0.0,0.5,"oplakati,tugovati,jadikovati,ožaliti",Osećati tugu.
38,ENG30-01824532-v,0.0,0.0,želeti dobro,Osećati ili izražavati želju ili nadu za nečiju budućnost.
39,ENG30-01828405-v,0.0,0.25,"čeznuti,priželjkivati,žudeti",Jako ili neprekidno želeti.
40,ENG30-01866610-v,0.0,0.5,"vrteti se,kotrljati se,valjati se",Vrteti se ili uzrokovati da se nešto vrti.
41,ENG30-01868370-v,0.0,0.5,"migoljiti se,uvrtati se,savijati se",Micati se uvijenim ili grčevitim pokretima (posebno u borbi).
42,ENG30-01876530-v,0.375,0.0,ići tamo-amo,"Kretati se u jednom smeru, a zatim u suprotnom."
43,ENG30-01888946-v,0.0,0.375,"drhtati,potresti se,treperiti,protresti se",Tresti se grčevito
44,ENG30-01902405-v,0.0,0.0,"odjuriti,strugnuti,kidnuti,odmagliti",Kretati se žurno.
45,ENG30-01902783-v,0.0,0.375,"plutati,lelujati se",Biti u pokretu zbog neke struje vazduha ili vode.
46,ENG30-01909397-v,0.125,0.375,"prevrnuti se,iskrenuti se",Okrenuti se iz uspravnog ili normalnog položaja.
47,ENG30-01911888-v,0.0,0.25,"ušunjati se,privući se,prikrasti se",Prići kradom ili krišom.
48,ENG30-01916634-v,0.0,0.375,"šepiriti se,šepuriti se,kerebečiti se,prsiti se,razmetati se","Hodati gordo, često pokušavajući da se impresioniraju drugi."
49,ENG30-01920932-v,0.0,0.0,dugo pešačiti,"Ići na dugo pešačenje, iz zadovoljstva ili telesne vežbe."
50,ENG30-01938426-v,0.0,0.0,"skijati se,smučati se",Kretati se na skijama.
51,ENG30-01960911-v,0.0,0.25,plivati,Putovati kroz vodu.
52,ENG30-01977701-v,0.0,0.125,ispustiti,Pustiti nešto da padne na zemlju.
53,ENG30-01983771-v,0.125,0.375,promeniti položaj,Pretrpeti promenu u položaju tela.
54,ENG30-01993926-v,0.25,0.0,"primaknuti,prineti,približiti",Učiniti da nešto bude pomaknuto prema napred.
55,ENG30-02038357-v,0.0,0.25,"nagnuti se,nagibati se,iskositi se,ukositi se",Nagnuti se ili saviti iz uspravnog položaja.
56,ENG30-02058448-v,0.0,0.375,"vrpoljiti se,meškoljiti se,vrteti se",Micati se neprestano.
57,ENG30-02123672-v,0.0,0.5,mirisati,Ispuštati miris.
58,ENG30-02125223-v,0.0,0.25,"namirisati,nanjušiti",Osetiti nečiji miris.
59,ENG30-01887576-v,0.0,0.75,"kliziti,klizati",Kretati se glatko i bez muke.
60,ENG30-01886488-v,0.125,0.0,"puzati,gmizati,puziti",Prolaziti ili se kretati nenametljivo ili glatko.
61,ENG30-01587062-v,0.0,0.375,"opkoliti,obuhvatiti",Potpuno okružiti.
62,ENG30-01467370-v,0.0,0.5,"okružiti,omeđivati,graničiti se",Protezati se istovremeno na sve strane.
63,ENG30-01976841-v,0.0,0.375,"pasti,padati",Padati okomito.
64,ENG30-02157731-v,0.0,0.25,"zatamniti,zamagliti,pomračiti",Učiniti manje vidljivim ili nejasnim.
65,ENG30-02158587-v,0.0,0.0,"prerušiti,maskirati",Učiniti neprepoznatljivim.
66,ENG30-01334535-v,0.0,0.375,"prikriti,zaogrnuti,zamaskirati",Sakriti pod lažnom pojavom.
67,ENG30-02163746-v,0.0,0.375,"ugledati,spaziti,videti","Ugladati, opaziti očima."
68,ENG30-02165543-v,0.0,0.375,proučiti,Pažljivo ispitati.
69,ENG30-02186506-v,0.125,0.25,"zvečati,zveketati,zveckati",Proizvoditi ili emitovati prodoran zveketav zvuk.
70,ENG30-02188587-v,0.0,0.375,"presti,zujati,zvrjati,fijukati,zviždati","Proizvoditi tih šuštav zvuk, kao kad motor radi ili krila lepršaju."
71,ENG30-02212825-v,0.0,0.375,"odbiti,uskratiti,odreći",Ne dati nekome šta mu pripada.
72,ENG30-02259005-v,0.0,0.5,trampiti se,Zameniti ili dati nešto u zamenu.
73,ENG30-02290461-v,0.0,0.5,"koristiti se,izvući korist,okoristiti se",Steći korist.
74,ENG30-02293321-v,0.0,0.375,sprovesti,Predati nekoga ili nešto drugome.
75,ENG30-02324026-v,0.0,0.125,"pozajmiti,posuditi",Dobiti privremeno.
76,ENG30-02345647-v,0.125,0.375,"uzajmiti,pustiti,imati viška",Pozajmiti nešto što nije strogo potrebno.
77,ENG30-02349212-v,0.0,0.0,"poveriti,predati,dati",Ukazati poverenje kome.
78,ENG30-02378623-v,0.0,0.5,"reagirati,reagovati,opirati se,opreti se,kontrirati,oponirati,suprotstaviti se",Delovati protiv nečega.
79,ENG30-02384940-v,0.0,0.375,"ugostiti,pogostiti",Pozvati kao gosta.
80,ENG30-02437707-v,0.0,0.5,"paziti,brinuti se,voditi računa",Biti zadužen za nešto ili imati posla sa nečim.
81,ENG30-02485844-v,0.0,0.5,"sastati se,videti se",Ići sa nekim na sastanak.
82,ENG30-02506546-v,0.25,0.25,"obavezati,primorati",Prisiliti ili obavezati nekoga da uradi nešto.
83,ENG30-02570267-v,0.125,0.25,"razmaziti,raznežiti,povlađivati,kvariti",Ponašati se prema nekome sa preteranom popustljivošću.
84,ENG30-01752884-v,0.0,0.625,"omogućiti,rezultirati",Učiniti mogućim.
85,ENG30-02641035-v,0.0,0.125,"oklevati,zastati",Privremeno prekinuti aktivnost pre nego što se nastavi.
86,ENG30-02652494-v,0.0,0.25,"boraviti,stanovati,biti stanar",Biti stanar; privremeno boraviti.
87,ENG30-02656390-v,0.0,0.0,"skloniti,zbrinuti,zaštiti",Obezbediti sklonište.
