X,Predicted,Real
Okrutni poslodavac koji od zaposleni traži da prekomerno rade.,0,1
zrela jalapeno čili paprika osušena za potrebe kuvanja,1,0
Prošireno značenje; posebno se odnosi na psihološku hladnoću; bez ljudske topline i emocija.,0,1
trka između timova; svaki član trči ili pliva deo staze,1,0
Neko ko operiše nervni sistem (posebno mozak).,1,0
kugara,1,0
strah od nepoznatog ili od donošenja odluka,1,0
zakrivljeni komad elastičnog drveta sa napetim kablom za izbacivanje strela,1,0
"lanac ostrva koji uključuje Boreno, Sulavesi, Javu i Sumatru",1,0
"Jestivo žuto voće, vrsta ""Jamajčanskih orlovih noktiju""",1,0
koji nešto potvrđuje,1,0
dodatak koji se preliva preko nekog jela,1,0
opaziti slušajući,1,0
grana biologije koja proučava biljke,1,0
trosložna metrička stopa u kojoj je samo prvi slog naglašen,1,0
supstanca ili jedinjenje koje se dodaje da bi se izazvala hemijska reakcija,1,0
stanje sumorne žalosti,0,1
konzsitentnost kompaktnih čvrstih tela,1,0
Proizvodnja hrane pripremom zemlje da donosi rod (u poljoprivredi).,1,0
doktrina koju prihvataju sledbenici enke filozofije,1,0
literarna proza koja sadrži dosta mašte i fantazije,1,0
"Prokariotski organizmi koji se ponekad smatraju klasom, kolom ili podkraljevstvom; poklapaju se sa porodicom Čanophyceae",1,0
naziv za više vrsta morskih puževa koji se koriste u ishrani,1,0
tajna reč ili fraza koju zna samo mala grupa,1,0
nezavisna hrišćanska crkva ustanovljena 300 g. pod uticajme rimske i vizantijske tradicije,1,0
mnogougaonik sa četiri strane,1,0
odnos između anafore i njenog antecedenta,1,0
sirovi grašak malog zrna,1,0
"dugačka, masna haringa malo usoljena i kratko dimljena",1,0
najčešći tip očvrsle lave; gusta tamno siva fino zrnasta magmatska stena sastavljena uglavnom od kalcijumom bogate plagioklase feldspara i piroksena,1,0
kratak deo književnog ili dramskog dela koji ćini deo povezane serije,1,0
turkijski jezik kojim govore Karakalpaci,1,0
