X,Predicted,Real
Sporazum koji prestaju neprijateljstva.,1,0
"biti uplašen, plašiti se",0,1
koji oseća ili izaziva radost,1,0
Koji je otrovan ili proizvodi otrov.,0,1
"koji je okarakterisan mračnim, mističnim i groteskom",0,1
Slaba sposobnost da se razume iskustvo ili profitira iz njega.,0,1
"koji se želi, traži",1,0
svojstvo onoga kome nedostaje živost,0,1
odbaciti (dokument) kao nevažeci,0,1
mesto na kome nema ljudi,1,0
Stanje oštećenosti ili raspada.,0,1
koji lako žali i sažaljeva,1,0
Staviti na kocku u nadi za povoljnim ishodom.,0,1
Neko nižeg ranga ili položaja ili kvaliteta.,0,1
Patiti od nečega; bolovati od nečega.,0,1
utvrđeno tako da rezultat nije više sumnjiv ni upitan; definitivno poznat,1,0
Zgrada u kojoj se vrši likvidacija životinja radi proizvodnje mesa,0,1
Ispuštati vonj.,0,1
"smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill",0,1
not standard; not accepted as a model of excellence,0,1
Izjaviti za nekoga da nije kriv po krivičnim optužbama.,1,0
koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost,1,0
koji tek što nije zaspao,1,0
Koji nije sklon promenama.,1,0
stanje stvoreno nedostatkom novca i kredita,1,0
koji pokazuje ili izaziva veselje i zadovoljstvo,1,0
"Stanje čovekovih osećanja, posebno vezano za zadovoljstvo ili potištenost.",1,0
Čin oštećivanja nečega ili nekoga.,1,0
neko ko ulaže kapital da bi ostvario finansijsku dobit,1,0
Bez prljavštine ili nečistoće; onaj koji ima naviku da bude čist,1,0
Koji nije u dobrom zdravlju tela ili duha.,0,1
Čičkovac.,0,1
okarakterisan zlobom,0,1
Biti podvrgnut (emocionalnom bolu).,0,1
Ne biti podložan nečemu.,0,1
ispoljavanje rastuženosti,0,1
"Koji nije normalan, tipičan, uobičajen, regularan ili nije u saglasnosti sa normom.",0,1
Osobina onoga što ne zaslužuje poverenje.,0,1
Pokušaj da se za sebe dobije lično priznanje (posebno neprihvatljivim sredstvima).,0,1
"žalovati, tugovati, ili osećati gubitak zbog nečega što je učinjeno ili nije učinjeno",0,1
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",1,0
U kome nema života.,0,1
Ne pridržavanje moralnim principima.,0,1
Koji nastaje iz želje da se doprinese blagostanju ili sreći drugih.,1,0
Osnovno osećanje koje se teško definiše ali koje ljudi žele da osete.,1,0
Osećanje velike žalosti povezano sa gubitkom ili lišavanjem.,0,1
nanošenje telesnih povreda licu koje je osuđeno za izvršen zločin,0,1
okrutno ili nehumano postupanje,0,1
tako strašno da izaziva grozu i jezu,0,1
škrtost koja proizilazi iz brige za sopstvenu dobrobit i nepoštovanje drugih,0,1
Nezakonito ubijanje s predumišljajem jednog čoveka od strane drugog.,0,1
"Odgovor telesnog tkiva na povredu ili nadržaj; karakteriše ga bol, otok, crvenilo i pečenje.",0,1
ubijanje životinja (za hranu),0,1
Koji trpi atrofiju,1,0
"Čin protestovanja, javno, obično organizovano manifestovanje neslaganja.",1,0
Oružani sukob protiv neprijatelja.,0,1
Osećanja proživljena kada je neko u zadovoljnom stanju.,1,0
razgnevxlen nečim nepravednim ili pogrešnim,0,1
Organizovana akcija proizvodnje robe ili usluga za prodaju.,1,0
Osećanje naklonjenosti drugim osobama; uživanje u njihovom društvu,1,0
biti jako tužan,0,1
"Nemogućnost da se odmori, opusti ili bude miran.",0,1
Koji nema neke izrazite kvalitete ili karakteristike.,1,0
Stanje u kome je neko tužan.,0,1
koji oseća ili pokazuje ljubav i naklonost,1,0
čin namernog odstupanja od istine,0,1
nešto što izaziva osećanje čuđenja,1,0
podsticati nekog da počini zločin ili neko krivično delo,0,1
Započeti ili voditi rat.,0,1
gajiti osećanja dubokog poštovanja i straha pred autoritetom.,1,0
Koji obezbeđuje ili oseća fizičku udbnost ili opuštanje.,1,0
"Zaprljati, onečistiti.",0,1
Osećanje averzije ili antipatije.,0,1
Stanje zadovoljstva jer nema bolesti.,1,0
Organizovano suprotstavljanje vlasti; sukob u kome jedna strana želi da otme kontrolu od druge.,1,0
stanje sumorne žalosti,0,1
Kvalitet nekog ili nečega što ima slabiju ili manje poželjnu poziciju.,0,1
