X,Predicted,Real
promenljiv veličina koji moći da se rastaviti u komponenta ,1,0
bolest koji se prenositi sa čovek na čovek . ,1,0
koristiti se sa gradivan imenica ; mnogo po količina ili stepen . ,1,0
hodanje osoba koji spavati ,1,0
akt koji se nešto činiti optimalan ,1,0
Oosba koji imati i baviti se neki specijalan zanimanje . ,1,0
uhvatiti ; i metaforički . ,1,0
položaj sudija ,1,0
okrutan čin ; namerno izazivanje bol ili patnja . ,1,0
"osoba koji donositi , menjati ili odbijati zakon . ",1,0
čin utvrđivanje osobina nešto ,1,0
količina po jedinica mera ,1,0
Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . ,0,1
ne pridržavanje moralan princip . ,1,0
osoba koji nedostajati tehnički obuka ,1,0
"kretati se u jedan smer , a zatim u suprotan . ",1,0
"u fizika , velik vrednost koji dostignuti u tok jedan perioda ma kakav veličina joja jesam podložan periodičan promena ",1,0
sjediniti ili spojiti ,1,0
osoba u srodstvo po krv ili brak ,1,0
biti koji organ koji jesam uključiti u seksualan reprodukcija . ,1,0
Čin okretanje kao oko osovina . ,1,0
osoba koji vladati ili koamnduje . ,1,0
izučavanje princip i praksa upravljanje biblioteka ,1,0
"u računarstvo , ukazivač koji kada pokazivati zaslon računar detektovati da li jesam tačka osvetliti ili ne ",1,0
"klasa sastaviti od osoba bez plemenit , viteški ili aristokratski rang ",1,0
atribut ili kvalitet za koji se smatrati da imati sopstven egzistencija . ,1,0
stanje življenje . ,1,0
osoba koji zagovarati ekonomski teorija slobodan tržište kao glavnog regulator u ekonomija ,1,0
učiniti javan ,1,0
pridat značenje nešto . ,1,0
pravac ponašanje . ,1,0
izgled koji predočavati lice osoba . ,1,0
"osoba za odnos sa javnost koji pokušavati da sprečiti loš slika u javnost objavljivanje povoljan tumačenje reč ili delo kakav preduzeće , politički partija ili poznat osoba ",1,0
osoba čiji bogatstvo prevazilaziti u vrednost jedan milion dolar ,1,0
zapis serija događaj koji činiti život neki osoba . ,1,0
virus koji izazivati velik boginja kod ljudi ; moći da se koristiti kao biološki oružje ,1,0
odrediti vrednost nešto . ,1,0
"biti koji prostorni atribut , posebno onako kako jesam definisati skica . ",1,0
koji ispoljavati žalost ,1,0
poslati od jedan osoba ili mesto na drugi . ,1,0
transuranski element koji nemati u priroda ,1,0
čin dobrovoljan davanje za neki zajednički cilj ,1,0
raspodeliti u sklad sa neki plan ili odvojiti za poseban namena . ,1,0
supstanca koji se rastvarati u rastvarač ; komponenta rastvor koji menjati svoj stanje ,1,0
Oruđe koji se koristiti za obavljanje neki zanat . ,1,0
( prava ) jemstvo u koji se ulaziti pred sud uz uslov da se učiniti nešto što zakon propisivati ; u slučaj nečinjenje naplaćivati se odrediti globa ,1,0
konstrukcija motorni vozilo koji činiti čelični okvir na feder koji držati telo automobil i motor ,1,0
