X,Predicted,Real
svojstvo koje se uočava dodirom,1,0
šetati se,1,0
ljubičasto tropsko voće,1,0
pripadnik naroda tamne kože koji su živeli U Australiji pre nego što su stigli Evropljani,1,0
Inkvizicija koja je branika katolicizam u Španiji (posebno od XV do XVII veka),1,0
bavarski krem okružen piškotama,1,0
onaj kojeg niko ne želi ili ne priželjkuje,0,1
bakalar koji se obično peče ali se nekad i bari sa buterom,1,0
"pozorišni komadi koji naglašavaju iracionalni ili nelogični aspekta života, obično da pokažu da je savremen život bez smisla",1,0
"oštar zakrivljen rožnati deo na prstima  ptica, nekih sisara i gmizavaca",1,0
nemasno meso nekoliko vrsta riba koje se nalaze u toplim Atlantskim vodama,1,0
polica za držanje knjiga,1,0
najpoznatija vrsta testenine u obliku dugačkih tankih niti; testenina cilindričnog oblika italijanskog i sicilijanskog porekla,1,0
jedan zahtev,1,0
ostati iza,1,0
pomešan škotski viski i soda,1,0
"biti uplašen, plašiti se",0,1
morski medvedi,1,0
Koji pokazuje nedostatak brige za posledice.,0,1
reči opere ili muzičkog komada,1,0
"Koji nije originalan; nije produktivan, ne donosi ništa neobično niti sveže.",0,1
dugače trkaće saonice sa sistemom za upravljanje,1,0
uništiti kakav raspored ili redosled,1,0
blagonaklona procena,1,0
serijsko izvršavanje računarskih programa,1,0
Posramiti nekoga; povrediti nečiji ponos.,0,1
dugačko usko brdovito područje,1,0
Koji je otrovan ili proizvodi otrov.,0,1
"koji je okarakterisan mračnim, mističnim i groteskom",0,1
ostrvlje u Norveškom moru,1,0
(računarstvo) operacije čitanja ili pisanja uskladištenih informacija,1,0
proučavanje mitova,1,0
mekan sivi mineral; glavna ruda antimona,1,0
greška ili neispravnost u sistemu ili mašini,1,0
"primeniti, primenjivati u komponovanju zakone kontrapunkta",1,0
najmanji ceo broj ili znak koji obeležava taj broj,1,0
stanovnik Holandije ili poreklom iz Holandije,1,0
Slaba sposobnost da se razume iskustvo ili profitira iz njega.,0,1
kremasti preliv koji sadrži mrvljeni plavi sir,1,0
zaslađena kafa u koju je dodat irski viski i šlag,1,0
zgrada (ili prostorija) gde se mrtva tela drže pre sahrane ili kremacije,1,0
osnivač ruskih boljševika i vođa ruske revolucije i prvi vođa SSSR-a (1870-1924),1,0
Završna akcija.,1,0
sastoji se iz rodova Hamamelis; Corylopsis; Fothergilla; Liquidambar; Parrotia,1,0
pričvrstiti pomoću dugmadi,1,0
fetućine u krem sosu sa sirom; dobile su ime po rimskom restoranu,1,0
oji se odnosi na logograme ili logografe,1,0
region koji pokriva Karipska ostrva,1,0
"raširen, razbacan ili podeljen",1,0
glavni grad Kostarike,1,0
Rukom ili nekim predmetom izazvati udarac.,1,0
biljka nalik paprati poreklom iz Južne Afrike,1,0
"meso obično malih, masnih riba",1,0
čin prisiljavanja silom ili autoritetom,1,0
prebacivanje nečega u formu romana,1,0
na prljav i nečist način,0,1
Godina računata od 1. januara do 31. decembra po Gregorijanskom kalendaru.,1,0
višegodišnja trska iz najtoplijih krajeva,1,0
istraživanje sastavnih delova neke celine i kakva je njihova međusobna veza,1,0
pretvaranje iz jedne jedinice ili obilika u drugi,1,0
veća celina duge pesme,1,0
stanovnik Engleske ili poreklom iz Engleske,1,0
cipela koja se sastoji od đona vezanog kaiševima do stopala,1,0
egipatski bog Sunca sa glavom jastreba,1,0
zagovornik maoizma,1,0
ponavljanje reči ili fraze kao početak sukcesivnih klauza,1,0
procedura koja se preuzima da bi se došlo do medicinske dijagnoze,1,0
novčana jedinica u Gvineji,1,0
nešto što ima vrednost,1,0
Osećanje zabrinutosti.,0,1
UY,1,0
izdužena pravougaona kost koja čini most nosa,1,0
kompatibilnost opservacija,1,0
najduža reka u Aziji; teče na istok od Tibeta i uliva se u Istočno kinesko more blizu Šangaja,1,0
"najmanja planeta sunčevog sistema, najbliža suncu",1,0
osnovna novčana jedinica Rusije,1,0
poljoprivredna mašina kojom se žanje žito,1,0
zapisan ili odštampan pored i ispod nekog drugog karaktera,1,0
isključivanje iz crkve ili iz religijske zajednice,1,0
supstanca koja zaustavlja ili usporava neku aktivnost,1,0
Kome nedostaje ljubaznost.,0,1
glavni grad Tajvana,1,0
usmeriti ili postaviti; tražiti odgovor na šta,1,0
