X,Predicted,Real
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",0,1
Biti prihvatljiv ili pristao.,0,1
Osobina onog ko je široko prihvaćen i čije se društvo traži.,0,1
"koji se želi, traži",0,1
Profesor najvišeg ranga.,0,1
Ukloniti neželjene supstance iz nečega.,0,1
Lepota koja je privlačna čulima.,0,1
koji proizvodi ili je sposoban da proizvodi (posebno u velikim količinama),0,1
Radnik koji je najamljen da obavi posao.,0,1
Kvalitet koji pruža zadovoljstvo čulima.,0,1
Koji može da se desi ili da postoji.,0,1
diviti se i čuditi nečemu,0,1
Osoba koja se brina o ljudima i njihovoj svojini.,0,1
Oslobođen spoljašnje kontrole i ograničenja.,0,1
na visokom nivou po rangu ili značaju,0,1
Čin dodavanja spoljašnjih ukrasa na nešto.,0,1
veselo osećanje,0,1
osećanje izazvano nečim čudnim i iznenađujućim,0,1
"Stanje pozitivnih osećanja, od zadovoljstva do jakog ushićenja.",0,1
Visoka vrednost nečega.,0,1
osoba čija je svetost izuzetna,0,1
Veliko bogatstvo.,0,1
"koji ohrabruje, odobrava ili zadovoljava",0,1
Koji je pred erupcijom ili izbacuje lavu (o vulkanima),0,1
onaj koji poseduje moralne kvalitete;,0,1
Stvoriti mišljenje o nečemu ili preneti stav.,0,1
"Koga karakteriše ili koji pokazuje prihvatanje, slaganje ili uverenost.",0,1
bilo šta u skladu sa principima pravde,0,1
Omotač koji treba da zaštiti nešto od oštećivanja ili povrede.,0,1
"Onak koji je produktivan, svež, neobičan; nešto što je prvi put smišljeno.",0,1
držanje do moralnih principa,1,0
koji oseća ili pokazuje dobro raspoloženje,0,1
Bez prljavštine ili nečistoće; onaj koji ima naviku da bude čist,0,1
koji može da se redukuje,0,1
Koji odgovara za svoje postupke.,0,1
razvijati se u pozitivnom smeru,0,1
Koji nastaje iz želje da se doprinese blagostanju ili sreći drugih.,0,1
koji inavodi na divljenje ili odobravanje,0,1
može se koristiti i u vremenskom smislu,0,1
veseo i ozaren,0,1
angažovati ili unajmiti za neki posao,0,1
onaj koji je po moralnim kvalitetima ili izgledu nalik na anđela ili sveca,0,1
onaj koji ima visoku vrednost ili cenu;,0,1
Proceniti vrednost nečega.,0,1
"lična sloboda od ropstva, zarobljeništva i ugnjetavanja",0,1
Pristajanje uz ono što je opšte prihvaćeno.,0,1
briga o razlikovanju dobra i zla ili pravednog i nepravednog; dobro ili pravedno ponašanje,0,1
koji donosi dobar profit,0,1
kvalitet onoga što ima veliku cenu,0,1
Nešto što ima veličinu i može da se predstavi matematičkim izrazom pomoću konstane ili promenljive.,0,1
koji nešto potvrđuje,0,1
"Ono što je u saglasnosti s normom ili što čini normu (standard, socijalnu normu, ird).",0,1
"U skolastici, jedna od četiri vrline koje dolaze od prirode.",0,1
nadmoćan ili povoljniji položaj,0,1
Aktivnost štićenja nekoga ili nečega.,0,1
"osobina onoga koje je konstantno, postojano",0,1
Gajiti nežna osećanja prema nekome.,0,1
Proizvesti smeh.,0,1
"koji pobuđuje poštovanje, divljenje ili čuđenje",0,1
osobina ljudi da veruju u poštenje i pouzdanost drugih,0,1
"Učiniti atraktivnijim dodavanjem ukrasa, boje, i sl.",0,1
"Prijatan za oči ili dušu, posebno jer je lep ili šarmantan.",0,1
osoba koja je umrla i proglašena za sveca procesom kanonizacije,0,1
Velik po stepenu ili intenzitetu ili broju ili količini.,0,1
