X,Predicted,Real
Biti prihvatljiv ili pristao.,0,1
Koji može da čini po slobodnoj volji; koji nije sputan ograničenjima.,0,1
Neko višeg ranga ili položaja ili kvaliteta.,0,1
Koji je u životu.,0,1
dati slobodu; osloboditi od kazne (kazne zatvora),0,1
Korisna ili vredna osobina,0,1
"Promena nabolje, napredak u razvoju.",0,1
Ličnost koja može da proceni vrednost ili kvalitet.,0,1
established or widely recognized as a model of authority or excellence,0,1
Stanje izuzetne sreće.,0,1
Stanje zadovoljstva jer nema bolesti.,0,1
"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice",0,1
"Zaklanjati od opasnosti, povrede, uništenja ili štete.",0,1
"ono što je dobro, vredno ili korisno",0,1
Koji karakteriše životinje za razliku od biljaka.,0,1
Proizvesti smeh.,0,1
prijateljska narav,0,1
"Koji ne predstavlja teškoću, ne iziskuje napor.",0,1
Upadljiv uspeh.,0,1
osećaj spontano dobrog rapoloženja,0,1
"Imati želju, čežnju ili veliki apetit za nešto.",0,1
Nastrojen prema nečemu.,0,1
Koga motiviše briga za otklanjanje patnji drugih.,0,1
"prošireno značenje, naročito u psihološkom slislu, ogleda se u jačini strasti ili entuzijazma",0,1
"saglasno zakonu, prema zakonu",0,1
Nesmanjena i nenarušena celovitost ili ukupnost.,0,1
kvalitet koji ima nešto što ima veliku vrednost ili cenu,0,1
"imati poželjne ili pozitivne kvalitete, posebno one koji su pogodni za određenu stvar",0,1
Koji odgovara za svoje postupke.,0,1
"kvalitet da čovek ne stavlja sebe prvo, već da je spreman da svoje vreme, novac ili trud posveti drugima",0,1
Pomoć u nevolji.,0,1
u rimskoj mitologiji boginja sreće i sretne slučajnosti; u grčkoj mitologiji joj odgovara nTiha,0,1
kvalitet onoga što ima veliku cenu,0,1
"osobina onoga na šta se može osloniti, što je pouzdano",0,1
koji je sklon ljubavi ili ispoljavanju ljubavi,0,1
Sposobnost da se razume; razumeti i profitirati na iskustvu.,0,1
veseo i ozaren,0,1
Čin kojim se nešto čini čistim.,0,1
koji je oslobođen stresa ili pogoduje mentalnoj opuštenosti; koji ima ili pruža duševni mir,0,1
Načiniti napetim.,0,1
"Ono što je u saglasnosti s normom ili što čini normu (standard, socijalnu normu, ird).",0,1
bilo šta u skladu sa principima pravde,0,1
osobina da se radi ono što je ispravno i da se izbegava ono što nije,0,1
Koji koristi intelekt ili je privlačan intelektu.,0,1
Umetnik nenadmašnih veština.,0,1
Profesor najvišeg ranga.,0,1
biti privlačan kome,0,1
osoba koja je umrla i proglašena za sveca procesom kanonizacije,0,1
radnja koju karakteriše dobro raspoloženje,0,1
Postati stabilan ili stabilniji.,0,1
veselo osećanje,0,1
Stanje biti zaposlen ili imati posao.,0,1
Gledati nekoga sa divljenjem.,0,1
Odbolovati bolest ili prevazići šok.,0,1
