Sysnet,NEG,Predicted
b'\xc4\x8cin konstruisanje ili gra\xc4\x91enje ne\xc5\xa1to . ',0,1
b'pun ili ozna\xc4\x8den ozloje\xc4\x91enost ili zlovolja ',1,0
b'praviti primedba ili \xc5\xbealba za sebe i ne na sav glas ',0,1
b'okarakterisan prijateljstvo i dobar volja ',0,1
b'slab sposobnost da se razumeti iskustvo ili profitirati iz on . ',1,0
b'izuzetno lo\xc5\xa1 ili nezadovoljavaju\xc4\x87i ',1,0
"b'stanje \xc4\x8dovekov ose\xc4\x87anje , posebno vezati za zadovoljstvo ili poti\xc5\xa1tenost . '",0,1
b'smatrati da jesam ne\xc5\xa1to lo\xc5\xa1e ili pogre\xc5\xa1no . ',1,0
b'ispuniti o\xc4\x8dekivanje . ',0,1
b'poduhvat koji se preduzimati bez obzir na mogu\xc4\x87 gubitak ili povreda ',1,0
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',1,0
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',1,0
"b'zaprljati , one\xc4\x8distiti . '",1,0
b'koji odra\xc5\xbeavati sumornost i smrknutost ',1,0
b'podesiti za neki poseban funkcija ',0,1
b'koji nemati neki izrazit kvalitet ili karakteristika . ',0,1
b'okrutan poslodavac koji od zaposlen tra\xc5\xbeiti da prekomeran raditi . ',1,0
b'ljudski tvorevina koji jesam neki stvoriti . ',0,1
b'proizvoditi suvi\xc5\xa1e . ',0,1
b'koji naru\xc5\xa1avati princip dobra i zlo . ',1,0
b'koji se protiviti pravilo ili usvojen praksa . ',1,0
b'postati gora . ',1,0
b'\xc4\x8cin prljanje ne\xc5\xa1to . ',1,0
b'Pri\xc4\x8dati na besposlen ili neobavezan na\xc4\x8din sa element sumnja ili bez dovoljno razlog da se do\xc4\x87i do zaklju\xc4\x8dak . ',1,0
b'odbiti s gnu\xc5\xa1anje ',1,0
"b'koji jesam okarakterisati mra\xc4\x8dan , misti\xc4\x8dan i groteska '",1,0
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",1,0
b'stanje kada jesam u\xc4\x8diniti prekr\xc5\xa1aj . ',1,0
b'koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ',1,0
b'koji s ne pokretati . ',1,0
b'ose\xc4\x87anje naklonjenost ',0,1
b'stanje stvar koji jesam skoro izvan ne\xc4\x8diji mogu\xc4\x87nost da jesam re\xc5\xa1iti i zahtevati velik napor da se re\xc5\xa1iti ili prevazi\xc4\x87i . ',1,0
b'zabraniti zakon ili zvani\xc4\x8dno usvojen pravilo ',0,1
b'bolan ose\xc4\x87aj koji proizlaziti iz svest o nedovoljnost ili krivica ',1,0
b're\xc4\x87i usput ',0,1
b'promena polo\xc5\xbeaj nagore ',0,1
b'lo\xc5\xa1e mirisati ',1,0
b'\xc4\x8cin napad na neprijatelj . ',0,1
"b'odbojno , vrlo neprijateljski pona\xc5\xa1anje '",1,0
b'U\xc4\x8diniti ru\xc5\xbean . ',1,0
b'pore\xc4\x91ati ne\xc5\xa1to kao nizak ',0,1
b'dati oblik ili forma ne\xc5\xa1to . ',1,0
b'stanje kada jesam neki prosperitetan i uspe\xc5\xa1an . ',0,1
b'radnik koji jesam najamiti da obaviti posati . ',0,1
b'stanje opu\xc5\xa1tenost i neose\xc4\x87anja bol ',0,1
b'nameran \xc4\x8din oduzimanje ',0,1
b'pratiti ili otpratiti ',0,1
b'u koji nem \xc5\xbeivot . ',1,0
b'koji jesam veseo niti izazivati veselje ',1,0
b'koji mo\xc4\x87i da se desiti ili da postojati . ',0,1
b'moralno iskvariti ',1,0
b'kvalitet onaj \xc5\xa1to ne mo\xc4\x87i da postojati ili raditi u uskla\xc4\x91en kombinacija . ',1,0
b'Poku\xc5\xa1aj da se za sebe dobiti li\xc4\x8dan priznanje ( posebno neprihvatljiv sredstvo ) . ',1,0
