X,Predicted,Real
"Stanje povezanosti među ljudima, posebno emocionalne prirode,",1,0
Biti u saglasnosti.,1,0
Veliko bogatstvo.,0,1
angažovati ili unajmiti za neki posao,0,1
Imati o nečemu neko mišljenje.,1,0
preparat koji se koristi za čišćenje nečega,0,1
Znanje i vrednosti koje društvo deli.,1,0
"preneti zahvalnost, izraziti osećanje poštovanja i sl.",1,0
"kvalitet nečega što je isto po količini, meri, vrednosti ili statusu",0,1
Ublažavanje patnje; pokazivanje velike dobrote prema izmučenima.,0,1
Čin ili proces merenja.,0,1
Učiniti svetim pomoću religijskih obreda.,0,1
Čin ukrašavanja nečega (u nadi da će od toga privlačnije izgledati).,0,1
Postati stabilan ili stabilniji.,0,1
Ukazati poverenje kome.,0,1
Stanje zrelosti; puni razvoj.,0,1
stanje suštinske jednakosti ili ekvivalencije i uravnoteženog balansa,1,0
Koji karakteriše životinje za razliku od biljaka.,0,1
biti privlačan kome,0,1
Čin kojim se čini neko dobro delo.,0,1
postići bod ili cilj,0,1
Koji se kreće.,0,1
"Koji stvarno postoji, gzistira.",0,1
"koji izaziva iznenađenje, čuđenje ili zadivljenost",1,0
kojeg je neko uveselio,0,1
Voljena osoba; koristi se u izrazima od milja.,0,1
koji zaslužuje sažaljenje ili podstiče na sažaljenje,1,0
Inherentni kompleks atributa koji određuju moralne i etičke akcije i reakcije osoba.,0,1
"ustanovljeno,zasnovano na zakonu ili na zvanično prihvaćenim pravilima",0,1
smanjiti bol ili neprijatnosti ; ublažiti,0,1
Ne osecati se dobro ili udobno.,1,0
Osnovno osećanje koje se teško definiše ali koje ljudi žele da osete.,0,1
na visokom nivou po rangu ili značaju,0,1
Koji proizvodi ili je sposoban da proizvede nameravani rezultat ili koji proizvodi izuzetan efekat.,0,1
"lična sloboda od ropstva, zarobljeništva i ugnjetavanja",0,1
"Učiniti jednakim, ravnomernim, odgovarajućim ili saglasnim.",1,0
Spojen ili vezan.,0,1
i u metaforičkom značenju,0,1
Oslobođen spoljašnje kontrole i ograničenja.,0,1
"Stanje u kome je neko bogat, ima obilno materijalnih dobara i novca.",1,0
sposobnost postojanja ili delovanja u harmoničnoj ili usklađenoj kombijaciji,0,1
onaj koji je po moralnim kvalitetima ili izgledu nalik na anđela ili sveca,0,1
Stvoriti mišljenje o nečemu; suditi oprezno; napraviti procenu.,0,1
Priroda ili svojstvo onoga ko je emocionalan.,0,1
Čin prilaska cilju.,0,1
držanje do moralnih principa,0,1
Potpuno verovanje u osobu ili plan itd.,0,1
nešto što ima vrednost,1,0
Obezbediti zabavu za nekoga.,0,1
Zabava koja drži pažnju.,0,1
"koji ne traži, ne iziskuje specijalne nutricione potrebe",1,0
prilagođen da odražava vrednost ili odnos,1,0
