X,Predicted,Real
kompleks prteina koji kombinovati amino-kiseline s drugi supstanca ,1,0
"koji imati potreban sposobnost , veština ili znanje da nešto uraditi . ",0,1
uhvatiti ; i metaforički . ,1,0
vodnica ,1,0
hernia do koji dolaziti od prodiranje delo stomak kroz dijafragma ,1,0
hard-shell clams ,1,0
Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . ,0,1
porodica mozanskih jezik koji se govoriti na severozapad sad i u zapadni Kanada ,1,0
odlučujuće uticati ,1,0
gepard ,1,0
list biti koji biljka iz porodica Lactuca sativa ,1,0
osoba koji vladati ili koamnduje . ,1,0
reći usput ,1,0
usmrtiti namerno i sa predumišljaj . ,1,0
koji zasluživati uvažavanje i poštovanje ,0,1
proceniti da jesam nešto dobro ; misliti pozitivno o nešto . ,0,1
neki ko posmatrati ispitni kandidat kako biti sprečiti varanje ,1,0
pridat značenje nešto . ,1,0
urezivati izbojak pitom biljka u divljak ,1,0
"biti koji prostorni atribut , posebno onako kako jesam definisati skica . ",1,0
"of Or concerning the faca ; "" a facial massage "" ; "" facial hair "" ; "" facial expression "" ",1,0
radnja u koji raditi frizer i drugi ulepšivači . ,1,0
biljka koji se gajiti zboj cvet jarki boja . ,1,0
čerkeski jezik koji govoriti Abhazi ,1,0
tukan ,1,0
porodica Capromyidae . ,1,0
nabasati na neki nespreman . ,1,0
podvrgnuti nedobronamernom smeh . ,1,0
small yellowish moths whose larvae feed on wool Or fur ,1,0
postati stabilan ili stabilan . ,0,1
biljka iz porodica Portulacaceae koji imati mesnat sočan lišće i obiyno se gajiti kao začinski biljka ; u neki kraj jesam korov . ,1,0
navodnik koji se sastojati od dva crtica ,1,0
koji proizvoditi ili jesam sposoban da proizvesti nameravan rezultat ili koji proizvoditi izuzetan efekt . ,0,1
kočnica koji se koristiti za usporavanje ili zaustavljanje vozilo ,1,0
gladiola . ,1,0
GM ,1,0
osoba koji prav model . ,1,0
izuzetan moralan vrednost . ,0,1
Oosba koji pokušavati da se dopasti ili da zabaviti . ,0,1
konj riđ dlaka . ,1,0
koji osećati nadolazeći opasnost ,1,0
galeb ; ? terns ; ? jaegers ; ? skimmers ,1,0
severnokavkaski jezik koji govoriti Čerkezi ,1,0
član rod Paramecium ,1,0
porodica zviždovki . ,1,0
politički teorija koji se zalagati za autoritaran hijerarhijski vladanje ( suprotno od demokratija ) ,1,0
pričvršćivač sa zašiljen navojnim prihvat i gladak glava ,1,0
sudski dokument koji se lice pozivati na sud da odgovoriti na optužnica ( optužba ) ,1,0
duktus kroz koji se izbacivati mokraća kod večine sisara ,1,0
sluznica retikuluma ( ili drugi želudca ) preživar koji se koristiti u ishrana ,1,0
sposobnost postojanje ili delovanje u harmoničan ili usklađen kombijaciji ,0,1
porodica koji pripadati samo kukuvija dremavica ,1,0
izgovarati sa šuškanje ,1,0
"Utvrđeno uobičajen stanje , posebno u društvo . ",1,0
u rimski mitologija boginja noć ; u grčki mitologija ona odgovarati Njukta ,1,0
poklapati se sa porodica Ophioglossaceae . ,1,0
rod porodica Hirundinidae . ,1,0
biljka iz rod Corydalis sa lep lišće i ? ? cvet . ,1,0
žena koji jesam voditi Dante kroz pakao u Božanstvenoj komedija who guided Dante through Paradise in the Divine Comedž ,1,0
biti koji proces koji uticati na proizvodnja i razvoj i upravljanje materijalan bogatstvo ,1,0
osoba ili firma koji zapošljavati radnik ,1,0
Čin izumljavanja . ,1,0
Učiniti čistiti uklanjanje prljavština ili neželjen supstanca . ,0,1
stanje koji još ne odgovarati zrelost . ,1,0
čin umirivanje ; ponovan zadobijanje čiji poverenje ,1,0
visok vrednost nešto . ,0,1
salamander . ,1,0
pečen jahnjeća rebro ,1,0
koji se odnositi na sekvencijalan izvršavanje više operacija ,1,0
"obezbeđivati pristup , ulaz nećemu ",1,0
gastropode ( puž ) ; školjkaši ; glavonožac ; ? chitons ,1,0
jedan vrsta : oleander . ,1,0
"koji osećati ili ispoljavati žalost , naročito zbog nepovratan gubitak ",1,0
Šljuke . ,1,0
engleski autor koji se stvoriti Šerloka Holms ( @card@ ) ,1,0
"Sočan , začinjen kolač sa pire od jabuka . ",1,0
Priobalska sredina koji jesam i za vreme oseka pod voda . ,1,0
tungovo dvo ,1,0
distilled from fermented molasses ,1,0
angažovati ili unajmiti za neki posao ,0,1
ukazivač kao na brojčanik ,1,0
osobina ljudi da verovati u poštenje i pouzdanost drugi ,0,1
PK ,1,0
Školjkaši . ,1,0
jedan posluženje neki napitak . ,1,0
učiniti čist ili slobodan od greh ili krivica ,0,1
odnositi se na čovečanstvo odnosno na vreme postojanje ljudski rod ,1,0
osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . ,0,1
koji jesam u dobar zdravlje telo ili duh . ,1,0
sob u koji se ručavati . ,1,0
Dikotiledonske voden biljka . ,1,0
Događaj svršetak nešto . ,1,0
koji se odnositi na holografiju ili hologram ,1,0
osoba koji imati konzervativan ideja ili stav . ,1,0
potpun kompleks stav i ubeđenje . ,1,0
Čin ukrašavanje nešto ( u nada da hteti od taj privlačan izgledati ) . ,1,0
Gas koji izazivati suzenje oči ali ona ne oštećivati ; koristiti se u borba protiv semonstranata . ,1,0
kotinge ; kolibar lofornis ,1,0
poslovanje koji se ticati štapmanja ,1,0
osobina prefinjen uglađenost i dobar ukus ,0,1
koji moći da se desiti ili da postojati . ,0,1
izazvati da postati otkačiti ili odvojiti . ,1,0
priznati svoj vera u šta ili privrženost šta ,1,0
jezik koji govoriti Aleuti ,1,0
koji se odnositi na termodinamika ,1,0
suhoperka ,1,0
prerijski pas ,1,0
gigantski zlogodnica ,1,0
suprug nečiji roditelj u sledeći brak . ,1,0
Osećanja proživeti kada jesam neki u zadovoljan stanje . ,0,1
Čin proveravanje ili potvrđivanje . ,1,0
onaj koji posedovati moralan kvalitet ; ,0,1
four o'clocks ,1,0
Penušavo pića koji jesam veštački obogaćen ugljen-dioksidom . ,1,0
rod porodica lasta Hirundinidae ,1,0
"Karakteristično stanje osećanje , uobičajen ili relativno privremeno . ",1,0
koji se odnositi na materijalan stvar i prirodan zakon ( a ne na živ biće ) ,1,0
oklopnice ,1,0
majmun drekavac . ,1,0
zagovornik secesionizam ,1,0
šiber koji se mera mali razdaljina ,1,0
ispustiti iznenadan glasan krik . ,1,0
Pomazanje kao deo religijski obred isceljivanje ,1,0
posvetiti iznova nakon oskvrnjenja ,1,0
osoba koji prav bakrorez . ,1,0
onaj koji jesam odrediti mesto u skala na osnova procena ili rang ; ,1,0
koji se ticati ili se nalaziti u Australaziji ,1,0
Oružani sukob protiv neprijatelj . ,1,0
bizamski pacov ,1,0
state of being torn Or burst open ,1,0
"presuda ( odluka ) da optužiti jesam kriv , odluka o nepostojanje krivica , o oslobađanje od krivica ",0,1
nalaziti da jesam nešto zabavno ili prijatno . ,0,1
omiljen stecište na koji se xudi okupljati . ,1,0
turkijski jezik koji govoriti Kirgizi ,1,0
Osećanje zabrinutost . ,1,0
premestiti sa jedan mesto na drugi ,1,0
Leminzi ,1,0
"kobra , mamba , ? ? ? ",1,0
rod porodica Delphinidae ,1,0
rod porodica Soricidae . ,1,0
osoba sa neobičan ili čudan ličnost ,1,0
poslovno odelo koji se sastojati od jakna i prsluk i pantalone ,1,0
gibon i siamanzi . ,1,0
inicijalan okluzivna faza pri izgovor okluzivnih suglasnik ,1,0
kljunorošci ,1,0
Čin dodavanje spoljašnji ukras na nešto . ,0,1
"biti vlasnik , posednik ( stanje ) . ",1,0
novčan jedinica Makao ,1,0
koji se tič princip dobra i zlo ; koji se uklapati u standard ponašanje i karakter koji jesam zasnovati na ovaj princip . ,0,1
množilac koji jesam uzeti kao osnova skaliranja ,1,0
bez prljavština ili nečistoća ; onaj koji imati navika da biti čist ,0,1
"lav , leopard , jaguar , tigar , ? ? ",1,0
koji nešto potvrđivati ,0,1
preslica ; poklapati se sa porodica Equisetaceae . ,1,0
podizati nivo ili količina nešto . ,1,0
kravajac ,1,0
koji imati vviše izvod ,1,0
mrmoti ,1,0
drvenast biljka iz porodica Bignoniaceae . ,1,0
okarakterisan neprijateljstvo ili zlovolja ,1,0
zakrivljenost linija ili površina . ,1,0
koji činiti živahan i veseo ,0,1
"češki prirodnjak , osnivač teorija nasleđe ( @card@ ) ",1,0
flamingo ,1,0
termin za jabukovač ( cider ) koji se koristiti u sad i neki deo Kanada ,1,0
kao diktator vladati ,1,0
majak ,1,0
tradicionalan pashalni veče Isus i njegov učenik noć pre Njegovog raspeće ,1,0
majmun kandžaši ,1,0
rod iz familija Corvidae : vrana i gavran . ,1,0
grupa koji zadovoljavati komutativni zakon ,1,0
zaštitni prekrivka biljka sklon truljenje koji se postavljati da biti se smanjiti isparavanje i erozija zemljište ,1,0
Učiniti da nešto biti pomaknuti prema napred . ,0,1
o šta propis ukinuti ,1,0
Geološka svojstvo zemlja . ,1,0
manjak uljudnost ; nepokazivanje poštovanje prema drugi ; povređivanje osećanje drugi . ,1,0
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,0,1
tamnosiv oblak koji donositi kihati ,1,0
onaj koji postignuti velik ili nagao brzina ili uspon ,1,0
radnik koji jesam najamiti da obaviti posati . ,0,1
a woman ancestor ,1,0
vatrenjače ,1,0
sporazum koji prestajati neprijateljstvo . ,1,0
proizvesti smeh . ,0,1
stanje biti zaposliti ili imati posati . ,0,1
trljati da biti se odklonio svrab . ,1,0
stimulans sa nepoželjan posledica ,1,0
volujac ,1,0
osećanje zaplašenost ,1,0
propovedati jevanđelje ,1,0
Načiniti neki besniti . ,1,0
"prijatan za oči ili duša , posebno jer jesam lep ili šarmantan . ",0,1
dati kao poklon . ,1,0
rod familija Sagittariidae . ,1,0
smanjiti intenzitet nešto ; obuzdati ; zadržati u granica . ,1,0
drugi ime za jedan od mnogi porodica u koji se deliti porodica Polypodiaceae u neki kasifikacijama . ,1,0
pružiti moralan ili emocionalan snaga ,0,1
zagovornik federalizam ,1,0
zlonameran zadovoljstvo ,1,0
crn odora koji dosegnuti do članak koji nositi sveštenik . ,1,0
porodica sevenoameričkih indijanski jezik koji govoriti Irokezi ,1,0
biti prihvatljiv ili pristati . ,0,1
konjski strkalj . ,1,0
nilski konj ,1,0
osoba koji se brina o ljudi i njihov svojina . ,0,1
keks sa đumbir u oblik čovečuljak . ,1,0
napraviti litograskim postupak ,1,0
osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . ,0,1
