X,Predicted,Real
prekinuti neki veza ili odnos ; otići drugi put . ,1,0
"ručni alat sa tanak fleksibilan sečivo , koji se koristiti za mešanje ili širenje mek supstanca ",1,0
"naziv cifra @card@ , znak koji obeležavati broj četiri ",1,0
"Kolač koji sadržati seckan voće koji se nalaziti u smeh ili između kor , a potom peći i iseći na štangla . ",1,0
rastresit materijal koji se sastojati od zrnce stena ili korali . ,1,0
velik transportni sredstvo koji predvideti da ga vući drugi vorilo ( kamion ili traktor ) ,1,0
standardan protokol za komunikacija između elektronski muzički instrument i računar ,1,0
pokrivati tečnost ; sipati tečnost na ,1,0
"biljka koji rađati veoma ljut izdužen , najčešće crven , plod . ",1,0
"Uobičajeni evroazijski ljiljak ; danju mirovati po napušten prostorija , dockan izlaziti u lov ; svađa se sa drugi ljiljak . ",1,0
Štampane stvar u oblik novina ili časopis . ,1,0
kiselina koji sadržati bro i kiseonik ,1,0
uvesti red u nešto . ,1,0
posao u neki organizacija . ,1,0
Višegodišnja biljka šumski predeo koji cvet u proleće . ,1,0
pokrivač napraviti od tkanina ,1,0
grbica koji se gajiti za salata i prilog . ,1,0
Jaka zelen liker aromatizovan pelin i anis . ,1,0
iznos za koji se plata povećati . ,1,0
novčan jedinica Indija ,1,0
Građevinski materijal koji se sastojati od stena iztesane u odrediti oblik za specijalan namena . ,1,0
pričvrstiti šivanje ; syiti ,1,0
"otvor načiniti na sila , kao razdvajanje ",1,0
naziv pod koji jesam poznati kakav geografski lokacija ,1,0
rebroliki deo koji podupirati ili ojačavati životinja ili biljka ,1,0
ženski rublja i noćni odeća ,1,0
osnovni novčan jedinica Mađarska ,1,0
"Izdužene riba koji imati karlični peraja , a nemati skelet ili jesam on redukovati . ",1,0
listopadan evropski mali drvo ili žbun sa svetlocrven plod . ,1,0
karta za igranje koji na lice imati simbol crven romb . ,1,0
fenomen koji karakterisati postepen promena kroz niz stanje . ,1,0
naneti neki nepravda ,1,0
ponavljanje posle umetnut reč ,1,0
termin za jabukovač ( cider ) koji se koristiti u sad i neki deo Kanada ,1,0
zadebljati jestiv aromatičan koren biljka celer . ,1,0
pripremiti i izdati za javan distribucija ili prodaja ,1,0
Učiniti sav što jesam potrebno za preduzimanje neki posao . ,1,0
"prekinuti emitovanje , npr . o radio-stanicama ",1,0
biljka iz rod Solidago koji cvetati uglavnom u leto i jesen . ,1,0
Dikotiledonske voden biljka . ,1,0
"ukloniti neželjen tvar iz nešto , kao perje i koštica iz pilić ili voće . ",1,0
novčan jedinica Sijera leone ,1,0
Uključuje devesilje . ,1,0
membrana u uvo koji vibrirati na zvuk ,1,0
puder dobijen mlevenje pržnih zrno kakao pri šta jesam velik deo masnoća odstraniti . ,1,0
kostruisati ili strukturisati iznova ,1,0
trivalentan metal grupa redak zemlja ; običan se javljati u zajedno sa itrijumom ,1,0
smrznut voda u čvrst stanje ,1,0
skandinavski kraljevstvo u istočni delo Skandinavskog poluostrvo . ,1,0
novčan jedinica Svazilend ,1,0
italijanski usoljen i sušen šunka koji se seći veoma tanko ,1,0
otkazati ili poništiti radnja ili njen posledica ,1,0
duž koji spajati dva tačka na kružnica i prolaziti kroz njen centar ,1,0
"Najveći živac čovečji telo koji nastajati iz korenov ( L4 , L5 , S1 , S2 , S3 ) krsni splet ( lat . plexus lumbosacralis - pars sacralis ) lumbosakralnog ( slabinskokrsnog ) delo kičmeni moždina i koji se sastojati od motorni i senzornih neurona koji učestvovati u inervaciji delovati telo od lumbosakralne ( slabinskokrstne ) oblast pa sav sav do završan delovati donji ud . Išijadični živac , kao glavni nastavak krsni ( sakralan ) pleksus u sav dalek tok se račvati u dva glavne grana : golenjački ( lat . n . tibialis ) i lišnjački nerv ( lat . n.peronei ) . ",1,0
propozicija koji se dobijati konverzija ,1,0
znak koji se stavljati iza broj da označiti da jesam koji deo celina jesam u pitanje ,1,0
Snabdeti oružje . ,1,0
lekar koji se specijalizovati za dijagnostikovanje i lečenje poremećaj rad endokrin sistema . ,1,0
osećanje intezivne nesreća ,1,0
koncept ili ideja koji jesam povezati ni sa jednom poseban pojava . ,1,0
prestonica i najveć grad Ukrajina ; velik proizvodni i transportni centar . ,1,0
penutski jezik koji govoriti narod Cimši ,1,0
Snažno verovanje u natprirodan moć koji kontrolisati ljudski sudbina . ,1,0
napraviti fonetski transkripcija ,1,0
reproduktivan sistem žena ,1,0
prednji strana mesnat delo ,1,0
podesiti razmak između reč ,1,0
nalog za izvršenje smrtan kazna ,1,0
Sprečiti završavanje nešto . ,1,0
velik zgrada za sastanak i zabava . ,1,0
tvar koji trpiti brz hemijski promena ( uz proizvodnja gas ) kada se zagrejati ili udariti ,1,0
proučavanje upotreba jezik ,1,0
grana elementaran matematika ; nauka o računanje pomoću broj izražen cifra ,1,0
objekt koji se moći videti i dodirnuti ; objekt koji bacati senka . ,1,0
"komercijalan proces koji jesam na snaga u tok promocija , prodaja i distribucija kakav proizvod ili usluga ",1,0
prestonica narodni republika Kina ; drugi po veličina grad u Kina . ,1,0
grupni akcija kao odgovor onaj na vlast . ,1,0
tekst koji prethoditi glavni tekst knjiga ,1,0
"Dijagnostička tehnika koji koristiti infracrven zraka za snimanje različit delovati telo , naročito za protok krv i detekcija tumor . dobijati se snimak koji se nazivati termogram . ",1,0
indonezijski jezik koji se govoriti na mali Sundskim ostrvo ,1,0
