X,Predicted,Real
držanje do moralan princip ,1,0
i u metaforički značenje ,1,0
Saosećanje sa neki ili nešto . ,0,1
velik bogatstvo . ,0,1
osobina prefinjen uglađenost i dobar ukus ,0,1
"kvalitet da čovek ne stavljati sebe prvo , već da jesam spreman da svoj vreme , novac ili trud posvetiti drugi ",0,1
koji donositi spasenje ili iskupljenje od greh ,0,1
proceniti vrednost nešto . ,0,1
nešto što imati vrednost ,1,0
kvalitet neki ili nešto što jesam važan ili vredan pažnja . ,1,0
nešto što izazivati osećanje čuđenje ,0,1
general visok rang ,1,0
Osećanje samopoštovanje i ličan vrednost . ,0,1
"koji ohrabrivati , odobravati ili zadovoljavati ",0,1
izraziti zahvalnost ili pokazati poštovanje ,1,0
moći se koristiti i u vremenski smisao ,0,1
stanje zadovoljstvo jer nem bolest . ,0,1
koji donositi dobar profit ,0,1
obezbediti zabava za neki . ,0,1
nadmoćan osećanje strah i zebnja ,1,0
Čin pružanje odobravanje i podrška . ,1,0
propovedati jevanđelje ,1,0
dati razlog za očekivanje . ,1,0
"kvalitet koji činiti daa jesam nešto poželjan , vredan ili korisno . ",0,1
u rimski mitologija boginja sreća i sretan slučajnost ; u grčki mitologija ona odgovarati nTiha ,0,1
Nešto predložiti ( kao plan ) . ,1,0
proglasiti kriv ( utvrditi krivica ) ,1,0
stanje biti zaposliti ili imati posati . ,0,1
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
"koji imati potreban sposobnost , veština ili znanje da nešto uraditi . ",0,1
koji jesam veseo niti izazivati veselje ,1,0
uhvatiti ; i metaforički . ,1,0
koji ispoljavati pogodan ili povoljan uticaj ,0,1
Neodređena količina nešto koji imati određenu vrednost . ,1,0
"onaj ko imati nežan , pažljiv i obziran priroda ; koristiti se za osoba i njihov ponašanje . ",0,1
Čin prilazak cilj . ,0,1
kvalitet koji imati nešto što imati velik vrednost ili cena ,0,1
Osećanje naklonjenost drugi osoba ; uživanje u njihov društvo ,0,1
"onaj koji vrediti imati , tražiti ili dostignuti ",0,1
"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . ",1,0
koji nastajati iz želja da se doprineti blagostanje ili sreća drugi . ,0,1
osobina onaj što zasluživati poverenje . ,0,1
spojiti ili vezati . ,0,1
umetnik nenadmašan veština . ,0,1
onaj koji imati velik moć ili sila ili snaga ili uticaj . ,0,1
kvalitet koji ne pružati zadovoljstvo čulo . ,1,0
blagonaklon procena ,0,1
koji odgovarati za svoj postupak . ,0,1
ispuniti ili anulirati dug ,1,0
"nezgoda , posebno ona koji prouzrokovati povreda ili smrt . ",1,0
osećati zadovoljstvo zbog nešto ,0,1
osoba koji se brina o ljudi i njihov svojina . ,0,1
osećanje naklonjenost ,0,1
onaj što se na kraj proizvesti . ,1,0
kvalitet onaj što imati velik cena ,0,1
preuveličan osećanje blagostanje ili ushićenje ,0,1
osoba koji jesam umreti i proglasiti za svetac proces kanonizacije ,1,0
velik intenzitet ili snaga . ,1,0
od velik značaj ili važnost . ,0,1
svaki odstupanje od zdrav ili normanog stanje ,1,0
"biti potpun u svoj vrsta , bez nedostatak ",0,1
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,0,1
"zadobiti kakav prednost , kao što jesam bod itd . ",0,1
odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . ,1,0
imati sposobnost ili moć kreativnost . ,1,0
ostvarenje ciljati ,1,0
Učiniti svetiti pomoću religijski obred . ,0,1
podvrgnuti nedobronamernom smeh . ,0,1
koji lako žaliti i sažaljevati ,0,1
prijateljski narav ,0,1
koji činiti ili donositi dobro ,0,1
Energičan napor da se nešto postignuti . ,1,0
Cena se zbog lep cveće u raznovrstan lep i svetao boja . ,1,0
aktivnost štićenje neki ili nešto . ,0,1
stanje zrelost ; pun razvoj . ,1,0
izjaviti za neki da jesam kriv po krivičan optužba . ,0,1
postignuti bod ili cilj ,0,1
izričito odobravanje šta ,1,0
"proširen značenje , naročito u psihološki slislu , ogledati se u jačina strast ili entuzijazam ",0,1
velik po stepen ili intenzitet ili broj ili količina . ,1,0
"ličan sloboda od ropstvo , zarobljeništvo i ugnjetavanje ",0,1
stanje ili uslov u koji jesam neki nevin za određen zločin ili uvreda . ,0,1
"koji ushićivati čuti , uzbuđivati duh ili izazivati emocionalno divljenje . ",0,1
proglasiti kriv ( utvrditi krivica ) ,1,0
nivo postojanje ili razvoj . ,1,0
koji jesam osloboditi stresati ili pogodovati mentalan opuštenost ; koji imati ili pružati duševan mir ,0,1
oporavak ili način čuvanje od gubitak ili opasnost . ,0,1
sposobnost postojanje ili delovanje u harmoničan ili usklađen kombijaciji ,0,1
