X,Predicted,Real
stanje zatočenosti (obično za kratko vreme),0,1
Izazvati štetu na nečemu.,0,1
Koji trpi atrofiju,0,1
koji ne može da govori zbog urođene gluvoće,1,0
"Odbijanje vere, da se veruje u nešto.",1,0
"bolest ili nesposobnost koja proističe od uslova rada, obično zbog duge izloženosti štetnim materijama",1,0
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",1,0
"Slabljenje ili degeneracije, posebno usled nekorišćenja.",0,1
čin namernog odstupanja od istine,0,1
ozloglašenost zbog neke posebne karakteristike,1,0
Koga motiviše briga za otklanjanje patnji drugih.,1,0
U kome nema života.,0,1
"koji je okarakterisan mračnim, mističnim i groteskom",0,1
Onesposobiti kretanje nekom tako što se smesti unutar nekih granica.,0,1
Nezakonito ubijanje s predumišljajem jednog čoveka od strane drugog.,0,1
Okrutni poslodavac koji od zaposleni traži da prekomerno rade.,0,1
težak zločin,1,0
"koji ne traži, ne iziskuje specijalne nutricione potrebe",0,1
protivno zakonu ili zakonom zabranjeno,0,1
obestan i uzbudljiv poduhvat (ne nužno zakonit),0,1
"(politika) obezbeđivati usluge, ugovore i pozicije u zamjenu za političku podršku",0,1
Otarasiti se nekoga ubistvom.,0,1
učiniti nesrećnim,1,0
Stanje ili uslov u kome je neko nevin za određen zločin ili uvredu.,1,0
Pojava promene nagore.,0,1
Ne pridržavanje moralnim principima.,1,0
Gubitak novca ili smanjenje finansijske vrednosti.,1,0
Oštećenje normalne fiziološke funkcije koje pogađa deo ili ceo organizam.,0,1
Stanje u kome čovek ne može da funkcioniše normalno i bez bola.,0,1
Čin prljanja nečega.,0,1
Čin oštećivanja nečega ili nekoga.,0,1
neučestvovanje u sporu ili ratu,1,0
napraviti nered u nečemu,1,0
svaka šteta proistekla iz povrede prava,0,1
napuniti suzama ili prolivati suze,1,0
Velika (glavobolja).,0,1
pogrešno predstaviti,1,0
Dobiti neku bolest.,1,0
ispuniti slutnjom ili uznemirenošću; izazvati neprijatnu iznenađenost,1,0
Pozitivan ili negativan kvalitet nečega što ga čini poželjnim ili vrednim.,1,0
Stanje koje još ne odgovara zrelosti.,0,1
postupanje protiv nekog drugog načina rada koji se vama ne sviđa,1,0
Načiniti nekoga besnim.,1,0
"Govoriti nerazgovetno, obično tihim glasom.",0,1
intenzivna ojađenost,0,1
Kome nedostaje ljubaznost.,0,1
svojstvo onoga kome nedostaje živost,0,1
Neko nižeg ranga ili položaja ili kvaliteta.,0,1
osećanje velikog (obićno preteranog) ushićenja,1,0
loše mirisati,0,1
na nižem nivou po rangu ili značaju,0,1
"obožavanje idola, slika koje nisu od Boga",1,0
Oblačiti se u crno kao znak žalosti.,0,1
Neko ko Vas navodi da poverujete u nešto što nije tačno.,1,0
svako ko veruje da nije u stanju da promeni svoju sudbinu,1,0
"osobina varijabilnosti, izmenljivosti ili nestajanja u vremenu",0,1
