X,Predicted,Real
"Učiniti jednak , ravnomeran , odgovarajući ili saglasan . ",1,0
sposoban za korektan i validan rezonovanje ,0,1
slab sposobnost da se razumeti iskustvo ili profitirati iz on . ,1,0
ispuniti divljenje i ushićenje ,1,0
an abundance of material possessions and resources ,1,0
priznati svoj vera u šta ili privrženost šta ,1,0
Čin ili proces merenje . ,0,1
učiniti zadovoljan ,1,0
koji jesam neki uveseliti ,0,1
osoba koji voliti ili jesam voljen ,1,0
koji jesam zadovoljan ; koji doživljavati ili ispoljavati nezadovoljstvo ,1,0
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
stanje u koji čovek ne moći da funkcionisati normalno i bez bol . ,1,0
koji jesam naklonjen prea nešto . ,1,0
"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . ",0,1
"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . ",1,0
koji jesam u sklad sa metoda ili princip nauka . ,1,0
"prema hrišćanski etika jedan od tri vrlina - vera , nada i ljubav dat od bog da zaokružiti prirodan vrlina ",1,0
"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns ",0,1
imati izvestan dimenzija . ,0,1
zlonameran zadovoljstvo ,1,0
"koji privremeno jesam aktivan , o vulkan ",0,1
"s čiji pravilo , naredba ili želja u sklad postupati ",1,0
Čin koji se nešto činiti čistiti . ,0,1
koji se tič princip dobra i zlo ; koji se uklapati u standard ponašanje i karakter koji jesam zasnovati na ovaj princip . ,0,1
Čin ukrašavanje nešto ( u nada da hteti od taj privlačan izgledati ) . ,1,0
odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . ,1,0
Pomoć u nevolja . ,0,1
"koji imati ili ukazivati na dobro zdravlje telo ili duh , kod koji nem upala ili bolest . ",0,1
"promena nabolje , napredak u razvoj . ",0,1
"velik broj , količina ili prostranstvo . ",1,0
Nešto što imati veličina i moći da se predstaviti matematički izraz pomoću konstane ili promenljiv . ,0,1
osobina onaj što ne zasluživati poverenje . ,1,0
razvijati se u pozitivan smer ,0,1
onaj koji jesam po moralan kvalitet ili izgled nalik na anđeo ili svetac ,0,1
