X,Predicted,Real
Držati se na odrediti način . ,1,0
advokat koji zastupati slučaj na sud . ,1,0
svojstvo koji se uočavati dodir ,1,0
ponekad se smeštati u podporodicu Hyacinthaceae . ,1,0
šetati se ,1,0
mehanizam koji rotirati . ,1,0
"nastojanje da se raščlaniti sopstven psihološki svet , uključivati i mogućnost da se razumeti i nesvesno . ",1,0
"gas , tečnost i čvrst tvar jesam tri uobičajen agregatni stanje . ",1,0
( Rimokatolička crkva ) osoba koji se pokajati zbog svoj greh ( rimokatolik činiti pokora prema uputstvo ispovednik ) ,1,0
inkvizicija koji jesam branik katolicizam u Španija ( posebno od XV do XVII vek ) ,1,0
bavarski krem okružiti piškota ,1,0
čin sudaranje s nešto ,1,0
sporazum koji prestajati neprijateljstvo . ,1,0
saobraćaj koji se obavljati letelica ,1,0
uzrokovati da se nešto prevrnuti ,1,0
kratak opis neki vesta ,1,0
bakalar koji se obično peći ali se nekad i bara sa buter ,1,0
"tvar u tečan agregatni stanje koji nemati utvrđen oblik , ali imati utvrđen zapremina ",1,0
Tražiti isplata . ,1,0
sudski nalog koji se nalagati administrativan činovnik ( šerif ) da pozvati porotnik ( član porota ) ,1,0
dovesti u drugačiji stanje . ,1,0
polica za držanje knjiga ,1,0
jedan zahtev ,1,0
primitive oviparous mammals found only in Australia and Tasmania and New Guinea ,1,0
Izložiti i predstaviti u misao . ,1,0
stan bog i anđeo ,1,0
dokopati se nešto tako da se obustaviti njegov kretanje . ,1,0
Old World freshwater catfishes having naked skin and a Long anal fin mora Or less merged with the eellike caudal fin ,1,0
ostati iza ,1,0
kreativan pisanje ceniti zbog estetski sadržina ,1,0
pomešan škotski viski i soda ,1,0
fakultet i student u kakav obrazovni ustanova ,1,0
Nuđenje dobro i usluga na prodaja . ,1,0
"an amber , watery fluid , rich in proteins , that separates out when blood coagulates ",1,0
pevati treperav glas . ,1,0
Učiniti ili prisiliti da se prihvatiti nacizam ili nacistički karakter . ,1,0
Čin držanje nešto u tajnost . ,1,0
situacija ili događaj o koji se misliti . ,1,0
