X,Predicted,Real
izraziti zahvalnost ili pokazati poštovanje,1,0
Nestašno ponašanje sa namerom da pobudi seksualno zanimanje.,0,1
"Kvalitet koji čini daa je nešto poželjno, vredno ili korisno.",0,1
osobina onoga što je povezano ili stepen nečega što je povezano,1,0
Visoka vrednost nečega.,0,1
koji može ponovo da se koristi,0,1
"Koji ima ili ukazuje na dobro zdravlje tela ili duha, kod koga nema upale ili bolesti.",0,1
stanje bez oštećenja ili propadanja,0,1
Proizvesti smeh.,0,1
Priroda ili svojstvo onoga ko je emocionalan.,0,1
svako odstupanje od zdravog ili normanog stanja,1,0
Tvrditi ili misliti da je neko odgovoran za neko delo ili čin.,1,0
kvalitet onoga što ima veliku cenu,0,1
koji čini živahnim i veselim,0,1
(za naglašavanje značenja) izuzetno dobro,0,1
odsustvo moralnih ili duhovnih vrednosti,1,0
"koji ohrabruje, odobrava ili zadovoljava",0,1
radnja koju karakteriše dobro raspoloženje,0,1
Biti veoma primetan.,0,1
koji nije zadovoljan; koji doživljava ili ispoljava nezadovoljstvo,1,0
izuzetno uvredljiv za moral; koji izaziva užas,1,0
činjenje dobra; osećaj dobrotvornosti,0,1
Osobina onog ko je široko prihvaćen i čije se društvo traži.,0,1
koji je oslobođen stresa ili pogoduje mentalnoj opuštenosti; koji ima ili pruža duševni mir,0,1
biti zaljubljen ili u ljubavi s nekim,0,1
Voditi ili doprinositi uspehu.,1,0
Nagon za polnom prisnošću.,0,1
Postati stabilan ili stabilniji.,0,1
Koji nije savršen; defektan ili neadekvatan.,1,0
sklonost obavljanju dobrovoljnih ili dobrotvornih poslova,0,1
usrećiti ili zadovoljiti,0,1
biti privlačan kome,0,1
Gledati nekoga sa divljenjem.,0,1
Moralna izvanrednost.,0,1
Zaokupiti na prijatan ili zabavan način.,0,1
francuska reč za sreću i dobro raspoloženje,0,1
Korisna ili vredna osobina,0,1
Koji nije u dobrom zdravlju tela ili duha.,1,0
izuzetno loš ili nezadovoljavajući,1,0
Ne osecati se dobro ili udobno.,1,0
koji prekomerno želi da stekne npr. bogatstvo,1,0
