X,Predicted,Real
Čin konstruisanje ili građenje nešto . ,1,0
pun ili označen ozlojeđenost ili zlovolja ,0,1
tvorevina koji jesam stvoriti neki osoba ili neki proces . ,0,1
učiniti tanak ili tanak ,1,0
slab sposobnost da se razumeti iskustvo ili profitirati iz on . ,0,1
smatrati da jesam nešto loše ili pogrešno . ,0,1
osoba ili firma koji zapošljavati radnik ,1,0
ne biti podložan nešto . ,0,1
koji osećati nadolazeći opasnost ,0,1
izazvati šteta na nešto . ,0,1
"zaprljati , onečistiti . ",0,1
koji odražavati sumornost i smrknutost ,0,1
prav krastača . ,1,0
ubijanje čovek od strana drugi čovek . ,1,0
koji nemati neki izrazit kvalitet ili karakteristika . ,1,0
ubijanje odsecanje glava ,1,0
okrutan poslodavac koji od zaposlen tražiti da prekomeran raditi . ,0,1
ljudski tvorevina koji jesam neki stvoriti . ,1,0
proizvoditi suviše . ,1,0
koji narušavati princip dobra i zlo . ,0,1
"Nemogućnost da se odmoriti , opustiti ili biti miran . ",0,1
postati gora . ,0,1
Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . ,1,0
Čin prljanje nešto . ,0,1
koji ne pokazivati dovoljno pijetet prema bog . ,0,1
Pričati na besposlen ili neobavezan način sa element sumnja ili bez dovoljno razlog da se doći do zaključak . ,0,1
neki ko u spoljni politika oružan sukob pretpostavljati pregovori ,1,0
odbiti s gnušanje ,0,1
"koji jesam okarakterisati mračan , mističan i groteska ",0,1
"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . ",0,1
"Lišiti se , okaniti se šta , odbaciti . ",1,0
stanje kada jesam učiniti prekršaj . ,0,1
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,0,1
koji s ne pokretati . ,0,1
osećanje naklonjenost ,1,0
stanje stvar koji jesam skoro izvan nečiji mogućnost da jesam rešiti i zahtevati velik napor da se rešiti ili prevazići . ,0,1
zabraniti zakon ili zvanično usvojen pravilo ,1,0
bolan osećaj koji proizlaziti iz svest o nedovoljnost ili krivica ,0,1
loše mirisati ,0,1
"odbojno , vrlo neprijateljski ponašanje ",0,1
Učiniti ružan . ,0,1
poređati nešto kao nizak ,1,0
žalostan zbog gubitak ili uskraćenosti ,0,1
dati oblik ili forma nešto . ,0,1
radnik koji jesam najamiti da obaviti posati . ,1,0
stanje opuštenost i neosećanja bol ,1,0
nameran čin oduzimanje ,1,0
"postati bled , na primer , od strah . ",1,0
u koji nem život . ,0,1
koji jesam veseo niti izazivati veselje ,0,1
koji karakterisati životinja za razlika od biljka . ,1,0
stanje degeneracija mentalan ili moralan kvalitet ,0,1
moralno iskvariti ,0,1
"onaj koji se moći ukazati poverenje , u koji se moći pouzdati ",1,0
prilika za zaposlenje ili promocija . ,1,0
kvalitet onaj što ne moći da postojati ili raditi u usklađen kombinacija . ,0,1
Pokušaj da se za sebe dobiti ličan priznanje ( posebno neprihvatljiv sredstvo ) . ,0,1
kvalitet onaj ko jesam brižljiv i pažljiv . ,1,0
objaviti sudski presuda ( neki ) ,0,1
ratobornost izazvati stvaran ili pretpostavljen nepravda ( predstaviti kao jedan od smrtan greh ) ,0,1
promeniti u suprotnost . ,1,0
protivno zakon ili zakon zabraniti ,0,1
stimulans sa nepoželjan posledica ,0,1
postati ljut . ,0,1
izuzetno nelagodan ,0,1
držanje do moralan princip ,0,1
ispuniti slutnja ili uznemirenost ; izazvati neprijatan iznenađenost ,1,0
Učiniti goreti . ,0,1
spojiti sa ugalj ,1,0
razmena dobro za dogovoren suma novac . ,0,1
neki ko prav staklo . ,1,0
"koji jesam vlik po količina , broj ili stepen . ",0,1
politika usvojen platforma koji politički partija ,1,0
koji zasluživati sažaljenje ili podsticati na sažaljenje ,0,1
koji nedostajati lepota ili šarm . ,0,1
sastavljati od komponenta ili delovati . ,0,1
okarakterisan neprijateljstvo ili zlovolja ,0,1
obestan i uzbudljiv poduhvat ( ne nužno zakonit ) ,0,1
okoristiti se kakav mogućnost bez obzir na posledica za drugi ,0,1
"napraviti nered , uništiti . ",0,1
Učiniti dobar . ,1,0
Osećaj koji se doživljavati u očekivanje neki određenog bol ili opsasnosti i obično ga pratiti želja da se pobeći . ,0,1
ukloniti posvećenost sa osoba ili objekt . ,0,1
materijal koji trebati da se štampati ; isključivo grafički materijal . ,1,0
velik ( glavobolja ) . ,0,1
stanje u koji se malo novac i materijalan dobro . ,0,1
Čičkovac . ,0,1
svaki odstupanje od zdrav ili normanog stanje ,0,1
koji ne pripadati snaga sopstven zemlja ili snaga saveznik ,0,1
koji drugi žeti zlo ; koji nastajati iz velik zloba ili mržnja . ,0,1
nesposobnost osoba da se setiti ili uraditi onaj što obično moći ; često uzrokovati emoionalnom napetost . ,0,1
Ispuštati miris . ,1,0
stanje u koji čovek ne moći da funkcionisati normalno i bez bol . ,0,1
