X,Predicted,Real
stanje biti nezaposlen ili nemati posati . ,1,0
ispuniti divljenje i ushićenje ,1,0
Čin procenjivanje ili prosuđivanje . ,1,0
"račić , kozica , itd . ",1,0
koji donositi dobar profit ,0,1
Osećanje zabrinutost . ,1,0
"zaprljati , onečistiti . ",1,0
Čin ili proces merenje . ,0,1
osoba koji voliti ili jesam voljen ,1,0
koji jesam zadovoljan ; koji doživljavati ili ispoljavati nezadovoljstvo ,1,0
moralan ispravnost ,0,1
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
uyrokovati da opasti ,1,0
koji jesam naklonjen prea nešto . ,1,0
"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . ",0,1
čiji prethodnik biti ,1,0
"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns ",0,1
imati izvestan dimenzija . ,0,1
zlonameran zadovoljstvo ,1,0
koji imati urođen sklonost prema dobrota ,0,1
"koji privremeno jesam aktivan , o vulkan ",0,1
Čin koji se nešto činiti čistiti . ,0,1
koji se tič princip dobra i zlo ; koji se uklapati u standard ponašanje i karakter koji jesam zasnovati na ovaj princip . ,0,1
Čin ukrašavanje nešto ( u nada da hteti od taj privlačan izgledati ) . ,1,0
biti u saglasnost . ,1,0
odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . ,1,0
Pomoć u nevolja . ,0,1
"koji imati ili ukazivati na dobro zdravlje telo ili duh , kod koji nem upala ili bolest . ",0,1
"promena nabolje , napredak u razvoj . ",0,1
Učiniti da nešto potonuti . ,1,0
"Čin agresija , reći prema osoba koji se odupirati . ",1,0
Nešto što imati veličina i moći da se predstaviti matematički izraz pomoću konstane ili promenljiv . ,0,1
koji jesam sklon ljubav ili ispoljavanje ljubav ,0,1
"Očistiti nečiji telo , reći pranje . ",1,0
zabava ili dokolica . ,1,0
osobina onaj što ne zasluživati poverenje . ,1,0
dopustiti da moneta fluktuirati . ,1,0
osoba koji ispoljavati pobožnost . ,1,0
razvijati se u pozitivan smer ,0,1
onaj koji jesam po moralan kvalitet ili izgled nalik na anđeo ili svetac ,0,1
izjaviti za neki da jesam kriv po krivičan optužba . ,0,1
o apostrofa ili koji jesam karakteristika apostrofa ,1,0
koji nastajati iz želja da se doprineti blagostanje ili sreća drugi . ,0,1
Sloboda od kontrola ili uticaj drugi ili drugi . ,1,0
nalaziti da jesam nešto zabavno ili prijatno . ,0,1
Učiniti da opet biti svež . ,1,0
"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . ",0,1
sumnjati ili izražavati sumnjičav spekulacija . ,1,0
"disinclined taj work Or exertion ; "" faineant kings under whose Rula the country languished "" ; "" an indolent hanger-on "" ; "" too lazy taj wash the dishes "" ; "" shiftless idle youth "" ; "" slothful employees "" ; "" the unemployed ar Not necessarily work-shy "" ",1,0
Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . ,0,1
Ponašanje sa neki ili nešto . ,1,0
"dodirnuti , dotaknuti , očešati . ",1,0
stvoriti mišljenje o nešto ili preneti stav . ,0,1
osobina onaj ko jesam prihvatiti i ne upućivati on se pohvaliti . ,1,0
inherentan kompleks atribut koji određivati moralan i etički akcija i reakcija osoba . ,0,1
zanimljiv ili šaren ukras koji se dodavati da umanjiti jednoličnost . ,1,0
"imati poželjan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za određenu stvar ",0,1
"Nemogućnost da se odmoriti , opustiti ili biti miran . ",1,0
"Čin naginjanje , saginjanje . ",1,0
bring forth Or yield ,1,0
"onaj koji se moći ukazati poverenje , u koji se moći pouzdati ",0,1
dostignuti i eventualno prestignuti ,1,0
pokušavati saznati čiji mišljenje i namera ,1,0
nivo postojanje ili razvoj . ,1,0
posvetiti ,1,0
"jako osećanje , usmeren prema neki stvaran ili navodni muka . ",1,0
"na primer , o vukanima ; koji trajno jesam aktivan . ",1,0
trud pun napor za postizanje ciljati . ,1,0
Načiniti napet . ,0,1
Not standard ; Not accepted as a model of excellence ,1,0
subjektivan doživljaj da se nešto čuti . ,1,0
"prihvatiti nečiji ideologija , praksa , metoda , i koristiti jesam kao da jesam sopstven . ",1,0
Učiniti čistiti uklanjanje prljavština ili neželjen supstanca . ,0,1
iskreno moliti ili tražiti nešto ,1,0
velik intenzitet ili snaga . ,1,0
i u metaforički značenje ,0,1
gajiti osećanje dubok poštovanje i strah pred autoritet . ,0,1
verovanje plemenski društvo ,1,0
Izreći sud o neki . ,0,1
Čin koji se nešto poboljšavati . ,1,0
naklonjenost prema nešto ,1,0
osoba koji jesam umreti i proglasiti za svetac proces kanonizacije ,0,1
stvoriti mišljenje o nešto ; suditi oprezno ; napraviti procena . ,0,1
tražiti ili tragati ,1,0
osoba koji imati specijalan znanje ili sposobnost koji vešto obavljati . ,1,0
osećati zadovoljstvo zbog nešto ,0,1
koji se kretati . ,0,1
Učiniti lep . ,0,1
zabava koji držati pažnja . ,0,1
spojiti ili vezati . ,0,1
koji posedovati ili iskazivati verovanje u božanstvo i njihov obožavanje ,1,0
Myrtaceae ; Combretaceae ; Elaeagnaceae ; Haloragidaceae ; Melastomaceae ; Lečthidaceae ; Lythraceae ; Rhizophoraceae ; Onagraceae ; Lečthidaceae ; Punicaceae ,1,0
onaj koji imati velik moć ili sila ili snaga ili uticaj . ,0,1
osećanje dubok ljubav i divljenje ,0,1
"koji jesam u sklad sa fiksiran redosled , procedura ili princip . ",0,1
prijatno i površno uzbuđivati ,0,1
"biti uplašiti , plašiti se ",1,0
specijalan grupa koji jesam delegirati da razmotriti neki stvar . ,0,1
imati poverenje ili vera u neki . ,0,1
"koji se lako upravljati , koji ustupati . ",0,1
opaliti ili se isprazniti ,1,0
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
"Učiniti da nešto biti puno , moći i u metaforičan značenje . ",1,0
gajiti nežan osećanje prema neki . ,0,1
preparat koji se koristiti za čišćenje nešto ,0,1
izraz neki želja ili naklonost . ,1,0
zaokupiti na prijatan ili zabavan način . ,0,1
"zadovoljan stanje sreća , zdravlje i prosperitet . ",0,1
