X,Predicted,Real
stanje dubok obuzetost ,1,0
Nestašno ponašanje sa namera da pobuditi seksualan zanimanje . ,0,1
visok vrednost nešto . ,0,1
koji moći ponovo da se koristiti ,0,1
"koji imati ili ukazivati na dobro zdravlje telo ili duh , kod koji nem upala ili bolest . ",0,1
stanje bez oštećenje ili propadanje ,0,1
proizvesti smeh . ,0,1
priroda ili svojstvo onaj ko jesam emocionalan . ,0,1
biti prihvatljiv ili pristati . ,0,1
odsustvo moralan ili duhovan vrednost ,1,0
"koji ohrabrivati , odobravati ili zadovoljavati ",0,1
upadljiv uspeh . ,0,1
biti veoma primetati . ,0,1
činjenje dobra ; osećaj dobrotvornosti ,0,1
osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . ,0,1
koji jesam osloboditi stresati ili pogodovati mentalan opuštenost ; koji imati ili pružati duševan mir ,0,1
biti zaljubiti ili u ljubav s neki ,0,1
"žalovati , tugovati , ili osećati gubitak zbog nešto što jesam učiniti ili jesam učiniti ",1,0
osećanje velik utučenost i melanholija ,1,0
nagon za polni prisnost . ,0,1
postati stabilan ili stabilan . ,0,1
sklonost obavljanje dobrovoljan ili dobrotvoran posao ,0,1
general visok rang ,1,0
usrećiti ili zadovoljiti ,0,1
stanje kada jesam neki prosperitetan i uspešan . ,0,1
koji osećati ili ispoljavati velik uzbuđenje ili zainteresovanost ,0,1
biti privlačan koji ,0,1
sposoban za korektan i validan rezonovanje ,0,1
gledati neki sa divljenje . ,0,1
zaokupiti na prijatan ili zabavan način . ,0,1
ne osecati se dobro ili udobno . ,1,0
