X,Predicted,Real
"mesto gde nešto počiniti , gde nastajati . ",1,0
"odgovor telesni tkivo na povreda ili nadržaj ; karakterisati ga bol , otok , crvenilo i pečenje . ",0,1
osoba koji ne prihvatati nov ideja ,0,1
spojiti ili vezati . ,1,0
"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . ",0,1
"koji imati veseo karkater , jesam sklon briga . ",1,0
smanjenje u veličina organ usled bolest ili nekorišćenja . ,0,1
intenzivan ojađenost ,0,1
svojstvo onaj koji nedostajati živost ,0,1
"koji izazivati iznenađenje , čuđenje ili zadivljenost ",0,1
biti u saglasnost . ,1,0
"biti uplašiti , plašiti se ",0,1
nešto što izazivati osećanje čuđenje ,1,0
nenormalan depresija i nezadovoljstvo ,0,1
"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati ",0,1
grupno odbijanje da se pribeći nasilje čak i u samoodbrana . ,1,0
stanje u koji čovek ne moći da funkcionisati normalno i bez bol . ,0,1
smatrati da jesam nešto loše ili pogrešno . ,0,1
koji odražavati sumornost i smrknutost ,0,1
"biti u sklad , harmonija . ",1,0
"onaj što jesam lako , zahtevati velik fizički ili mentalan napor da biti se ostvariti . razumeti ili izdržati . ",0,1
okrutno ili nehuman postupanje ,0,1
zlonameran zadovoljstvo ,0,1
"koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebičnost drugi ",0,1
smanjiti bol ili neprijatnost ; ublažiti ,1,0
učiniti da neki ili nešto ne biti osetljiv ili osetljiv ,0,1
čin nameran odstupanje od istina ,0,1
oporavak ili način čuvanje od gubitak ili opasnost . ,1,0
nemogućnost prisustvo ,1,0
"sračunat upotreba nasilje ( ili pretnja nasilje ) protiv civil kako biti se postignuti cilj koji jesam politički ili verski ili ideološki priroda - taj se radi zastrašivanje , prinuda ili ucena ",1,0
žalostan zbog gubitak ili uskraćenosti ,0,1
svaki odstupanje od zdrav ili normanog stanje ,0,1
uzrok velik patnja i nesreća . ,0,1
neprijateljski stav ,0,1
naprava smisliti da sprečiti povreda . ,1,0
odsustvo moralan ili duhovan vrednost ,0,1
koji jesam raspoložiti da sarađivati ,0,1
moralno iskvariti ,0,1
iznenadno stanje žestok emocionalan uznemirenost ,0,1
Ispuštati vonj . ,0,1
biti šta u sklad sa princip pravda ,1,0
koji jesam označen beznadežnost ili ispoljavati beznadežnost ,0,1
nedoličan ili nemoralan ponašanje ,0,1
kvalitet neki ili nešto što imati slab ili manje poželjan pozicija . ,0,1
"biti lažljiv , neiskren prema neki . ",0,1
okarakterisan zloba ,0,1
veoma nesrećan ; ispunjen mizerija ,0,1
"koji postojati u stvarnost , uzeti iz život ",1,0
"koji nemati potreban sposobnost , veština ili znanje . ",0,1
na nizak nivo po rang ili značaj ,0,1
stanje koji karakterisati osećanje u raspon od blag nezadovoljstvo do dubok bol . ,0,1
stanje koji još ne odgovarati zrelost . ,0,1
uništiti kakav raspored ili redosled ,1,0
Teško raditi . ,1,0
osobina onaj što ne zasluživati poverenje . ,0,1
