X,Predicted,Real
Čin konstruisanja ili građenja nečega.,1,0
pun ili označen ozlojeđenošću ili zlovoljom,0,1
snažno osećanje nedopadanja,0,1
Tvorevina koju je stvorila neka osoba ili neki proces.,0,1
okarakterisan prijateljstvom i dobrom voljom,1,0
Slaba sposobnost da se razume iskustvo ili profitira iz njega.,0,1
"Stanje čovekovih osećanja, posebno vezano za zadovoljstvo ili potištenost.",1,0
Smatrati da je nešto loše ili pogrešno.,0,1
uopštenih osećanja tuge,0,1
koji oseća nadolazeću opasnost,0,1
Izazvati štetu na nečemu.,0,1
sigurno namešteno ili postavljeno,1,0
"Zaprljati, onečistiti.",0,1
koji odražava sumornost i smrknutost,0,1
Koji nema neke izrazite kvalitete ili karakteristike.,1,0
izjava koja nekome ili nečemu odaje priznanje,1,0
Tuga povezana sa nekim učinjenim zlom ili nekim razočaranjem.,0,1
Okrutni poslodavac koji od zaposleni traži da prekomerno rade.,0,1
Ljudska tvorevina koju je neko stvorio.,1,0
Koji se protivi pravilima ili usvojenoj praksi.,0,1
Postati gori.,0,1
Čin prljanja nečega.,0,1
Koji ne pokazuje dovoljno pijeteta prema Bogu.,0,1
Pričati na besposlen ili neobavezan način sa elementom sumnje ili bez dovoljno razloga da se dođe do zaključka.,0,1
odbiti s gnušanjem,0,1
"koji je okarakterisan mračnim, mističnim i groteskom",0,1
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",0,1
Stanje kada je učinjen prekršaj.,0,1
Koji je pred erupcijom ili izbacuje lavu (o vulkanima),0,1
Koji s ne pokreće.,0,1
Stanje stvari koje je skoro izvan nečije mogućnosti da je reši i zahteva veliki napor da se reši ili prevaziđe.,0,1
bolan osećaj koji proizlazi iz svesti o nedovoljnosti ili krivici,0,1
Upadljiv uspeh.,1,0
loše mirisati,0,1
"odbojno, vrlo neprijateljsko ponašanje",0,1
Učiniti ružnim.,0,1
osećanje naklonosti prema nekome ili nećemu dobrom,1,0
žalostan zbog gubitka ili uskraćenosti,0,1
Dati oblik ili formu nečemu.,0,1
stanje opuštenosti i neosećanja bola,1,0
"osobina onoga koji ne odustaje od svoje ideje, osećanja ili namere",1,0
U kome nema života.,0,1
koji nije veseo niti izaziva veselje,0,1
Abnormalno stanje krvi,1,0
moralno iskvariti,0,1
"onaj kojem se može ukazati poverenje, u kojeg se možemo pouzdati",1,0
Kvalitet onoga što ne može da postoji ili radi u usklađenoj kombinaciji.,0,1
Pokušaj da se za sebe dobije lično priznanje (posebno neprihvatljivim sredstvima).,0,1
Kvalitet onoga ko je brižljiv i pažljiv.,1,0
objaviti sudsku presudu (nekome),0,1
onaj koji radi za nekoga (osobu ili organizaciju),1,0
ratobornost izazvana stvarnom ili pretpostavljenom nepravdom (predstavljena kao jedan od smrtnih grehova),0,1
protivno zakonu ili zakonom zabranjeno,0,1
osećati zadovoljstvo zbog nečega,1,0
stimulans sa nepoželjnim posledicama,0,1
držanje do moralnih principa,0,1
ispuniti slutnjom ili uznemirenošću; izazvati neprijatnu iznenađenost,1,0
Učiniti gorim.,0,1
Razmena dobara za dogovorenu sumu novca.,0,1
"Koji nije vlik po količini, broju ili stepenu.",0,1
Kome nedostaje lepota ili šarm.,0,1
Sastavljati od komponenata ili delova.,0,1
koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost,1,0
obestan i uzbudljiv poduhvat (ne nužno zakonit),0,1
okoristiti se kakvim mogućnostima bez obzira na posledice za druge,0,1
"Napraviti nered, uništiti.",0,1
Osloboditi konfuzije ili dvosmislenosti; učiniti jasnim.,1,0
na nižem nivou po rangu ili značaju,0,1
"presuda(odluka) da optuženi nije kriv, odluka o nepostojanju krivice,o oslobađanju od krivice",1,0
Osećaj koji se doživljava u očekivanju nekog određenog bola ili opsasnosti i obično ga prati želja da se pobegne.,0,1
Ukloniti posvećenost sa osobe ili objekta.,0,1
Velika (glavobolja).,0,1
Stanje u kome se malo novca i materijalnih dobara.,0,1
Čičkovac.,0,1
svako odstupanje od zdravog ili normanog stanja,0,1
koji ne pripada snagama sopstvene zemlje ili snagama saveznika,0,1
izvući iz kakve zamršenosti,1,0
Nesposobnost osobe da se seti ili uradi ono što obično može; često uzrokovana emoionalnom napetošću.,0,1
Stanje u kome čovek ne može da funkcioniše normalno i bez bola.,0,1
