X,Predicted,Real
stanje zatočenosti (obično za kratko vreme),0,1
koji ne može da govori zbog urođene gluvoće,1,0
"Odbijanje vere, da se veruje u nešto.",1,0
"bolest ili nesposobnost koja proističe od uslova rada, obično zbog duge izloženosti štetnim materijama",1,0
Pomoć u nevolji.,1,0
"Ponašati se osiono, raditi naglo, bez dozvole.",1,0
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",1,0
osoba koja falsifikuje,1,0
ozloglašenost zbog neke posebne karakteristike,1,0
diskriminacija ili zlostavljanje pripadnika druge rase,1,0
Abnormalno stanje krvi,1,0
U kome nema života.,0,1
Onesposobiti kretanje nekom tako što se smesti unutar nekih granica.,0,1
težak zločin,1,0
"koji ne traži, ne iziskuje specijalne nutricione potrebe",0,1
koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost,1,0
obestan i uzbudljiv poduhvat (ne nužno zakonit),0,1
"(politika) obezbeđivati usluge, ugovore i pozicije u zamjenu za političku podršku",0,1
ispunjen divljenjem i ushićenjem,0,1
učiniti nesrećnim,1,0
Stanje ili uslov u kome je neko nevin za određen zločin ili uvredu.,1,0
Pojava promene nagore.,0,1
Ne pridržavanje moralnim principima.,1,0
Gubitak novca ili smanjenje finansijske vrednosti.,1,0
Potrošiti bez kontrole.,1,0
Nabasati na nekog nespremnog.,1,0
Čin prljanja nečega.,0,1
Čin oštećivanja nečega ili nekoga.,0,1
neučestvovanje u sporu ili ratu,1,0
napraviti nered u nečemu,1,0
Velika (glavobolja).,0,1
pogrešno predstaviti,1,0
Dobiti neku bolest.,1,0
"Ono što nije lako, zahteva veliki fizički ili mentalni napor da bi se ostvarilo. razumelo ili izdržalo.",0,1
koji se odnosi ili je oboleo od hemofilije,1,0
ispuniti slutnjom ili uznemirenošću; izazvati neprijatnu iznenađenost,1,0
Nešto što sakriva stvari ili ometa vidik.,1,0
postupanje protiv nekog drugog načina rada koji se vama ne sviđa,1,0
Načiniti nekoga besnim.,1,0
"Govoriti nerazgovetno, obično tihim glasom.",0,1
"smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill",1,0
čin kojim se neko iskorišćava ili maltretira,1,0
svojstvo onoga kome nedostaje živost,0,1
Neko nižeg ranga ili položaja ili kvaliteta.,0,1
na nižem nivou po rangu ili značaju,0,1
Oblačiti se u crno kao znak žalosti.,0,1
Neko ko Vas navodi da poverujete u nešto što nije tačno.,1,0
svako ko veruje da nije u stanju da promeni svoju sudbinu,1,0
"osobina varijabilnosti, izmenljivosti ili nestajanja u vremenu",0,1
