X,Predicted,Real
Nestašno ponašanje sa namerom da pobudi seksualno zanimanje.,0,1
osoba čija je svetost izuzetna,1,0
koji nije veseo niti izaziva veselje,1,0
Visoka vrednost nečega.,0,1
koji može ponovo da se koristi,0,1
Proizvesti smeh.,0,1
Priroda ili svojstvo onoga ko je emocionalan.,0,1
kvalitet onoga što ima veliku cenu,0,1
(za naglašavanje značenja) izuzetno dobro,0,1
odsustvo moralnih ili duhovnih vrednosti,1,0
onaj koji voli i brani svoju zemlju,1,0
učiniti nešto pravim i ispravnim,1,0
Biti veoma primetan.,0,1
Osobina onog ko je široko prihvaćen i čije se društvo traži.,0,1
koji nema osećanja sažaljenja i topline,1,0
biti zaljubljen ili u ljubavi s nekim,0,1
Nagon za polnom prisnošću.,0,1
Postati stabilan ili stabilniji.,0,1
sklonost obavljanju dobrovoljnih ili dobrotvornih poslova,0,1
general najvišeg ranga,1,0
sposoban za korektno i validno rezonovanje,0,1
Gledati nekoga sa divljenjem.,0,1
Ne osecati se dobro ili udobno.,1,0
