X,Predicted,Real
Prošireno značenje; posebno se odnosi na psihološku hladnoću; bez ljudske topline i emocija.,0,1
Započeti ili voditi rat.,1,0
strah od nepoznatog ili od donošenja odluka,1,0
"Izazvati ljutnju, bes.",1,0
koji je umoran od sveta i života,1,0
lišiti nekoga nečega zahvaljujući obmani,1,0
neučestvovanje u sporu ili ratu,1,0
Uzeti kao neželjenu posledicu nekog događaja ili stanja stvari.,1,0
Čin prljanja nečega.,0,1
osoba ili firma koja zapošljava radnike,0,1
Koji sledi prihvaćene običaje i pristojnost.,0,1
(poetski) muka,0,1
koji ne pripada snagama sopstvene zemlje ili snagama saveznika,0,1
koji lako žali i sažaljeva,1,0
Nesposobnost delovanja s razboritosćću koje bi ispoljila razumna osoba pod istim uslovima.,1,0
propadati ili se raspadati,1,0
Podvrgnuti nedobronamernom smehu.,1,0
Učiniti nestabilnim.,1,0
"Odbijanje vere, da se veruje u nešto.",1,0
smanjenje vrednosti stvari usled činjenja ili nečinjenja,1,0
Odbiti kao nevažno.,1,0
(pravo) propuštanje izvršavanja obaveza,1,0
Oružani sukob protiv neprijatelja.,0,1
sadrži nedovoljno materijala ili nema dovoljno značaja,1,0
Ukloniti posvećenost sa osobe ili objekta.,1,0
svako ko veruje da nije u stanju da promeni svoju sudbinu,1,0
osoba koja ne prihvata nove ideje,0,1
"koji nije ničim ispunjen, čija je unutrašnjost prazna",1,0
ozloglašenost zbog neke posebne karakteristike,1,0
držanje do moralnih principa,0,1
osećanje velikog (obićno preteranog) ushićenja,1,0
Sumnjati ili izražavati sumnjičave spekulacije.,1,0
iznenadni masovni strah i nespokojstvo zbog očekivanih događaja,1,0
Onesposobiti kretanje nekom tako što se smesti unutar nekih granica.,0,1
"(krivično pravo) pravnosnažna,osuđujuća presuda u krivičnom postupku sa dosuđenom kaznom",0,1
Postati ukočen ili krut.,1,0
Koji nije sklon promenama.,1,0
svojstvo onoga kome nedostaje živost,0,1
stanje odsustva svakog zvuka,1,0
koji oseća ili ispoljava veliko uzbuđenje ili zainteresovanost,1,0
Čin oštećivanja nečega ili nekoga.,1,0
Usmrtiti u velikom broju.,1,0
Čin konstruisanja nečega (kao masšinskog dela).,0,1
Zgrada u kojoj se vrši likvidacija životinja radi proizvodnje mesa,0,1
Čin konstruisanja ili građenja nečega.,0,1
sistematsko uništavanje kakve rasne ili kulturne grupe,1,0
iznošenje laži pomoću nejasnog ili dvosmislenog jezika,1,0
Nedostatak darežljivosti; nesklonost da se da novac.,1,0
Napraviti nešto kombinujući materijale ili delove.,0,1
poduhvat koji se preduzima bez obzira na mogući gubitak ili povredu,0,1
Simbol sramote i nečasti.,1,0
Čin okončanja nečijeg zaposlenja.,0,1
povući se,0,1
uzrokovati probadanje,0,1
Onaj koji nije običan; nije konevencionalan ili konformist.,1,0
zlonamerno zadovoljstvo,0,1
odbiti s gnušanjem,0,1
Dobiti neku bolest.,1,0
Nešto što nekoga zadržava.,0,1
Koji je pred erupcijom ili izbacuje lavu (o vulkanima),1,0
Zločin manje ozbiljan od teškog.,1,0
nadmoćno osećanje straha i zebnje,1,0
nepravedan čin,1,0
Neko ko Vas navodi da poverujete u nešto što nije tačno.,1,0
Koji ima neravnomernu boju.,1,0
proglasiti krivim (utvrditi krivicu),1,0
