,ID,Lemme,Definicija,POS,NEG
0,ENG30-03574555-n,ustanova,zgrada u koji se nalaziti organizacioni jedinica neki grana javan poslovanje ,2.7990968e-06,1.5346868e-06
1,ENG30-07810907-n,začin,pripremljen dodatak jela za poboljšanje ukus ,0.000715493,0.000251868
2,ENG30-00721431-n,mesto,"u nečiji prilika , mogućnost ",0.005964039,0.025354896
3,ENG30-00473799-v,"obnoviti,doterati,uglancati,uljuditi",ostati jesam još samo da se doterati neki finesa u igra plaviti . ,0.0013426357,0.0017726868
4,ENG30-00903385-v,oprostiti,zapad on jesam oprostiti što se nekada računati u Slobin prijatelj . ,0.0003528188,0.00094449037
5,ENG30-00900961-v,oprostiti se,""" i najposle se oprostiti : on sklapanje ruka , ja poklon . "" ",0.00015831423,0.0019991926
6,ENG30-01987160-v,postaviti,Čeličnu grdosija težak ukupno @card@ ton postaviti jesam na stub i namontirali neimar Mostogradnje . ,8.963774e-05,1.1674168e-05
7,ENG30-01348174-v,"zaključati,zabraviti",sputati pomoću brava ,0.086545825,0.038268473
8,ENG30-01376245-v,"rasuti,raštrkati,posuti,rasejati,rasturiti",razmestiti na raštrkan način . ,0.015400743,0.025094828
9,ENG30-01382083-v,"brati,sakupljati",Tražiti i sakupljati . ,0.11744655,0.057563834
10,ENG30-01387022-v,"oturpijati,isturpijati,strugati",uglačati turpija ,0.1678544,0.24104819
11,ENG30-01393996-v,pomesti,Očistiti metenje . ,0.20897222,0.17690311
12,ENG30-01421622-v,"ubaciti,umetnuti,staviti",staviti ili ubaciti u nešto . ,0.009251563,0.01592374
13,ENG30-01431987-v,"golicati,škakljati,dražiti",lagano dodirivati ili maziti . ,0.1318325,0.142578
14,ENG30-01437254-v,"odaslati,izaslati,izdati","uzrokovati ili narediti da se preneti , usmeriti ili odaslati na drugi mesto . ",0.000119387645,0.0004929538
15,ENG30-01441100-v,probušiti,napraviti rupa u nešto . ,0.0050755637,0.0025022472
16,ENG30-01445932-v,"ujesti,ugristi","uhvatiti , odgristi ili otrgnuti pomoću zub ili kao zub . ",0.0012962245,0.00065583247
17,ENG30-01446901-v,"mahnuti,mahati,vitalati",pomerati ili ljuljati napred-nazad . ,0.047291324,0.10133235
18,ENG30-01371756-v,"šutnuti,voditi","terati , voditi noga , u sport kao što jesam futbal . ",0.00024277304,0.000133095
19,ENG30-01370561-v,šutnuti,udariti noga ,0.13454266,0.07659223
20,ENG30-01391280-v,"uvaljati,razviti",poravnati ili raširiti valjak . ,0.14536609,0.13819438
21,ENG30-01435380-v,"preneti,sprovesti",poslati od jedan osoba ili mesto na drugi . ,4.7586138e-05,3.4247823e-05
22,ENG30-01456771-v,"štipati,štipnuti,stisnuti",Čvrsto stisnuti među prst . ,0.028721116,0.029503688
23,ENG30-01461328-v,"smešati,pomešati",Smešati u jedan celina . ,0.0020744768,0.001963762
24,ENG30-01487311-v,"opteretiti,otežati,natovariti",natovariti teret . ,0.14727154,0.16602959
25,ENG30-01488956-v,utovariti,napuniti ili natovariti do kraj . ,0.008443339,0.02842332
26,ENG30-01489989-v,"nakrcati,natovariti",napuniti ili natovariti . ,0.13820414,0.12912269
27,ENG30-01493619-v,"smestiti se,zavaliti se",Čvrsto ili sigurno se smestiti . ,0.01580289,0.021187149
28,ENG30-01528069-v,"smestiti,zabiti,zariti",zabiti ili silom uterati . ,0.059809417,0.18374665
29,ENG30-01536168-v,"proprati,isplaknuti",ispratiti sapun ili preostali prljavština . ,0.14137357,0.22175343
30,ENG30-01566705-v,"smrskati,skršiti",Uništiti ili oštetiti na nasilan način . ,0.0034613176,0.19057627
31,ENG30-01573515-v,"prekinuti se,preseći se,puknuti,rasparati",razdvojiti ili učiniti da se nešto naglo razdvojiti . ,0.0073109497,0.003974815
32,ENG30-01631534-v,"zamisliti,stvoriti umom","stvoriti mentalno i apstraktan , a ne ručno . ",0.004821554,0.04490802
33,ENG30-01634142-v,"smisliti,isplanirati,zasnovati",zamisliti neki ideja . ,0.09211695,0.16719793
34,ENG30-01691057-v,"crtati,pisati",ostavljati ili crtati po površina . ,0.01134548,0.024277374
35,ENG30-01723690-v,"oličavati,oličiti",poprimiti ili glumiti nečiji karakter . ,0.007853633,0.052002348
36,ENG30-01747374-v,prepisati,pisati nešto ponovo kako jesam . ,0.031968165,0.005261707
37,ENG30-01797051-v,"oplakati,tugovati,jadikovati,ožaliti",Osećati tuga . ,0.12745816,0.43290797
38,ENG30-01824532-v,želeti dobro,Osećati ili izražavati želja ili nada za nečiji budućnost . ,0.006932752,0.08485605
39,ENG30-01828405-v,"čeznuti,priželjkivati,žudeti",jako ili neprekidno želeti . ,0.12087905,0.18651988
40,ENG30-01866610-v,"vrteti se,kotrljati se,valjati se",vrteti se ili uzrokovati da se nešto vrtiti . ,0.0065906267,0.017110867
41,ENG30-01868370-v,"migoljiti se,uvrtati se,savijati se",micati se uvijen ili grčevit pokret ( posebno u borba ) . ,8.117937e-05,0.00029727415
42,ENG30-01876530-v,ići tamo-amo,"kretati se u jedan smer , a zatim u suprotan . ",1.4602809e-05,4.93035e-06
43,ENG30-01888946-v,"drhtati,potresti se,treperiti,protresti se",tresti se grčevito ,0.09906809,0.12685263
44,ENG30-01902405-v,"odjuriti,strugnuti,kidnuti,odmagliti",kretati se žurno . ,0.07731989,0.03198704
45,ENG30-01902783-v,"plutati,lelujati se",biti u pokret zbog neki strujiti vazduh ili voditi . ,5.0454408e-05,0.000616136
46,ENG30-01909397-v,"prevrnuti se,iskrenuti se",okrenuti se iz uspravan ili normalan položaj . ,0.00017007852,0.0011915189
47,ENG30-01911888-v,"ušunjati se,privući se,prikrasti se",Prić kradom ili krišom . ,0.19538444,0.2826614
48,ENG30-01916634-v,"šepiriti se,šepuriti se,kerebečiti se,prsiti se,razmetati se","hodati gordo , često pokušavati da se impresionirati drugi . ",0.001036834,0.0019342592
49,ENG30-01920932-v,dugo pešačiti,"Ići na dug pešačenje , iz zadovoljstvo ili telesni vežba . ",6.9360496e-05,0.00037966634
50,ENG30-01938426-v,"skijati se,smučati se",kretati se na skija . ,0.012176648,0.0034931141
51,ENG30-01960911-v,plivati,putovati kroz voda . ,0.01975343,0.00829337
52,ENG30-01977701-v,ispustiti,pustiti nešto da pasti na zemlja . ,0.0018743271,0.0019753398
53,ENG30-01983771-v,promeniti položaj,pretrpeti promena u položaj telo . ,0.0012091971,0.0018112028
54,ENG30-01993926-v,"primaknuti,prineti,približiti",Učiniti da nešto biti pomaknuti prema napred . ,0.07933912,0.007583841
55,ENG30-02038357-v,"nagnuti se,nagibati se,iskositi se,ukositi se",nagnuti se ili saviti iz uspravan položaj . ,0.00010984578,0.00038404757
56,ENG30-02058448-v,"vrpoljiti se,meškoljiti se,vrteti se",micati se neprestano . ,0.06376459,0.05309452
57,ENG30-02123672-v,mirisati,Ispuštati miris . ,0.13027574,0.16001695
58,ENG30-02125223-v,"namirisati,nanjušiti",osetiti nečiji miris . ,0.028434627,0.15104079
59,ENG30-01887576-v,"kliziti,klizati",kretati se gladak i bez muka . ,0.0050662393,0.0034586666
60,ENG30-01886488-v,"puzati,gmizati,puziti",prolaziti ili se kretati nenametljiv ili gladak . ,0.0118732015,0.004286813
61,ENG30-01587062-v,"opkoliti,obuhvatiti",potpuno okružiti . ,0.21149853,0.11335729
62,ENG30-01467370-v,"okružiti,omeđivati,graničiti se",protezati se istovremeno na sav strana . ,0.00014685634,0.0009731739
63,ENG30-01976841-v,"pasti,padati",padati okomito . ,0.2013834,0.2080727
64,ENG30-02157731-v,"zatamniti,zamagliti,pomračiti",Učiniti manje vidljiv ili nejasan . ,0.015728239,0.07898472
65,ENG30-02158587-v,"prerušiti,maskirati",Učiniti neprepoznatljiv . ,0.21006413,0.16115218
66,ENG30-01334535-v,"prikriti,zaogrnuti,zamaskirati",sakriti pod lažan pojava . ,0.018619759,0.027920946
67,ENG30-02163746-v,"ugledati,spaziti,videti","Ugladati , opaziti oči . ",0.12240161,0.08306834
68,ENG30-02165543-v,proučiti,Pažljivo ispitati . ,0.16993019,0.13061836
69,ENG30-02186506-v,"zvečati,zveketati,zveckati",proizvoditi ili emitovati prodoran zveketav zvuk . ,0.0076459995,0.01651333
70,ENG30-02188587-v,"presti,zujati,zvrjati,fijukati,zviždati","proizvoditi taj šuštav zvuk , kao kad motor raditi ili krilo lepršaj . ",4.878593e-05,0.00013433836
71,ENG30-02212825-v,"odbiti,uskratiti,odreći",ne dati neki šta on pripadati . ,0.0015214463,0.0071021183
72,ENG30-02259005-v,trampiti se,zameniti ili dati nešto u zamena . ,0.0045252596,0.0014800038
73,ENG30-02290461-v,"koristiti se,izvući korist,okoristiti se",Steći korist . ,0.16193189,0.18341388
74,ENG30-02293321-v,sprovesti,predati neki ili nešto drugi . ,0.06539993,0.105885625
75,ENG30-02324026-v,"pozajmiti,posuditi",dobiti privremeno . ,0.14632806,0.14327893
76,ENG30-02345647-v,"uzajmiti,pustiti,imati viška",pozajmiti nešto što jesam strogo potrebno . ,0.08697289,0.14607361
77,ENG30-02349212-v,"poveriti,predati,dati",ukazati poverenje koji . ,0.15017359,0.23465832
78,ENG30-02378623-v,"reagirati,reagovati,opirati se,opreti se,kontrirati,oponirati,suprotstaviti se",delovati protiv nešto . ,0.050722785,0.14297593
79,ENG30-02384940-v,"ugostiti,pogostiti",pozvati kao gost . ,0.04057887,0.06470371
80,ENG30-02437707-v,"paziti,brinuti se,voditi računa",biti zadužiti za nešto ili imati poslati sa nešto . ,0.00072084344,0.00068645185
81,ENG30-02485844-v,"sastati se,videti se",Ići sa neki na sastanak . ,0.000844455,0.0012923914
82,ENG30-02506546-v,"obavezati,primorati",prisiliti ili obavezati neki da uraditi nešto . ,0.1337975,0.041651677
83,ENG30-02570267-v,"razmaziti,raznežiti,povlađivati,kvariti",Ponašati se prema neki sa preteran popustljivost . ,0.0035389487,0.018213056
84,ENG30-01752884-v,"omogućiti,rezultirati",Učiniti moguć . ,0.15549402,0.20874938
85,ENG30-02641035-v,"oklevati,zastati",privremeno prekinuti aktivnost pre nego što se nastaviti . ,0.0012508451,0.0006304683
86,ENG30-02652494-v,"boraviti,stanovati,biti stanar",biti stanar ; privremeno boraviti . ,0.07282211,0.06045457
87,ENG30-02656390-v,"skloniti,zbrinuti,zaštiti",obezbediti sklonište . ,0.17650223,0.10429343
88,ENG30-02664575-v,"biti podloga,temeljiti se",biti ili činiti osnova . ,0.06554784,0.13356823
89,ENG30-02700104-v,"složiti se,pristajati","biti u sklad , harmonija . ",0.025734674,0.04442089
90,ENG30-02705535-v,"biti svojstven,biti urođen,biti sadržan",biti deo . ,0.068593875,0.07546459
91,ENG30-02758033-v,"pljuštati,liti,liti kao iz kabla",obilno kišiti . ,0.24319533,0.20038375
92,ENG30-02733524-n,luk,Građevinska konstrukcija ( obično zakriviti ) koji služiti da premostiti otvor ( arhitektura ) . ,0.00011364855,0.00025682437
93,ENG30-03462594-n,podloga,Površina ( kao zid ili platno ) pripremiti da primiti boja za slika ( umetnost ) . ,1.24994585e-05,8.1993985e-06
94,ENG30-08592165-n,prednost,Položaj koji trkač sa baza zauzimati kada se pripremati da napredovati ka sledeći baza ( bejzbol ) . ,1.4307751e-05,6.2311046e-05
95,ENG30-07293678-n,pobeda na poene,Pobeda dobiti na poen kada nem nokaut ( boks ) . ,0.0003291237,0.004222275
96,ENG30-05034473-n,valencija,karakteristika atom ili radikal ; njihov združiti moć dati u kategorija brojati atom vodonik ( ili ekvivalent ) ( hemija ) . ,0.00016827504,2.868636e-05
97,ENG30-07977592-n,"biblioteka,programska biblioteka,biblioteka programa",zbirka standardan program i podrutina koji se pohranjivati i stavljati na raspolaganje za trenutan upotreba ( informatika ) . ,3.708012e-05,2.815999e-05
98,ENG30-13562862-n,ekološko nasleđivanje,postepen i sređen proces promena u ekosistem koji jesam izazvati progresivno zamenjivanje jedan zajednica drugi dok se ne uspostaviti stabilan vrhunac ( ekologija ) . ,1.7932794e-05,7.16144e-05
99,ENG30-13451804-n,"korišćenje,iskorišćenje","upotreba privredni dobro da biti se zadovoljiti potreba , ili u proizvodni svrha ( ekonomija ) . ",0.00048216962,0.0012493958
100,ENG30-07420991-n,impuls,Oštar prolazan talas u normalan električni stanje ( ili niz takav prolazan ) ( elektronika ) . ,9.113008e-05,0.00018735269
101,ENG30-13597794-n,osnova,u pozicioni brojni sistema pozitivan ceo broj koji jesam ekvivalentan jedinica na sledeći višem redni mesto ( matematika ) . ,4.8843267e-06,2.3646007e-06
102,ENG30-05057061-n,odredište,Položaj na koji se po dužnost raspoređivati brod ili flota ( mornarica ) . ,8.902362e-05,0.00022944884
103,ENG30-01455732-a,"piskav,tanak,tanušan","za zvuk , posebno glas . ",0.0071842577,0.0243656
104,ENG30-07345593-n,"talas,vibracija",progresivan ometanje koji se prenositi bez pomeranje sam sredstvo ( fizika ) . ,7.3229305e-05,0.00027961537
105,ENG30-01221254-n,ponašanje,skup odgovor ili reakcija ili pokret koji prav organizam u biti kakav situacija ( psihologija ) . ,1.4678924e-05,0.00010578512
