Sysnet,POS,Predicted
"b'koji imati potreban sposobnost , ve\xc5\xa1tina ili znanje da ne\xc5\xa1to uraditi . '",1,0
b'Omota\xc4\x8d koji trebati da za\xc5\xa1tititi ne\xc5\xa1to od o\xc5\xa1te\xc4\x87ivanje ili povreda . ',1,0
b'ne pridr\xc5\xbeavanje moralan princip . ',0,1
b'koji odra\xc5\xbeavati sumornost i smrknutost ',0,1
b'sjediniti ili spojiti ',0,1
b'osoba koji vladati ili koamnduje . ',0,1
b'proceniti da jesam ne\xc5\xa1to dobro ; misliti pozitivno o ne\xc5\xa1to . ',1,0
b'pridat zna\xc4\x8denje ne\xc5\xa1to . ',0,1
b'izgled koji predo\xc4\x8davati lice osoba . ',0,1
b'odrediti vrednost ne\xc5\xa1to . ',0,1
b'istrajati ili uspevati . ',0,1
"b'osobina onaj koji ne odustajati od svoj ideja , ose\xc4\x87anje ili namera '",1,0
b'podvrgnuti nedobronamernom smeh . ',0,1
b'postati stabilan ili stabilan . ',1,0
b'koji proizvoditi ili jesam sposoban da proizvesti nameravan rezultat ili koji proizvoditi izuzetan efekt . ',1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
b'naneti neki nepravda ',0,1
b'osoba koji prosu\xc4\x91ivati ',0,1
b'Oosba koji poku\xc5\xa1avati da se dopasti ili da zabaviti . ',1,0
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',0,1
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",0,1
b'sposobnost postojanje ili delovanje u harmoni\xc4\x8dan ili uskla\xc4\x91en kombijaciji ',1,0
b'osoba ili firma koji zapo\xc5\xa1ljavati radnik ',0,1
b'anga\xc5\xbeovati ili unajmiti za neki posao ',1,0
b'osobina ljudi da verovati u po\xc5\xa1tenje i pouzdanost drugi ',1,0
b'u\xc4\x8diniti \xc4\x8dist ili slobodan od greh ili krivica ',1,0
b'osnovni ose\xc4\x87anje koji se te\xc5\xa1ko definisati ali koji ljudi \xc5\xbeele da osetiti . ',1,0
b'koristiti apostrof ',0,1
b'prizvati \xc5\xa1ta ',0,1
b'potpun kompleks stav i ube\xc4\x91enje . ',0,1
b'\xc4\x8cin ukra\xc5\xa1avanje ne\xc5\xa1to ( u nada da hteti od taj privla\xc4\x8dan izgledati ) . ',0,1
b'osobina prefinjen ugla\xc4\x91enost i dobar ukus ',1,0
b'koji mo\xc4\x87i da se desiti ili da postojati . ',1,0
b'priznati svoj vera u \xc5\xa1ta ili privr\xc5\xbeenost \xc5\xa1ta ',0,1
b'Ose\xc4\x87anja pro\xc5\xbeiveti kada jesam neki u zadovoljan stanje . ',1,0
b'\xc4\x8cin proveravanje ili potvr\xc4\x91ivanje . ',0,1
b'onaj koji posedovati moralan kvalitet ; ',1,0
b'imati o ne\xc5\xa1to neki mi\xc5\xa1ljenje . ',0,1
b'U\xc4\x8diniti da opet biti sve\xc5\xbe . ',0,1
b'biti \xc5\xa1ta sa \xc5\xa1ta se \xc5\xa1ta mo\xc4\x87i objesiti ',0,1
b'Ne\xc5\xa1to \xc5\xa1to sakrivati stvar ili ometati vidik . ',0,1
b'pona\xc5\xa1anje koji jesam u sklad sa prihva\xc4\x87en standard ',0,1
b'koji izra\xc5\xbeavati posedovanje ',0,1
"b'presuda ( odluka ) da optu\xc5\xbeiti jesam kriv , odluka o nepostojanje krivica , o osloba\xc4\x91anje od krivica '",1,0
b'Ose\xc4\x87anje zabrinutost . ',0,1
b'pojam ne\xc5\xa1to \xc5\xa1to jesam savr\xc5\xa1eno ; ne\xc5\xa1to do \xc5\xa1ta se neki nada da hteti stignuti . ',0,1
"b'odrediti mera neki ili ne\xc5\xa1to , uzeti mera '",0,1
b'obrub koji se koristiti za ukra\xc5\xa1avanje ode\xc4\x87a ili zavesa ',0,1
b'bez nada ili skoro bez nada ',0,1
b'ozbiljan i svestan aktivnost s cilj da se ne\xc5\xa1to postignuti . ',0,1
b'preterano velik ',0,1
b'koji se ti\xc4\x8d princip dobra i zlo ; koji se uklapati u standard pona\xc5\xa1anje i karakter koji jesam zasnovati na ovaj princip . ',1,0
b'bez prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a ; onaj koji imati navika da biti \xc4\x8dist ',1,0
b'koji ne\xc5\xa1to potvr\xc4\x91ivati ',1,0
b'biti koji od velik krilni ili repni pero ptica ',0,1
b'podizati nivo ili koli\xc4\x8dina ne\xc5\xa1to . ',0,1
b'koji imati vvi\xc5\xa1e izvod ',0,1
b'preneti ili izraziti zna\xc4\x8denje ',0,1
b'okarakterisan neprijateljstvo ili zlovolja ',0,1
b'stanje kada jesam neki prosperitetan i uspe\xc5\xa1an . ',1,0
b'dati izraz ne\xc5\xa1to . ',0,1
b'U\xc4\x8diniti da ne\xc5\xa1to biti pomaknuti prema napred . ',1,0
b'spojiti ili vezati . ',0,1
b'o \xc5\xa1ta propis ukinuti ',0,1
b'manjak uljudnost ; nepokazivanje po\xc5\xa1tovanje prema drugi ; povre\xc4\x91ivanje ose\xc4\x87anje drugi . ',0,1
b'rad koji se obavljati sa drugi radi zajedni\xc4\x8dki ciljati ili koristiti ',1,0
"b'onaj koji se ne mo\xc4\x87i ukazati poverenje , u koji se ne mo\xc4\x87i pouzdati '",0,1
b'radnik koji jesam najamiti da obaviti posati . ',1,0
b'proizvesti smeh . ',1,0
b'stanje biti zaposliti ili imati posati . ',1,0
