X,Predicted,Real
deveti mesec Francuskog revolucionarnog kalendara (maj i juni); mesec dolina,1,0
gornji sloj profila tla; obično sadrži humus,1,0
bučni nemir,1,0
glavni i najveći grad Papue Nove Gvineje,1,0
držanje do moralnih principa,1,0
niz planina,1,0
Najgvirc,1,0
Saosećanje sa nekim ili nečim.,0,1
NP,1,0
"šesti od sedam kanonskih časova molitve, pada predveče, danas je to javna služba nedeljom",1,0
samohodno vozilo koje se kreće po šinama,1,0
kratak deo (recimo između radijskog ili televizijskog programa) koji se često koristi za reklamiranje,1,0
iznositi tužbu pred sudom,1,0
"slatko, uglavnom tamno ljubičasto voće slično kupini, nalik na dudove roda Morus",1,0
drugo slovo grčkog alfabeta,1,0
"kontinentalna zemlja u centralnoj Africi, na severoistočnoj oblai jezera Tanjganjika",1,0
čadski jezik kojim se govori u severnoj Nigeriji,1,0
listovi bilo koje biljke iz porodice Lactuca sativa,1,0
Veliko bogatstvo.,0,1
šppagete sa ćuftama u sosu od paradajza,1,0
organsko jedinjenje koje sadrži samo ugljenik i vodonik,1,0
podupirač koji se postavlja između pokretnih delova da bi im omogućilo lakše kretanje,1,0
uređaj nalik na praćku koji se koristi u raznim primitivnim društvima za izbacivanje strelica ili kopalja,1,0
"naziv cifre 6, znak koji obeležava broj šest",1,0
sistemsko kombinovanje korena i nastavaka u pojedinačne reči,1,0
"kvalitet da čovek ne stavlja sebe prvo, već da je spreman da svoje vreme, novac ili trud posveti drugima",0,1
novčana jedinica Austrije,1,0
kukuruzar,1,0
membrana u uvetu koja vibrira na zvuke,1,0
uređenost podataka koja se satsoji od skupova i podskupova u kome je svaki podskup skupa nna nižem nivou,1,0
Biti prihvatljiv ili pristao.,0,1
prikačiti morfemu na matičnu reč,1,0
ostrvska država u jugoistočnom Karipskom moru,1,0
koji donosi spasenje ili iskupljenje od greha,0,1
kome stranu držati; uz koga stati; za koga snažnu podršku izraziti,1,0
Čin rođenja deteta,1,0
pokrenuti se brzo ili iznenadno,1,0
Proceniti vrednost nečega.,0,1
Čin kojim se sloboda neke osobe ograniči tako što se ona zatoči,1,0
postaviti blokade,1,0
tanak papir koji je s jedne strane prevučen tamnom voskastom supstancom koje često sadrći indigo; koristi se za štampanje više kopija istog teksta,1,0
javna plesna dvorana gde se pleše uz snimljenu muziku,1,0
ćelija iz koje se razvija vezivno tkivo,1,0
ručno pridržavani složivi proizvođač senke,1,0
proučavanje upotrebe jezika,1,0
pomiloovati obično grupu ljudi,1,0
(čin) terapije lekovima,1,0
osnovna novčana jedinica Libana,1,0
duga traka od tkanine koja se koristi kao ukras ili za oglašavanje,1,0
nešto što ima vrednost,1,0
rezonovanje koje pokazuje kako zaključak logički sledi prihvaćenih premisa,1,0
suspenzija radijskog ili TV prenosa,1,0
mleveno meso oblikovano u loptu i prženo ili kuvano u čorbi,1,0
French mathematician and philosopher and Jansenist; invented an adding machine; contributed (with Fermat) to the theory of probability (1623-1662),1,0
preći ili pokriti hodanjem,1,0
učestvovati u pravnim procesima,1,0
odbacivanje činom zabrane,1,0
napraviti naročiti popis nečega u određenoj formi,1,0
"čvrsto prijanjajuće pantalone koje pokrivaju telo od struka do stopala i koje nose akrobate i plesači i. kao čarape, žene i devojke",1,0
latinski od vremena renesanse; jezik je naučne terminologije,1,0
raditi ili funkcionisati,1,0
jezik filipinskog naroda Sebu; deo njegovog leksikona je ušao u leksikon zvaničnog jezika Filipina,1,0
oružje koje se koristi u biološkom ratu,1,0
"odbojno, vrlo neprijateljsko ponašanje",1,0
škrtost koja proizilazi iz brige za sopstvenu dobrobit i nepoštovanje drugih,1,0
prozračni optički uređaj koji se koristi da sakuplja ili rasejava svetlo i formira slike,1,0
"povezan zajedno, posebno u parovima",1,0
tekst koji je dodat u publikaciji; obično na njenom kraju,1,0
stanovnik Holandije ili poreklom iz Holandije,1,0
stanovnik Kube ili poreklom sa nje,1,0
odsustvo osećanja,1,0
prenositi ili otkrivati informacije,1,0
nešto što izaziva osećanje čuđenja,0,1
žena glumac,1,0
nešto što spaja ili povezuje,1,0
general najvišeg ranga,1,0
osnovna novčana jedinica Vijetnama,1,0
novčana jedinica Vijetnama,1,0
ševe,1,0
prirodna depresija na površini zemlje često ispunjena jezerom,1,0
publikacija koja čini deo niza ili serije,1,0
"glavni i najveći grad moderne države Izrael; sveti grad Jevreja, Hrišćana i Muslimana; bio je prestonica starog carstva",1,0
popustljivost i saosećanje koje prema počiniocima kakvog krivičnog dela pokazuju lica ili agencije zadužene za sprovođenje pravde,1,0
pojačati ili smanjiti intenzitet,1,0
biljka nalik travi koja raste u vlažnim predelima sa cilindričnom šupljom stabljikom,1,0
Osećanje samopoštovanja i lične vrednosti.,0,1
puter napravljen od mleka jaka,1,0
novčana jedinica Čilea,1,0
