X,Predicted,Real
koji oseća ili izaziva radost,1,0
Gledati sa čuđenjem; gledati glupavo.,1,0
Zločin manje ozbiljan od teškog.,1,0
Slaba sposobnost da se razume iskustvo ili profitira iz njega.,0,1
svojstvo onoga kome nedostaje živost,0,1
odbaciti (dokument) kao nevažeci,0,1
koji lako žali i sažaljeva,1,0
Staviti na kocku u nadi za povoljnim ishodom.,0,1
mržnja usmerena prema promenama ili prema svemu što je novo,1,0
Neko nižeg ranga ili položaja ili kvaliteta.,0,1
Patiti od nečega; bolovati od nečega.,0,1
Odbiti kao nevažno.,1,0
Koji nije spojen ili vezan.,0,1
Zgrada u kojoj se vrši likvidacija životinja radi proizvodnje mesa,0,1
Ispuštati vonj.,0,1
"smear with blood, as in a hunting initiation rite, where the face of a person is smeared with the blood of the kill",0,1
Podvrgnuti nedobronamernom smehu.,1,0
not standard; not accepted as a model of excellence,0,1
Pomoć u nevolji.,1,0
Koji nije sklon promenama.,1,0
Čičkovac.,0,1
Biti podvrgnut (emocionalnom bolu).,0,1
strah od nepoznatog ili od donošenja odluka,1,0
Ne biti podložan nečemu.,0,1
nešto ne funkcioniše kako treba,1,0
Učiniti nestabilnim.,1,0
Pokušaj da se za sebe dobije lično priznanje (posebno neprihvatljivim sredstvima).,0,1
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",1,0
Trošiti neoprezno i lakomisleno.,1,0
Stanje ili uslov u kome je neko nevin za određen zločin ili uvredu.,1,0
nanošenje telesnih povreda licu koje je osuđeno za izvršen zločin,0,1
škrtost koja proizilazi iz brige za sopstvenu dobrobit i nepoštovanje drugih,0,1
Nezakonito ubijanje s predumišljajem jednog čoveka od strane drugog.,0,1
"Odgovor telesnog tkiva na povredu ili nadržaj; karakteriše ga bol, otok, crvenilo i pečenje.",0,1
ubijanje životinja (za hranu),0,1
Koji trpi atrofiju,1,0
Oružani sukob protiv neprijatelja.,0,1
Načiniti nekoga besnim.,1,0
"nešto što nije sigurno, što je pod sumnjom",1,0
Biti podvrgnut nečem neprijatnom.,1,0
Koji nema neke izrazite kvalitete ili karakteristike.,1,0
čin namernog odstupanja od istine,0,1
nešto što izaziva osećanje čuđenja,1,0
podsticati nekog da počini zločin ili neko krivično delo,0,1
"brutalan, varvarski i divljački čin",1,0
Započeti ili voditi rat.,0,1
gajiti osećanja dubokog poštovanja i straha pred autoritetom.,1,0
stanje zatočenosti (obično za kratko vreme),1,0
Koji je moralno lož ili pogrešan.,0,1
koji zaslužuje najviše poštovanje i divljenje,1,0
Stanje krajnje sramote.,1,0
"Opovrgnuti argumentima, dokazom ili činjenicama.",1,0
