X,Predicted,Real
Nestašno ponašanje sa namerom da pobudi seksualno zanimanje.,0,1
osoba čija je svetost izuzetna,1,0
koji nije veseo niti izaziva veselje,1,0
Kvalitet nečega što nije adekvatno ili perfektno.,1,0
koji može ponovo da se koristi,0,1
"Koji ima ili ukazuje na dobro zdravlje tela ili duha, kod koga nema upale ili bolesti.",0,1
stanje bez oštećenja ili propadanja,0,1
Proizvesti smeh.,0,1
Priroda ili svojstvo onoga ko je emocionalan.,0,1
izuzetno nelagodan,1,0
odsustvo moralnih ili duhovnih vrednosti,1,0
učiniti nešto pravim i ispravnim,1,0
Biti veoma primetan.,0,1
izuzetno uvredljiv za moral; koji izaziva užas,1,0
koji nema osećanja sažaljenja i topline,1,0
koji je oslobođen stresa ili pogoduje mentalnoj opuštenosti; koji ima ili pruža duševni mir,0,1
biti zaljubljen ili u ljubavi s nekim,0,1
Voditi ili doprinositi uspehu.,1,0
Nagon za polnom prisnošću.,0,1
Postati stabilan ili stabilniji.,0,1
sklonost obavljanju dobrovoljnih ili dobrotvornih poslova,0,1
obožavanje čuda,1,0
koji zaslužuje sažaljenje ili podstiče na sažaljenje,1,0
prilika za posebna veselja da obeleži neki srećan događaj,1,0
Gledati nekoga sa divljenjem.,0,1
Koji nije u dobrom zdravlju tela ili duha.,1,0
izuzetno loš ili nezadovoljavajući,1,0
Ne osecati se dobro ili udobno.,1,0
