X,Predicted,Real
"koji imati potreban sposobnost , veština ili znanje da nešto uraditi . ",0,1
uhvatiti ; i metaforički . ,1,0
Omotač koji trebati da zaštititi nešto od oštećivanje ili povreda . ,0,1
ne pridržavanje moralan princip . ,1,0
sjediniti ili spojiti ,1,0
dodavanje informacija ili detalj ,1,0
proceniti da jesam nešto dobro ; misliti pozitivno o nešto . ,0,1
Oruđe koji se koristiti za obavljanje neki zanat . ,1,0
"osobina onaj koji ne odustajati od svoj ideja , osećanje ili namera ",0,1
podvrgnuti nedobronamernom smeh . ,1,0
postati stabilan ili stabilan . ,0,1
koji proizvoditi ili jesam sposoban da proizvesti nameravan rezultat ili koji proizvoditi izuzetan efekt . ,0,1
"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . ",0,1
na nizak nivo po rang ili značaj ,1,0
Oosba koji pokušavati da se dopasti ili da zabaviti . ,0,1
koji osećati nadolazeći opasnost ,1,0
"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . ",1,0
sposobnost postojanje ili delovanje u harmoničan ili usklađen kombijaciji ,0,1
Učiniti čistiti uklanjanje prljavština ili neželjen supstanca . ,0,1
stanje koji još ne odgovarati zrelost . ,1,0
visok vrednost nešto . ,0,1
"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . ",1,0
veseo i ozaren ,0,1
angažovati ili unajmiti za neki posao ,0,1
osobina ljudi da verovati u poštenje i pouzdanost drugi ,0,1
učiniti čist ili slobodan od greh ili krivica ,0,1
osnovni osećanje koji se teško definisati ali koji ljudi žele da osetiti . ,0,1
koji jesam u dobar zdravlje telo ili duh . ,1,0
Čin ukrašavanje nešto ( u nada da hteti od taj privlačan izgledati ) . ,1,0
osobina prefinjen uglađenost i dobar ukus ,0,1
koji moći da se desiti ili da postojati . ,0,1
Osećanja proživeti kada jesam neki u zadovoljan stanje . ,0,1
onaj koji posedovati moralan kvalitet ; ,0,1
imati o nešto neki mišljenje . ,1,0
"presuda ( odluka ) da optužiti jesam kriv , odluka o nepostojanje krivica , o oslobađanje od krivica ",0,1
nalaziti da jesam nešto zabavno ili prijatno . ,0,1
Osećanje zabrinutost . ,1,0
visoko mesto ,1,0
"odrediti mera neki ili nešto , uzeti mera ",1,0
osećati se veselo i biti ispuniti dobar raspoloženje ,0,1
kvalitet onaj što imati velik cena ,0,1
koji se tič princip dobra i zlo ; koji se uklapati u standard ponašanje i karakter koji jesam zasnovati na ovaj princip . ,0,1
bez prljavština ili nečistoća ; onaj koji imati navika da biti čist ,0,1
koji nešto potvrđivati ,0,1
preneti ili izraziti značenje ,1,0
koji činiti živahan i veseo ,0,1
stanje kada jesam neki prosperitetan i uspešan . ,0,1
zaštitni prekrivka biljka sklon truljenje koji se postavljati da biti se smanjiti isparavanje i erozija zemljište ,1,0
koristiti nešto zajedno ili sa neki drugi . ,1,0
Učiniti da nešto biti pomaknuti prema napred . ,0,1
spojiti ili vezati . ,1,0
upotrebiti moć ili uticaj ,1,0
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,0,1
"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati ",1,0
čin dodavanje anotacija ,1,0
radnik koji jesam najamiti da obaviti posati . ,0,1
proizvesti smeh . ,0,1
stanje biti zaposliti ili imati posati . ,0,1
Čin koji se postignuti neki cilj . ,1,0
osećanje zaplašenost ,1,0
propovedati jevanđelje ,1,0
"prijatan za oči ili duša , posebno jer jesam lep ili šarmantan . ",0,1
pružiti moralan ili emocionalan snaga ,0,1
spojiti sa ugalj ,1,0
zlonameran zadovoljstvo ,1,0
izuzetno dobar ; ovaj reč se koristiti za naglašavanje značenje drugi reč ,0,1
biti prihvatljiv ili pristati . ,0,1
osoba koji se brina o ljudi i njihov svojina . ,0,1
dati razlog za očekivanje . ,1,0
osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . ,0,1
moći se koristiti i u vremenski smisao ,0,1
biti neki prihvatljiv ili odgovarajući . ,0,1
Ličnost koji moći da proceniti vrednost ili kvalitet . ,0,1
osoba koji voliti ili jesam voljen ,0,1
koji jesam spojiti ili vezati . ,1,0
Čin procenjivanje ili prosuđivanje . ,0,1
Čin dodavanje spoljašnji ukras na nešto . ,1,0
ukazati znak ,1,0
Ublažavanje patnja ; pokazivanje velik dobrota prema izmučen . ,0,1
"ličan sloboda od ropstvo , zarobljeništvo i ugnjetavanje ",0,1
koji imati urođen sklonost prema dobrota ,0,1
"koji pokazivati ili jesam motivisan saosećanje , razumevanje i velikodušnost ",0,1
Pomoć u nevolja . ,0,1
koji nastajati iz želja da se doprineti blagostanje ili sreća drugi . ,0,1
profesor visok rang . ,0,1
sposoban za korektan i validan rezonovanje ,0,1
oporavak ili način čuvanje od gubitak ili opasnost . ,0,1
"imati želja , čežnja ili velik apetit za nešto . ",0,1
"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo ",0,1
biti u život . ,1,0
opšte prihvatiti i uvažiti ,0,1
ukloniti neželjen supstanca iz nešto . ,1,0
biti prihvatljiv ili odgovarajući . ,0,1
revnostan u posvećenost i privrženost ,0,1
"koji se žeti , tražiti ",0,1
bučan zabava ,1,0
osećanje velik utučenost i melanholija ,1,0
svaki odstupanje od zdrav ili normanog stanje ,1,0
držanje do moralan princip ,0,1
