X,Predicted,Real
izraziti zahvalnost ili pokazati poštovanje ,1,0
Nestašno ponašanje sa namera da pobuditi seksualan zanimanje . ,0,1
koji jesam veseo niti izazivati veselje ,1,0
visok vrednost nešto . ,0,1
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
koji moći ponovo da se koristiti ,0,1
stanje bez oštećenje ili propadanje ,0,1
proizvesti smeh . ,0,1
priroda ili svojstvo onaj ko jesam emocionalan . ,0,1
( za naglašavanje značenje ) izuzetno dobro ,0,1
izvršenje ugovor u sklad sa predviđen uslov ,1,0
odsustvo moralan ili duhovan vrednost ,1,0
onaj koji voliti i braniti svoj zemlja ,1,0
"koji ohrabrivati , odobravati ili zadovoljavati ",0,1
učiniti nešto prav i ispravan ,1,0
biti veoma primetati . ,0,1
prihvatati . ,1,0
osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . ,0,1
koji nemati osećanje sažaljenje i toplina ,1,0
ponašanje koji jesam u sklad sa prihvaćen standard ,1,0
koji jesam osloboditi stresati ili pogodovati mentalan opuštenost ; koji imati ili pružati duševan mir ,0,1
planirati pažljivo i razumno . ,1,0
biti zaljubiti ili u ljubav s neki ,0,1
"stanje u koji jesam neki bogat , imati obilno materijalan dobro i novac . ",1,0
voditi ili doprinositi uspeh . ,1,0
postati stabilan ili stabilan . ,0,1
sklonost obavljanje dobrovoljan ili dobrotvoran posao ,0,1
general visok rang ,1,0
koji jesam u dobar zdravlje telo ili duh . ,1,0
ne osecati se dobro ili udobno . ,1,0
