X,Predicted,Real
u rimski mitologija bog vatra i nakovanj ; u grčki mitologija on odgovarati Hefest ,1,0
"Izdužene riba koji imati karlični peraja , a nemati skelet ili jesam on redukovati . ",1,0
način rad ili ponašanje ,1,0
smanjiti ton muzički nota . ,1,0
"osoba ili komitet , departman , i sl . koji činiti telo čiji jesam cilj upravljnja nešto . ",1,0
fenomen koji karakterisati postepen promena kroz niz stanje . ,1,0
stanje dubok obuzetost ,1,0
smrznut voda u čvrst stanje ,1,0
"kuvanje direktan izlaganje visok teperaturi ( na primer , roštilj ili ražanj ) ",1,0
izraziti zahvalnost ili pokazati poštovanje ,1,0
stanje u koji jesam neki aktivan . ,1,0
osećanje intezivne nesreća ,1,0
"materijal koji se sastojati od agregat mineral , nalik onaj što činiti Zemljinu kor . ",1,0
"potpuno razvijati osoba , od doba zrelost nadalje . ",1,0
stanje zatočenosti ( obično za kratak vreme ) ,1,0
izazvati da biti u radnom stanje . ,1,0
osoba čiji jesam svetost izuzetan ,1,0
osobina onaj što jesam povezati ili stepen nešto što jesam povezati ,1,0
koji jesam veseo niti izazivati veselje ,1,0
odrediti po značenje ( čovek u sintagma ' visok čovek ' ) ,1,0
Žbun ili visok bilje koji rađati velik pljosnat jestiv semenka . ,1,0
droga koji moći da proizvesti stanje opijenost . ,1,0
mali količina nešto ,1,0
onaj koji donositi zakon i drugi pravni norma ,1,0
"reč ili izraz izraziti svoj osećanje , misao , itd . ",1,0
Čin kontrolisanje ili upravljanje u sklad sa pravilo . ,1,0
biti koji potez povući kao korak bliže cilj ,1,0
Nefikcionalna proza koji činiti nezavisan deo publikacija . ,1,0
"kretanje vazduh , ponekad velik snaga , iz područje visok pritisak ka područje nizak pritisak . ",1,0
upotrebiti moć ili uticaj ,1,0
"planinski masiv koji razdvajati Indjski podkontinent od Tibet , na on visok planinski vrh na svet ",1,0
"kretati se u jedan smer , a zatim u suprotan . ",1,0
higrometar koji pokazivati varijacija relativan vlažnost atmosfera ,1,0
dubok šerpa sa ruckom koji se koristiti za dinstanje i kuvanje . ,1,0
pokušavati da se sprečiti otkrivanje ( posebno od strana policija ) ,1,0
u rimski mitologija obg ljubav ; u grčki mitologija on odgovarati Eros ,1,0
"instrument koji pokazivati opseg , količina ili stepen nešto . ",1,0
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
koji moći ponovo da se koristiti ,0,1
Čin koji se prelaziti iz jedan stanje ili nestati u sledeći . ,1,0
alegoričan komad popularan u XV i XVI vek ; lik personifikovati vrlina i porok ,1,0
"posebno označiti , istaknuti ",1,0
Zaštita od budući gubitak . ,1,0
slaganje u padež između reč koji pripadati isti gramatički konstrukcija ,1,0
"ozbiljan , često fatalan bolest imun sistema koji se prenositi preko krv , najčešće preko seksualan kontakt ili zaražen igla ",1,0
Čin pokazivanje . ,1,0
visok uspravan megalit ; pronaći uglavnom u Engleska i severni Francuska ,1,0
"Toksičan nemetal u grupa sa sulfurom o telurijumom ' javljati se u više alotropnih oblik ; stabilan siv alotrop nalik metal provoditi elektricitet dobar po svetlo nego u tama i koristiti se u fota ćelija ; javljati se u sulfidni ruda , kao što jesam pirit . ",1,0
propisati uputstvo za ponašanje ili delovanje . ,1,0
trajno osećanje ljutina ,1,0
"biti povaliti , biti u horizontalan položaj . ",1,0
ćelija koji činiti koža ,1,0
"gas , tečnost i čvrst tvar jesam tri uobičajen agregatni stanje . ",1,0
proizvesti smeh . ,0,1
"prvi seksualan i i socijalan faza razvoj beba . usta jesam fokus libido i zadovoljstvo dolaziti iz sisanje , žvakanje i ugriz . dete usmeravati sav predmet iz okolina prema usta . osim zbog zadovoljstvo koji pružati dete , ovaj radnja bitan jesam i za upoznavanje svet oko sebe . ",1,0
mašina sa unutrašnji sagorevanje kod koji se snaga direktno prenositi na rotacioni komponenta ,1,0
zabava koji držati pažnja . ,1,0
grana biologija koji proučavati gljiva i bolest koji onaj izazivati ,1,0
svaki odstupanje od zdrav ili normanog stanje ,1,0
vojni snaga jedan država . ,1,0
grana medicina koji se baviti primena raznih vrsta zračenje u cilj dijagnostikovanje i lečenje stanje odnosno bolest . ,1,0
aktivan snaga telo ili duh ,1,0
velik vojni vežba u cilj obuka . ,1,0
"imati težina ; imati važnost , nositi težina . ",1,0
priznanje sebe ( svesno ili nesvesno ) da jesam utvrditi osobina drugi osoba ( ili grupa osoba ) . ,1,0
imati potpuno razumevanje nešto ; biti na vrh u neki domena znanje . ,1,0
Nešto u umetnički delo čiji jesam namera da postignuti odrediti efekt . ,1,0
Nešto što se desiti u dat trenutak i na dat mesto . ,1,0
deo lice iznad oči . ,1,0
Uređaj koji raditi na mehanički princip . ,1,0
"odluka ili komad sa zakonski važnost , koji jesam ući u susdski zapis ( kao da ona jesam izdati sud ili sudija ) . ",1,0
boginja ljubav i lepota ; ćerka Zevs u drevan mitologija ; poveyana sa rimski Venera ,1,0
klasičan filolog ili student slobodan veština ,1,0
"važan bitak u torku rat za španski nasleđe , snaga Velika alijansa jesam odneti pobeda nad Francuski @ord@ ",1,0
"ustanoviti , zasnovati na zakon ili na zvanično prihvaćen pravilo ",1,0
sprečiti donošenje odluka porota ,1,0
izazvati ili odvratiti ili pretiti ,1,0
u koji nem život . ,1,0
"skeletni sistem , posebno kod kičmenjak ",1,0
stanje stvoren nedostatak novac i kredit ,1,0
izvršenje ugovor u sklad sa predviđen uslov ,1,0
"modifikacija princip zadovoljstvo nastati pod uticaj zahtev stvarnost koji primoravati ego da podnositi određen stepen nezadovoljstvo . da jesam frustracija , u duševan život odrastao neograničeno biti vladati princip zadovoljstvo . Poštovanje ovaj princip jesam mera uspešan prilagođavanje i dostignut stupanj razvoj ličnost . ",1,0
Matematička vrednost ka koji funkcija težiti kada nezavisan promenljiv težak beskonačnost . ,1,0
zbir vrednost podeljen broj vrednost ,1,0
čin utvrđivanje osobina nešto ,1,0
informacija koji trebati imati na um kada se donositi odluka ,1,0
odsustvo moralan ili duhovan vrednost ,1,0
Sačuvati ili rezervisati za ličan ili specijalan upotreba . ,1,0
"naljutiti , posebno nevažan uzrok . ",1,0
iznenadno ispuštanje energija . ,1,0
oružje koji koristiti vojni ili pomorski snaga ,1,0
