X,Predicted,Real
zagovornik secesionizam ,1,0
rod ptica iz red Casuariiformes . ,1,0
Brgljez . ,1,0
koji predtsvlja suštinski komponenta ,1,0
Čin konstruisanje ili građenje nešto . ,1,0
ljulj ,1,0
čerkeski jezik koji govoriti Abhazi ,1,0
"koji pobuđivati poštovanje , divljenje ili čuđenje ",1,0
brak unutar sopstven pleme ili grupa kako taj zahtevati običaj ili zakon ,1,0
strepnja u iščekivanje šta hteti se dogoditi ,1,0
salamander . ,1,0
radnja koji karakterisati dobro raspoloženje ,1,0
čin savijanje ,1,0
tvorevina koji jesam stvoriti neki osoba ili neki proces . ,0,1
"koji se odnositi na Cešku , njen ljudi i kultura ",1,0
okarakterisan prijateljstvo i dobar volja ,1,0
analiza u razdvojen komponenta ,1,0
Čin akumulisanja . ,1,0
"cenjkati se ( oko cijena , uslov ugovor , itd ) ",1,0
član socijalistički ili komunistički inetrnacionale ,1,0
Utvrđena ceremonija koji propisivati vera . ,1,0
dati prvenstvo kandidat ili mera ili odluka . ,1,0
zmijinci ,1,0
turkijski jezik koji govoriti Jakuti ,1,0
krasuljak ,1,0
licenca koji se omogućavati bavljenje određenom profesija ,1,0
rod porodica Hirundinidae . ,1,0
"stanje čovekov osećanje , posebno vezati za zadovoljstvo ili potištenost . ",1,0
zamisliti neki ideja . ,1,0
smatrati da jesam nešto loše ili pogrešno . ,0,1
ispuniti očekivanje . ,1,0
poduhvat koji se preduzimati bez obzir na moguć gubitak ili povreda ,0,1
a noun that denotes any Or all members of a class ,1,0
mali digitalan račnar zasnovati na mikroporcesorima konstrisan tako da moći da ga nositi samo jedan osoba ,1,0
izgovarati sa šuškanje ,1,0
piroplazme i patogen stoka ,1,0
ne biti podložan nešto . ,0,1
džemper koji se stavljati tako što ga povlačiti preko glava ,1,0
koji se ticati ili se odnositi na etiologija ,1,0
a commercial mix for making a caka ,1,0
izazvati da postati otkačiti ili odvojiti . ,1,0
učiniti čist ili slobodan od greh ili krivica ,1,0
Argus fazan ,1,0
umetnik koji nameran prekid sa prethodan stil . ,1,0
koji odražavati sumornost i smrknutost ,0,1
secretary birds ,1,0
naoblačiti se ,1,0
broj iz Fibonačijevog niz . ,1,0
ubijanje čovek od strana drugi čovek . ,1,0
Utvrđena linija za putovanje ili pristup . ,1,0
"eukariotiski jednoćeliski živ organizam koji se razlikovati od višećelijski biljka i životinja ; protozoa , buđ ... ",1,0
"Metvulja , ? horsemint , ? beebalm ",1,0
koji imati i mške i ženski karakteristika . ,1,0
iskreno moliti ili tražiti nešto ,1,0
radnja u koji raditi frizer i drugi ulepšivači . ,1,0
the organic process of synthesizing and releasing som substance ,1,0
AO ,1,0
French mathematician and philosopher and jansenist ; invented an adding machine ; contributed ( with Fermat ) taj the theory of probability ( @card@ ) ,1,0
nacrtati ili napisati skica ili nacrt ,1,0
reformator koji se protiviti upotreba opojan pića ,1,0
engleski autor koji se stvoriti Šerloka Holms ( @card@ ) ,1,0
neki ko potpisivati dokument koji ga na nešto obavezivati . ,1,0
napraviti litograskim postupak ,1,0
pollack ,1,0
common European Bird with a shrieking call that nests chiefly about eaves of buildings Or on cliffs ,1,0
koji se odnositi na anjone ,1,0
koji nemati neki izrazit kvalitet ili karakteristika . ,1,0
zavijen deo ,1,0
ubijanje odsecanje glava ,1,0
okrutan poslodavac koji od zaposlen tražiti da prekomeran raditi . ,0,1
preslica ; poklapati se sa porodica Equisetaceae . ,1,0
koji narušavati princip dobra i zlo . ,0,1
gavez . ,1,0
rod familija Sagittariidae . ,1,0
koji se protiviti pravilo ili usvojen praksa . ,0,1
strastan poljubac ,1,0
postati gora . ,0,1
ispit koji se određivati kandidatov spremnost za neki studija . ,1,0
utensils made with copper ,1,0
neki od mali biljka iz rod Lathyrus . ,1,0
napisati latinični pisma ,1,0
rod iz familija Phytolaccaceae : ? pokeweed . ,1,0
Čin prljanje nešto . ,0,1
film kod koji jesam slika sinhronizovan s govor i pevanje . ,1,0
Jasen . ,1,0
sob u koji se ručavati . ,1,0
