X,Predicted,Real
briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje ,1,0
radnik koji jesam najamiti da obaviti posati . ,0,1
"koji jesam popustljiv , koji se teško upravljati . ",0,1
Nešto što sakrivati stvar ili ometati vidik . ,1,0
tvorevina koji jesam stvoriti neki osoba ili neki proces . ,1,0
stvar koji jesam dogovoriti . ,1,0
ne osecati se dobro ili udobno . ,0,1
škrtost koji proizilaziti iz briga za sopstven dobrobit i nepoštovanje drugi ,0,1
onaj što jesam čulo oktriveno ,1,0
onaj koji jesam stalan ili postojan ,0,1
uzrokovati strah ,0,1
"umanjiti po vrednost , karakter itd . ",0,1
koji jesam raspoložiti da sarađivati ,0,1
osoba koji sejati . ,1,0
"smear with blood , as In a hunting initiation rit , where the faca of a person is smeared with the blood of the kill ",1,0
"naljutiti , posebno nevažan uzrok . ",1,0
lišiti sloboda ; držati u zatvor ,0,1
staviti neki u ruka ili na staranje . ,1,0
"koji jesam vlik po količina , broj ili stepen . ",0,1
osoba koji zabavljati drugi blesav ponašanje ,1,0
Učiniti ili izazvati da nešto postati . ,1,0
sav koji ne pripadati sveštenstvo . ,1,0
prekinuti nečiji zaposlenje . ,1,0
Uništiti ili oštetiti na nasilan način . ,0,1
prodaja po posebno smanjen cena . ,1,0
ljudski čin stvaranje . ,0,1
držanje do moralan princip ,1,0
"nešto što jesam sigurno , što jesam pod sumnja ",1,0
"babica , služnjače ",1,0
proizvesti ili stvoriti proizvod stvoren ljudski ruka . ,1,0
"zaklanjati od opasnost , povreda , uništenje ili šteta . ",1,0
"koji privremeno jesam aktivan , o vulkan ",1,0
bolest krv ili narušavanje funkcionisanje krvni ćelija . ,0,1
imati neželjen ili negativan kvalitet ,0,1
osoba koji pripadati politički levica ,1,0
zabraniti zakon ili zvanično usvojen pravilo ,1,0
Čiji jesam životan ciklus ne trajati duže od jedan godina . ,1,0
napraviti nered u nešto ,1,0
kvalitet koji ne pružati zadovoljstvo čulo . ,0,1
svojstvo onaj koji nedostajati živost ,0,1
Muškarac koji jesam aristokrata . ,1,0
ozloglašenost zbog neki poseban karakteristika ,1,0
tuga povezati sa neki učinjen zlo ili neki razočaranje . ,0,1
"Čempres , smreka i kedar . ",1,0
taj neprekidan nerazumljiv zvuk ; obično ga pratiti kretanje usna koji ne proivodi artikulisan govor . ,0,1
established Or widely recognized as a model of authority Or excellence ,1,0
Težnja da se jednako odvagnuti oba pogled ili stave . ,1,0
