X,Predicted,Real
bavarski krem okružiti piškota ,1,0
sporazum koji prestajati neprijateljstvo . ,1,0
Otić uzletanje sa zemlja . ,1,0
Proparati koža ( na delo telo ) grebati jesam . ,1,0
"biti uplašiti , plašiti se ",0,1
majmun drekavac . ,1,0
koji osećati ili izazivati radost ,1,0
blagonaklon procena ,1,0
mali digitalan račnar zasnovati na mikroporcesorima konstrisan tako da moći da ga nositi samo jedan osoba ,1,0
posramiti neki ; povrediti nečiji ponos . ,0,1
koji jesam otrovati ili proizvoditi otrov . ,0,1
"koji jesam okarakterisati mračan , mističan i groteska ",0,1
biljka iz rod Veronica . ,1,0
slab sposobnost da se razumeti iskustvo ili profitirati iz on . ,0,1
umetnik iz perioda romantizam ili koji jesam pod uticaj romantizam . ,1,0
oji se odnositi na logograme ili logografe ,1,0
Čin verbalan obaveštavanje . ,1,0
Isplaćeni novac . ,1,0
na prljav i nečist način ,0,1
pretvaranje iz jedan jedinica ili obilika u drugi ,1,0
stanje zrelost ; pun razvoj . ,1,0
liver Or meat Or fowl finely minced Or ground and variously seasoned ,1,0
mali smeđe-siva ,1,0
francuski reč za sreća i dobar raspoloženje ,1,0
strepnja u iščekivanje šta hteti se dogoditi ,1,0
pobeda Amerikanac nad Meksikanac u Američko-meksičkom rat ( @card@ ) ,1,0
vojni ustanova gde jesam stacioniran trupa ,1,0
bosti ,1,0
odbaciti ( dokument ) kao nevažeci ,0,1
čerkeski jezik koji govoriti Abhazi ,1,0
stanje oštećenosti ili raspad . ,0,1
EC ,1,0
manifestovati nešto ili izneti na videlo . ,1,0
staviti na kocka u nada za povoljan ishod . ,0,1
stanje kada jesam neki prosperitetan i uspešan . ,1,0
glista koji jesam parazt u crevo kičmenjak ( nrp . dečji glista ) . ,1,0
predvodnik orkužanih snaga ,1,0
rožac ,1,0
brzo se i nasilno kretati ,1,0
lekar koji jesam specijalizirati reumatologija . ,1,0
koji imati i mške i ženski karakteristika . ,1,0
patiti od nešto ; bolovati od nešto . ,0,1
KZ ,1,0
kretati se brže . ,1,0
koji jesam spojiti ili vezati . ,0,1
bizamski pacov ,1,0
politički teorija koji se zalagati za autoritaran hijerarhijski vladanje ( suprotno od demokratija ) ,1,0
"fibrozno tkivo u vida školjka koji odvajati dva glavna delo mozak , velik mozak i mali mozak , cerebrum i cerebelum ",1,0
koji imati vviše izvod ,1,0
an abundance of material possessions and resources ,1,0
"koji se odnositi na aluvijum , rečni nanos ",1,0
utvrditi tako da rezultat jesam više sumnjiv ni upitan ; definitivno poznat ,1,0
dijalekt engleski koji se govoriti na Oksfordskom univerzitet i koji mnogi smatrati izveštačen i visokoparan ,1,0
zgrada u koji se vršiti likvidacija životinja radi proizvodnja meso ,0,1
pollack ,1,0
Porizvod načiniti od biljni materijal . ,1,0
ne izvrći koleno kad raditi ovaj vežba ,1,0
Čin izlaženje . ,1,0
Ispuštati vonj . ,0,1
porodica Capromyidae . ,1,0
o blastomeri ili koji se odnositi na blastomeru ,1,0
pasaž odabrati iz dug delo ,1,0
sposoban za korektan i validan rezonovanje ,1,0
ispit koji se sprovoditi pri sredina univerzitetski semestar ,1,0
Istraživanje pitanje koji postavljati naučni teorija i hipoteza . ,1,0
"smear with blood , as In a hunting initiation rit , where the faca of a person is smeared with the blood of the kill ",0,1
proizvod s koji se trgovati . ,1,0
Not standard ; Not accepted as a model of excellence ,0,1
znak koji nešto činiti očigledan . ,1,0
šta nedvosmisleno tvrditi ili kakav dvoznačnost razrešiti ,1,0
turkijski jezik koji govoriti Uzbeci ,1,0
mera izglednosti neki događaj ,1,0
izumreti vrst aguštera : ichthyosaurs ,1,0
koji tek što jesam zaspati ,1,0
tvrdokrilac iz rod Calosoma . ,1,0
prisilan potčinjenje kontrola drugi . ,1,0
koji se odnositi na drevan aramejske jezik ,1,0
diviti se i čuditi nešto ,1,0
"pojmiti mentalno , kao ideja . ",1,0
koji pokazivati ili izazivati veselje i zadovoljstvo ,1,0
Dakiri bez alkohol ,1,0
pohraniti u arhiv ,1,0
gubljenje sposobnost da normalno funkcionisati ,1,0
reći usput ,1,0
"complicated in structure ; consisting of interconnected parts ; "" a complex set of variations based on a simple folk melody "" ; "" a complex mass of diverse laws and customs "" ",1,0
poslovanje koji se ticati štapmanja ,1,0
forzicija ,1,0
Majušni komadić nešto . ,1,0
paziti neki kao majka ,1,0
osećati zadovoljstvo zbog nešto ,1,0
Čin konstruisanje nešto ( kao masšinskog delo ) . ,1,0
osobina onaj ko jesam prihvatiti i ne upućivati on se pohvaliti . ,0,1
onaj što jesam čulo oktriveno ,1,0
"stanje čovekov osećanje , posebno vezati za zadovoljstvo ili potištenost . ",1,0
o kraniometriji ili koji se odnositi na kraniometriju ,1,0
onaj koji jesam potreban ,0,1
čin uređivanje po gradiran skala ,1,0
o aktinomicetama ili koji pripadati rod Actinomycetes ,1,0
sob u koji se ručavati . ,1,0
Šljuke . ,1,0
matematički progresija kod koji se na svaki član dodeljivati konstantan vrednost da biti se dobiti sledeći član ,1,0
gibon i siamanzi . ,1,0
biti podvrgnuti ( emocionalan bol ) . ,0,1
turkijski jezik koji govoriti Jakuti ,1,0
dopustiti da moneta fluktuirati . ,1,0
"prvi mleko dan dva posle teljenje ( jagnjenje , koženja ) ",1,0
"kombinacija doručak i ručak , uglavnom servirati u prepodnevni čas ",1,0
onaj koji nemati ili ne pokazivati sažaljenje ili saosećanje . ,0,1
stupiti u brak . ,1,0
runolist ,1,0
čin produžavanje šta ,1,0
( računar ) utičnica na mikroračunaru koji prihvatati štampan ploča ,1,0
koji jesam pisati kurzivni forma staroegipatskog pisma ,1,0
postati ukočiti ili krut . ,1,0
ne biti podložan nešto . ,0,1
Mužjak iz vrsta Equus caballus . ,1,0
Odeća koji se nositi pre oblačenje ili za vreme odmor . ,1,0
Tipičn i vrganj iz pododeljak Basidiomycota . ,1,0
posuda u koji se ulivati tečnost da se stvoriti dati oblik kada se stvrdnuti . ,1,0
"vernik , sledbenik islam . ",1,0
"Obično se smatrati da obuhvatati orangutan , gorila , šimpanza i ponekad gibon . ",1,0
the organic process of synthesizing and releasing som substance ,1,0
"kopitar srodan konj od koji se razlikovati manjiti rast , dug ušimai repa samo pri vrh kosmat . ",1,0
Učiniti nestabilan . ,1,0
majmun kandžaši ,1,0
ispoljavanje rastuženosti ,0,1
Ciniti ili predstavljati nešto . ,1,0
stanje biti nezaposlen ili nemati posati . ,0,1
izvući iz kakav zamršenost ,1,0
konjski strkalj . ,1,0
"koji jesam normalan , tipičan , uobičajen , regularan ili jesam u saglasnost sa norma . ",0,1
čin sponzorisanje šta ( biti zvanično biti finansijski ) ,1,0
vodnica ,1,0
"Sprečiti da se pokvariti , o hrana . ",1,0
onaj što dovoditi do taj da se nešto klizati ,1,0
koji se odnositi na sociolingvistiku ,1,0
šta idealan smatrati ,1,0
"Mogući događaj , pojava ili rezultat . ",1,0
čin kojimse sakrivati postojanje nešto tako što se taj sakrivati od pogled ,1,0
koncizan i sažet ,1,0
čin obrađivanje korišćen ili odbačen materijal za upotreba u stvaranje nov proizvod ,1,0
osobina onaj što ne zasluživati poverenje . ,0,1
Pokušaj da se za sebe dobiti ličan priznanje ( posebno neprihvatljiv sredstvo ) . ,0,1
Pristupni put koji se sastojati od stepenik . ,1,0
carić ,1,0
posvetiti iznova nakon oskvrnjenja ,1,0
Žohari i ? ,1,0
u koji nem život . ,0,1
"stanje neaktivnost ( u poslovanje , umetnost , itd . ) ",1,0
ispuniti ili anulirati dug ,1,0
nastavni jedinica ,1,0
nastrojen prema nešto . ,1,0
"posle računanje , istraživanje , eksperimentisanje ustanoviti nešto . ",1,0
brak unutar sopstven pleme ili grupa kako taj zahtevati običaj ili zakon ,1,0
monarhija na čiji jesam čela gralj ili kraljica ,1,0
a flour mixture stiff enough taj knead Or roll ,1,0
"zvuk biti koji vrsta , posebno nerazgovetan ili disonantan . ",1,0
"brak sa osoba koji ne pripadati vaš pleme ili grupa , kao što taj zahtevati običaj ili zakon ",1,0
kamenjar ,1,0
izazvati da postati otkačiti ili odvojiti . ,1,0
veseo osećanje ,1,0
ne pridržavanje moralan princip . ,0,1
AO ,1,0
Oštećenje normalan fiziološki funkcija koji pogađati deo ili ceo organizam . ,1,0
"Ankiloza jesam ukočenje zglob koji nastajati srastanje zglobni telo , a uzrok jesam upasti zglob ili tkivo oko zglob . ",1,0
"zaposedanje , prisvajanje nešto na zakonit način ",1,0
Osećanje velik žalost povezati sa gubitak ili lišavanje . ,0,1
misaon proces uključiti u rešavanje neki problem ,1,0
salamander . ,1,0
poklapati se sa rod Ceratophyllum : voščika ( rastavić ) ,1,0
majak ,1,0
iznenadno ispuštanje energija . ,1,0
kužnjak ,1,0
lisnat mahivone ; uključivati rdove : Andreaeales ; Bryales ; Dicranales ; Eubryales ; Sphagnales . ,1,0
"Čin agresija , reći prema osoba koji se odupirati . ",1,0
porodica ptica iz red Falconiformes . ,1,0
"ogoliti zid od tapeta , na primer . ",1,0
nanošenje telesni povreda lice koji jesam osuditi za izvršen zločin ,0,1
biti uslovljen nešto . ,1,0
tabinje ,1,0
( jevrejski ) lagan obrok ili užina ,1,0
"škripnuti , ? ? ? ",1,0
onaj koji prav apstrakt ili sažimati informacija ,1,0
rod iz familija Phytolaccaceae : ? pokeweed . ,1,0
osnivač Rim ; on i njegov brata Rem jesam othraniti vučica pošto jesam ona roditelj ( Mars i Rej Silvija ) odmah po rođenje pustiti niz Tibar ; kasnije jesam ubiti brata Rem zbog svađa oko izgradnja rima ,1,0
biti koji od raznih gljiva iz porodica Lycoperdaceae čiji okrugao plodonsono telo oslobađati oblak spor kada sazreti ,1,0
crn odora koji dosegnuti do članak koji nositi sveštenik . ,1,0
neki ko birati prema eklektičan metoda ,1,0
"Milava , šašuljica . ",1,0
škrtost koji proizilaziti iz briga za sopstven dobrobit i nepoštovanje drugi ,0,1
nezakonit ubijanje s predumišljaj jedan čovek od strana drugi . ,0,1
romanski jezik koji se govoriti u Fancuskoj i u zemlja koji jesam biti Francuska kolonija ,1,0
"brojanje glas ( na primer , na izbor ) ",1,0
"odgovor telesni tkivo na povreda ili nadržaj ; karakterisati ga bol , otok , crvenilo i pečenje . ",0,1
žirafa ,1,0
kakaovac ,1,0
"koji izazivati iznenađenje , čuđenje ili zadivljenost ",0,1
gorila ,1,0
stanje u koji jesam osoba krepak i nem telesni i duševan bolest . ,1,0
ubijanje životinja ( za hrana ) ,0,1
koji trpiti atrofija ,1,0
koji jesam intelektualan . ,0,1
"Čin protestovanje , javno , obično organizovan manifestovanje neslaganje . ",1,0
hipotetički računar sa beskonačno dug memorijski traka ,1,0
"koji se ticati jemena , njegov ljudi i kultura ",1,0
svaki hemijski sinteza koji se vršiti pod uticaj svetlost ,1,0
poenta šala ili duhovit priča ,1,0
koji se odnositi na biti koji grupa jezik sotho ,1,0
ostvlje na severozapad Okeanija ,1,0
zamrznuti ostatak hrana . ,1,0
suhoperka ,1,0
kravajac ,1,0
trka izmeđo obično veoma moćan automobil ,1,0
"stanje kada osoba stalno žmirkati , treptati . ",1,0
