X,Predicted,Real
praotac neki osoba . ,1,0
politički teorija koji se zalagati za autoritaran hijerarhijski vladanje ( suprotno od demokratija ) ,1,0
Tečni deo telo . ,1,0
paleontologija mikrofosila ,1,0
lirorepe i ? scrubbirds ,1,0
rat kojie jesam sad i njen sazveznici voditi protiv Irak radi oslobađanje Kuvajt ; @card@ ,1,0
snimati ili glumiti na poseban način ,1,0
jedan vrsta : nar . ,1,0
neki od mali biljka iz rod Lathyrus . ,1,0
postati ukočiti ili krut . ,1,0
koji se odnositi na ili koristiti dijalektika ,1,0
biljka iz rod Valerianella . ,1,0
spojiti dlan uz pljesak . ,1,0
sudski dokument koji se lice pozivati na sud da odgovoriti na optužnica ( optužba ) ,1,0
stanje redovan ili ispravan poredak . ,1,0
"potpuno razvijati osoba , od doba zrelost nadalje . ",1,0
monarhija na čiji jesam čela gralj ili kraljica ,1,0
Važi za neljudski sisara ; stanje ili period povišen seksualan aktivnost i uzbuđenje . ,1,0
crn odora koji dosegnuti do članak koji nositi sveštenik . ,1,0
stanje biti nezaposlen ili nemati posati . ,1,0
ispuniti divljenje i ushićenje ,1,0
turkijski jezik koji govoriti Karakalpaci ,1,0
a diacritical Mark ( an inverted circumflex ) placed above certain letters ( such as c ) taj indicate pronunciation ,1,0
gorešnik ,1,0
rod porodica Soricidae . ,1,0
Čin procenjivanje ili prosuđivanje . ,1,0
porodica iz red Parietales koji uključivati rod Viola ; Hybanthus ; Hymenanthera ; Meličtus . ,1,0
"Ankiloza jesam ukočenje zglob koji nastajati srastanje zglobni telo , a uzrok jesam upasti zglob ili tkivo oko zglob . ",1,0
o spondejama ili koji jesam sačiniti od spondeja ,1,0
konj riđ dlaka . ,1,0
an abundance of material possessions and resources ,1,0
dva susedna slovo ( posebno dva slovo koji predstavljati jedan glas ) ,1,0
okoristiti se kakav mogućnost bez obzir na posledica za drugi ,1,0
žirafa ,1,0
množilac koji jesam uzeti kao osnova skaliranja ,1,0
u rimski mitologija boginja ognjište i vatra koji jesam čvale vestalske devica ; u grčki mitologija odgovarati ona Hestija ,1,0
"Izvršiti čin , obično sa negativan konotacija . ",1,0
tako strašno da izazivati groza i jeza ,1,0
priznati svoj vera u šta ili privrženost šta ,1,0
koji donositi dobar profit ,0,1
naći zajednički jezik ili se uspećno izboriti sa nešto ,1,0
muntjak ,1,0
o daktil ili koji jesam sačiniti od daktil ,1,0
"zaprljati , onečistiti . ",1,0
odlučujuće uticati ,1,0
Čin ili proces merenje . ,0,1
ne izvrći koleno kad raditi ovaj vežba ,1,0
neki od evroazijski biljka iz rod Helleborus . ,1,0
imitatorski ponašanje ,1,0
učiniti zadovoljan ,1,0
formirati u brežuljak ,1,0
učiniti da šta osećati ; učiniti osetljiv ,1,0
koji jesam neki uveseliti ,0,1
osoba koji voliti ili jesam voljen ,1,0
predvodnik orkužanih snaga ,1,0
koji jesam zadovoljan ; koji doživljavati ili ispoljavati nezadovoljstvo ,1,0
moralan ispravnost ,0,1
rad koji se obavljati sa drugi radi zajednički ciljati ili koristiti ,1,0
geometrijski telo omeđati sa dvanaest podudranih pravilan petougaonka . ,1,0
uyrokovati da opasti ,1,0
koji jesam naklonjen prea nešto . ,1,0
"koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . ",1,0
tradicionalan pashalni veče Isus i njegov učenik noć pre Njegovog raspeće ,1,0
koji jesam u sklad sa metoda ili princip nauka . ,1,0
suprug nečiji roditelj u sledeći brak . ,1,0
čiji prethodnik biti ,1,0
"koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebičnost drugi ",1,0
duktus kroz koji se izbacivati mokraća kod večine sisara ,1,0
dehidriran mleko ,1,0
sputati pomoću brava ,1,0
"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns ",0,1
o biljka ili botanika ili koji se odnositi na biljka ili botanika ,1,0
Čin akumulisanja . ,1,0
imati izvestan dimenzija . ,0,1
koji imati urođen sklonost prema dobrota ,0,1
